Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
DeMarvion Overshown,DAL,0,7,7,100.0%,71,10.1,10.1,0,108.9,3.0,21,50,1,1,1,1.0,3,11,1,8.3%,OverDe00
Caelen Carson,DAL,0,10,5,50.0%,44,8.8,4.4,1,95.4,11.0,33,11,0,0,0,0.0,0,4,0,0.0%,CarsCa01
Trevon Diggs,DAL,1,11,4,36.4%,19,4.8,1.7,0,7.0,13.5,-1,20,0,0,0,0.0,0,5,1,16.7%,DiggTr00
Jourdan Lewis,DAL,0,4,3,75.0%,13,4.3,3.3,0,78.1,2.0,3,10,2,0,0,0.0,0,5,0,0.0%,LewiJo01
Eric Kendricks,DAL,1,4,2,50.0%,7,3.5,1.8,0,16.7,3.3,2,5,3,0,0,2.0,2,9,0,0.0%,KendEr00
Micah Parsons,DAL,0,1,1,100.0%,2,2.0,2.0,0,79.2,-4.0,-4,6,4,1,4,1.0,6,4,2,33.3%,ParsMi00
Malik Hooker,DAL,0,1,1,100.0%,13,13.0,13.0,0,118.7,13.0,13,0,0,0,0,0.0,0,4,0,0.0%,HookMa00
DeMarcus Lawrence,DAL,0,0,0,,,,,,,,,,0,2,3,2.0,7,5,3,37.5%,LawrDe00
Marshawn Kneeland,DAL,0,0,0,,,,,,,,,,0,1,2,0.0,3,3,0,0.0%,KneeMa00
Jordan Phillips,DAL,0,0,0,,,,,,,,,,0,1,1,0.0,2,1,0,0.0%,PhilJo01
Osa Odighizuwa,DAL,0,0,0,,,,,,,,,,0,1,1,0.0,2,3,0,0.0%,OdigOs00
Chauncey Golston,DAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,GolsCh00
Marist Liufau,DAL,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%,LiufMa00
Donovan Wilson,DAL,0,1,0,0.0%,,,0.0,,39.6,11.0,,,0,0,0,0.0,0,2,0,0.0%,WilsDo01
Nick Vigil,DAL,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%,VigiNi00
Israel Mukuamu,DAL,0,1,0,0.0%,,,0.0,,39.6,34.0,,,0,0,0,0.0,0,0,0,,MukuIs00
Damone Clark,DAL,0,3,0,0.0%,,,0.0,,39.6,6.0,,,1,0,0,0.0,0,4,0,0.0%,ClarDa02
Jeremiah Owusu-Koramoah,CLE,0,4,4,100.0%,21,5.3,5.3,0,88.5,-1.0,-4,25,5,0,0,0.0,0,9,1,10.0%,OwusJe00
Jordan Hicks,CLE,0,3,3,100.0%,23,7.7,7.7,0,98.6,-1.3,-4,27,4,1,0,0.0,1,7,0,0.0%,HickJo00
Greg Newsome II,CLE,0,6,3,50.0%,31,10.3,5.2,0,65.3,4.0,10,21,2,0,0,0.0,0,1,0,0.0%,NewsGr00
Martin Emerson,CLE,0,6,3,50.0%,43,14.3,7.2,0,73.6,18.7,38,5,0,0,0,0.0,0,8,2,20.0%,EmerMa00
Juan Thornhill,CLE,0,3,2,66.7%,20,10.0,6.7,1,125.0,10.3,17,3,0,0,0,0.0,0,9,1,10.0%,ThorJu00
Cameron Mitchell,CLE,0,2,1,50.0%,7,7.0,3.5,0,58.3,3.0,0,7,0,0,0,0.0,0,0,1,100.0%,MitcCa01
Grant Delpit,CLE,0,2,1,50.0%,0,0.0,0.0,0,56.2,9.0,-2,2,3,0,0,0.0,0,4,0,0.0%,DelpGr00
Denzel Ward,CLE,0,5,1,20.0%,34,34.0,6.8,0,55.4,14.2,24,10,0,0,0,0.0,0,0,2,100.0%,WardDe02
Myles Garrett,CLE,0,0,0,,,,,,,,,,0,2,1,1.0,4,2,1,33.3%,GarrMy00
Shelby Harris,CLE,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,0,0.0%,HarrSh00
Za'Darius Smith,CLE,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,SmitZa00
Dalvin Tomlinson,CLE,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,TomlDa00
Devin Bush Jr.,CLE,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,BushDe01
Tony Fields,CLE,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%,FielTo00
Alex Wright,CLE,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,WrigAl01
