Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Riley Moss,DEN,0,9,6,66.7%,77,12.8,8.6,0,93.3,12.2,69,8,0,0,0,0.0,0,12,2,14.3%,MossRi00
Patrick Surtain II,DEN,0,5,4,80.0%,39,9.8,7.8,0,99.2,11.4,29,10,0,0,0,0.0,0,6,0,0.0%,SurtPa01
Ja'Quan McMillian,DEN,0,2,2,100.0%,-1,-0.5,-0.5,0,79.2,-4.0,-8,7,0,0,0,0.0,0,4,1,20.0%,McMiJa00
Alex Singleton,DEN,1,2,2,100.0%,38,19.0,19.0,1,118.7,7.0,14,24,4,0,0,0.0,0,9,3,25.0%,SingAl00
Brandon Jones,DEN,0,2,2,100.0%,11,5.5,5.5,0,89.6,-1.0,-2,13,0,0,0,0.0,0,6,1,14.3%,JoneBr06
Nik Bonitto,DEN,0,1,1,100.0%,9,9.0,9.0,0,104.2,5.0,5,4,4,0,1,0.0,1,1,1,50.0%,BoniNi00
P.J. Locke,DEN,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-3.0,-3,1,0,0,0,0.0,0,4,1,20.0%,LockPJ00
Jonathon Cooper,DEN,0,0,0,,,,,,,,,,6,0,2,2.0,4,6,0,0.0%,CoopJo02
Zach Allen,DEN,0,1,0,0.0%,,,0.0,,39.6,-6.0,,,0,1,1,0.0,2,2,0,0.0%,AlleZa01
D.J. Jones,DEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,JoneD.01
Kristian Welch,DEN,0,1,0,0.0%,,,0.0,,39.6,-2.0,,,0,0,0,0.0,0,3,0,0.0%,WelcKr00
Levi Wallace,DEN,0,1,0,0.0%,,,0.0,,39.6,2.0,,,0,0,0,0.0,0,0,0,,WallLe00
Jonah Elliss,DEN,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,,ElliJo03
Baron Browning,DEN,0,0,0,,,,,,,,,,3,0,0,0.0,0,5,0,0.0%,BrowBa01
Cody Barton,DEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%,BartCo00
Julian Love,SEA,1,7,6,85.7%,47,7.8,6.7,0,55.1,6.1,23,24,0,0,0,0.0,0,12,1,7.7%,LoveJu00
Tyrel Dodson,SEA,0,9,5,55.6%,10,2.0,1.1,0,60.9,2.6,-6,16,3,0,0,0.0,0,10,1,9.1%,DodsTy01
Rayshawn Jenkins,SEA,0,4,4,100.0%,18,4.5,4.5,0,85.4,4.0,16,2,0,0,0,0.0,0,6,1,14.3%,JenkRa00
Devon Witherspoon,SEA,0,8,3,37.5%,17,5.7,2.1,0,45.8,8.3,6,11,3,1,0,0.0,1,7,2,22.2%,WithDe00
Jerome Baker,SEA,0,3,3,100.0%,6,2.0,2.0,0,79.2,-1.7,-5,11,2,0,0,0.0,0,5,0,0.0%,BakeJe00
Tre Brown,SEA,0,4,3,75.0%,35,11.7,8.8,0,101.0,10.5,35,0,0,0,0,0.0,0,3,0,0.0%,BrowTr03
Boye Mafe,SEA,0,1,1,100.0%,4,4.0,4.0,0,83.3,2.0,2,2,2,2,1,1.0,4,4,0,0.0%,MafeBo00
K'Von Wallace,SEA,0,1,1,100.0%,1,1.0,1.0,0,79.2,-1.0,-1,2,0,0,0,0.0,0,1,0,0.0%,WallKV00
Derick Hall,SEA,0,0,0,,,,,,,,,,0,1,2,1.0,4,2,0,0.0%,HallDe04
Leonard Williams,SEA,0,0,0,,,,,,,,,,0,0,4,0.0,4,2,1,33.3%,WillLe02
Mike Morris,SEA,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%,MorrMi00
Byron Murphy,SEA,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%,MurpBy01
Dre'Mont Jones,SEA,0,1,0,0.0%,,,0.0,,39.6,14.0,,,0,0,0,0.0,0,1,0,0.0%,JoneDr00
Trevis Gipson,SEA,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,GipsTr00
Riq Woolen,SEA,1,4,0,0.0%,,,0.0,,0.0,16.5,,,0,0,0,0.0,0,3,1,25.0%,WoolTa00
