Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Jaire Alexander,GNB,1,9,5,55.6%,112,22.4,12.4,1,97.7,9.7,50,62,0,0,0,0.0,0,4,0,0.0%,AlexJa00
Keisean Nixon,GNB,0,5,4,80.0%,26,6.5,5.2,0,88.3,0.0,0,26,3,0,1,1.0,2,7,1,12.5%,NixoKe00
Isaiah McDuffie,GNB,0,3,3,100.0%,36,12.0,12.0,1,156.2,10.0,30,6,4,1,1,0.0,2,6,2,25.0%,McDuIs00
Quay Walker,GNB,0,4,3,75.0%,38,12.7,9.5,0,104.2,12.8,20,18,4,0,0,0.0,0,11,1,8.3%,WalkQu00
Javon Bullard,GNB,0,3,3,100.0%,48,16.0,16.0,0,118.7,3.0,9,39,0,0,0,0.0,0,11,1,8.3%,BullJa00
Eric Stokes,GNB,0,3,1,33.3%,10,10.0,3.3,0,43.7,7.7,-4,14,0,0,0,0.0,0,2,1,33.3%,StokEr00
Xavier McKinney,GNB,1,2,1,50.0%,8,8.0,4.0,0,20.8,10.0,3,5,0,0,0,0.0,0,4,0,0.0%,McKiXa00
Rashan Gary,GNB,0,0,0,,,,,,,,,,2,1,1,1.0,3,3,0,0.0%,GaryRa00
Kenny Clark,GNB,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,1,33.3%,ClarKe01
Kingsley Enagbare,GNB,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,1,100.0%,EnagKi00
Preston Smith,GNB,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,1,33.3%,SmitPr00
Lukas Van Ness,GNB,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,VanNLu00
Quinyon Mitchell,PHI,0,9,4,44.4%,60,15.0,6.7,0,66.9,16.1,54,6,0,0,0,0.0,0,5,1,16.7%,MitcQu00
Zack Baun,PHI,0,4,3,75.0%,22,7.3,5.5,0,87.5,-0.8,-7,29,5,1,0,2.0,3,15,1,6.3%,BaunZa00
Avonte Maddox,PHI,0,6,3,50.0%,30,10.0,5.0,1,104.2,6.3,9,21,0,0,0,0.0,0,3,0,0.0%,MaddAv00
C.J. Gardner-Johnson,PHI,0,3,2,66.7%,78,39.0,26.0,1,149.3,12.3,32,46,1,1,0,0.0,1,5,2,28.6%,GardCh00
Darius Slay,PHI,0,2,2,100.0%,15,7.5,7.5,0,97.9,5.5,11,4,1,0,0,0.0,0,3,0,0.0%,SlayDa00
Nakobe Dean,PHI,0,4,2,50.0%,29,14.5,7.3,0,74.0,3.8,6,23,3,0,0,0.0,0,4,1,20.0%,DeanNa00
Reed Blankenship,PHI,1,4,2,50.0%,26,13.0,6.5,0,31.2,9.5,17,9,0,0,0,0.0,0,8,2,20.0%,BlanRe00
Brandon Graham,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,GrahBr99
Moro Ojomo,PHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,OjomMo00
Josh Sweat,PHI,0,0,0,,,,,,,,,,2,0,1,0.0,1,1,0,0.0%,SweaJo00
Jalen Carter,PHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,CartJa05
Bryce Huff,PHI,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,2,66.7%,HuffBr00
Nolan Smith,PHI,0,0,0,,,,,,,,,,3,0,0,0.0,0,2,0,0.0%,SmitNo02
Milton Williams,PHI,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,WillMi08
