Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Derek Stingley Jr.,HOU,0,8,4,50.0%,25,6.3,3.1,0,56.8,11.5,15,10,0,0,0,0.0,0,4,0,0.0%,StinDe00
Azeez Al-Shaair,HOU,0,3,2,66.7%,62,31.0,20.7,1,149.3,12.3,23,39,1,0,0,0.0,0,5,1,16.7%,AlShAz00
Jimmie Ward,HOU,0,5,2,40.0%,117,58.5,23.4,1,127.1,29.6,115,2,1,0,0,0.0,0,3,0,0.0%,WardJi01
Kamari Lassiter,HOU,0,3,1,33.3%,8,8.0,2.7,0,42.4,11.7,8,0,0,0,0,0.0,0,2,0,0.0%,LassKa00
Danielle Hunter,HOU,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,0,0.0%,HuntDa01
Mario Edwards,HOU,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,EdwaMa01
Folorunso Fatukasi,HOU,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%,FatuFo00
Henry To'oTo'o,HOU,0,0,0,,,,,,,,,,1,0,0,0.0,0,7,2,22.2%,TooTHe00
Jalen Pitre,HOU,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%,PitrJa00
Eric Murray,HOU,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,MurrEr00
Jaylon Jones,IND,0,10,7,70.0%,95,13.6,9.5,0,100.0,13.9,68,27,0,0,0,0.0,0,9,0,0.0%,JoneJa13
Julius Brents,IND,0,6,4,66.7%,79,19.8,13.2,0,109.7,15.3,67,12,0,0,0,0.0,0,7,1,12.5%,BrenJu00
E.J. Speed,IND,0,6,3,50.0%,11,3.7,1.8,0,56.2,0.7,7,4,3,0,1,0.0,1,10,1,9.1%,SpeeEJ00
Julian Blackmon,IND,0,3,3,100.0%,10,3.3,3.3,0,80.6,-0.7,-2,12,2,0,0,0.0,0,13,0,0.0%,BlacJu01
Kenny Moore,IND,0,3,3,100.0%,30,10.0,10.0,1,147.9,3.0,9,21,0,0,0,0.0,0,5,1,16.7%,MoorKe03
Nick Cross,IND,0,2,2,100.0%,5,2.5,2.5,1,118.7,2.5,5,0,0,0,0,0.0,0,14,0,0.0%,CrosNi00
Zaire Franklin,IND,0,1,1,100.0%,4,4.0,4.0,0,83.3,1.0,1,3,3,0,1,0.0,1,8,0,0.0%,FranZa00
Kwity Paye,IND,0,0,0,,,,,,,,,,0,1,1,1.0,3,2,0,0.0%,PayeKw00
DeForest Buckner,IND,0,0,0,,,,,,,,,,0,1,0,1.5,3,6,1,14.3%,BuckDe00
Tyquan Lewis,IND,0,0,0,,,,,,,,,,0,1,0,1.0,2,6,3,33.3%,LewiTy00
Dayo Odeyingbo,IND,0,0,0,,,,,,,,,,0,0,1,0.5,2,1,0,0.0%,OdeyDa00
Laiatu Latu,IND,0,0,0,,,,,,,,,,0,2,0,0.0,2,0,0,,LatuLa00
Grover Stewart,IND,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%,StewGr00
Jaylon Carlies,IND,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,,CarlJa01
