Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Ronald Darby,JAX,0,7,5,71.4%,102,20.4,14.6,1,153.3,7.9,33,69,1,0,0,0.0,0,7,0,0.0%,DarbRo00
Darnell Savage Jr.,JAX,0,7,3,42.9%,11,3.7,1.6,0,50.3,3.1,-7,18,1,0,0,0.0,0,0,0,,SavaDa00
Andre Cisco,JAX,0,4,3,75.0%,85,28.3,21.3,0,116.7,11.8,41,44,0,0,0,0.0,0,4,0,0.0%,CiscAn00
Jarrian Jones,JAX,0,4,3,75.0%,59,19.7,14.8,0,116.7,6.8,-2,61,0,0,0,0.0,0,1,1,50.0%,JoneJa14
Antonio Johnson,JAX,0,3,3,100.0%,47,15.7,15.7,0,118.7,6.7,20,27,0,0,0,0.0,0,9,2,18.2%,JohnAn07
Foyesade Oluokun,JAX,0,3,2,66.7%,5,2.5,1.7,0,70.1,-2.0,-2,7,2,1,0,0.0,1,11,0,0.0%,OluoFo00
Montaric Brown,JAX,0,2,2,100.0%,20,10.0,10.0,0,108.3,5.0,10,10,1,0,0,0.0,0,3,0,0.0%,BrowMo00
Chad Muma,JAX,0,1,1,100.0%,7,7.0,7.0,0,95.8,6.0,6,1,0,0,0,0.0,0,2,0,0.0%,MumaCh00
Devin Lloyd,JAX,0,2,1,50.0%,2,2.0,1.0,0,56.2,0.5,-4,6,5,0,0,0.0,0,9,0,0.0%,LloyDe00
Travon Walker,JAX,0,0,0,,,,,,,,,,0,0,0,2.0,2,6,0,0.0%,WalkTr03
Arik Armstead,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,ArmsAr01
Roy Robertson-Harris,JAX,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,2,100.0%,RobeRo00
Josh Hines-Allen,JAX,0,0,0,,,,,,,,,,1,1,0,0.0,1,2,0,0.0%,AlleJo03
Terrell Edmunds,JAX,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,0,0,,EdmuTe00
Ventrell Miller,JAX,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,MillVe00
Myles Cole,JAX,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,ColeMy00
Tyson Campbell,JAX,0,2,0,0.0%,,,0.0,,39.6,21.5,,,0,0,0,0.0,0,3,0,0.0%,CampTy01
Kader Kohou,MIA,0,5,3,60.0%,37,12.3,7.4,0,82.9,7.4,25,12,2,0,0,0.0,0,4,1,20.0%,KohoKa00
Kendall Fuller,MIA,0,3,2,66.7%,27,13.5,9.0,0,95.1,14.7,23,4,0,0,0,0.0,0,6,0,0.0%,FullKe00
David Long,MIA,0,3,2,66.7%,11,5.5,3.7,0,72.9,2.0,6,5,2,0,0,0.0,0,8,0,0.0%,LongDa04
Jordan Poyer,MIA,0,3,2,66.7%,50,25.0,16.7,0,109.7,20.0,41,9,0,0,0,0.0,0,6,0,0.0%,PoyeJo00
Jordyn Brooks,MIA,0,3,2,66.7%,23,11.5,7.7,0,89.6,8.0,13,10,5,0,0,0.0,0,4,1,20.0%,BrooJo01
Jalen Ramsey,MIA,0,1,1,100.0%,14,14.0,14.0,1,158.3,14.0,14,0,2,0,0,0.0,0,3,0,0.0%,RamsJa00
Emmanuel Ogbah,MIA,0,0,0,,,,,,,,,,0,0,1,1.0,2,4,0,0.0%,OgbaEm00
Jaelan Phillips,MIA,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,PhilJa02
Duke Riley,MIA,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,RileDu00
Calais Campbell,MIA,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,1,25.0%,CampCa99
Jevon Holland,MIA,0,2,0,0.0%,,,0.0,,39.6,-2.5,,,3,0,0,0.0,0,4,1,20.0%,HollJe02
