Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Christian Rozeboom,LAR,0,5,4,80.0%,33,8.3,6.6,0,94.2,0.8,4,29,0,0,0,0.0,0,9,1,10.0%,RozeCh00
Tre'Davious White,LAR,0,5,3,60.0%,71,23.7,14.2,1,143.7,13.0,48,23,0,0,0,0.0,0,5,3,37.5%,WhitTr01
Troy Reeder,LAR,0,5,3,60.0%,41,13.7,8.2,0,86.2,2.2,3,38,1,0,0,0.0,0,8,2,20.0%,ReedTr01
Quentin Lake,LAR,0,4,2,50.0%,41,20.5,10.3,0,86.5,16.3,19,22,1,0,1,0.0,1,10,2,16.7%,LakeQu00
Cobie Durant,LAR,0,3,2,66.7%,14,7.0,4.7,0,77.1,8.7,10,4,1,0,1,0.0,1,3,0,0.0%,DuraDe01
Kamren Curl,LAR,0,4,2,50.0%,4,2.0,1.0,0,56.2,5.5,-6,10,0,0,0,0.0,0,5,3,37.5%,CurlKa00
John Johnson,LAR,1,3,2,66.7%,8,4.0,2.7,0,30.6,3.7,1,7,0,0,0,0.0,0,6,1,14.3%,JohnJo10
Kobie Turner,LAR,0,1,1,100.0%,14,14.0,14.0,0,118.7,-5.0,-5,19,0,0,0,0.0,0,2,1,33.3%,TurnKo00
Jared Verse,LAR,0,0,0,,,,,,,,,,2,0,1,1.0,2,4,0,0.0%,VersJa00
Byron Young,LAR,0,0,0,,,,,,,,,,2,0,0,1.0,1,4,1,20.0%,YounBy01
Braden Fiske,LAR,0,0,0,,,,,,,,,,0,1,0,0.0,1,5,0,0.0%,FiskBr00
Michael Hoecht,LAR,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,HoecMi00
Bobby Brown,LAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%,BrowBo04
Alex Anzalone,DET,0,10,9,90.0%,41,4.6,4.1,0,83.7,1.6,14,27,5,0,0,0.0,0,13,0,0.0%,AnzaAl00
Terrion Arnold,DET,0,10,8,80.0%,68,8.5,6.8,1,128.3,9.6,51,17,0,0,0,0.0,0,8,0,0.0%,ArnoTe00
Carlton Davis,DET,0,12,7,58.3%,99,14.1,8.3,0,85.1,5.7,27,72,1,0,0,0.0,0,10,1,9.1%,DaviCa02
Brian Branch,DET,0,9,6,66.7%,57,9.5,6.3,0,84.0,6.0,24,33,0,0,0,0.0,0,7,1,12.5%,BranBr00
Kerby Joseph,DET,1,4,2,50.0%,18,9.0,4.5,0,22.9,7.0,12,6,0,0,0,0.0,0,6,0,0.0%,JoseKe03
Jack Campbell,DET,0,2,2,100.0%,11,5.5,5.5,0,89.6,4.0,8,3,2,0,0,0.0,0,7,1,12.5%,CampJa04
Amik Robertson,DET,0,2,1,50.0%,20,20.0,10.0,0,85.4,6.5,7,13,2,0,0,0.0,0,2,1,33.3%,RobeAm00
Derrick Barnes,DET,0,1,1,100.0%,13,13.0,13.0,0,118.7,11.0,11,2,6,0,0,0.0,0,4,2,33.3%,BarnDe02
Aidan Hutchinson,DET,0,0,0,,,,,,,,,,0,3,3,1.0,7,5,1,16.7%,HutcAi00
Marcus Davenport,DET,0,0,0,,,,,,,,,,0,2,3,0.5,6,1,0,0.0%,DaveMa00
Levi Onwuzurike,DET,0,0,0,,,,,,,,,,0,0,1,0.5,2,2,0,0.0%,OnwuLe00
Kyle Peko,DET,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,PekoKy00
Mekhi Wingo,DET,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,WingMe00
Malcolm Rodriguez,DET,0,0,0,,,,,,,,,,4,0,0,0.0,0,4,0,0.0%,RodrMa00
