Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Ja'Whaun Bentley,NWE,0,6,6,100.0%,45,7.5,7.5,0,97.9,2.3,14,31,6,0,0,0.5,1,12,0,0.0%,BentJa00
Christian Gonzalez,NWE,0,3,3,100.0%,15,5.0,5.0,0,87.5,1.3,4,11,0,0,0,0.0,0,2,0,0.0%,GonzCh00
Kyle Dugger,NWE,0,4,2,50.0%,18,9.0,4.5,0,62.5,8.0,12,6,3,0,0,0.0,0,6,0,0.0%,DuggKy00
Jahlani Tavai,NWE,0,3,2,66.7%,12,6.0,4.0,0,74.3,1.3,7,5,6,0,0,0.0,0,4,1,20.0%,TavaJa00
Jabrill Peppers,NWE,0,3,2,66.7%,33,16.5,11.0,0,103.5,11.3,29,4,1,0,0,0.0,0,6,0,0.0%,PeppJa00
Marcus Jones,NWE,0,3,2,66.7%,18,9.0,6.0,0,82.6,13.0,18,0,0,0,0,0.0,0,4,0,0.0%,JoneMa06
Keion White,NWE,0,1,1,100.0%,6,6.0,6.0,0,91.7,2.0,2,4,0,0,0,2.5,3,4,0,0.0%,WhitKe03
Marco Wilson,NWE,0,1,1,100.0%,4,4.0,4.0,0,83.3,1.0,1,3,0,0,0,0.0,0,2,0,0.0%,WilsMa04
Vederian Lowe,NWE,0,1,1,100.0%,1,1.0,1.0,0,79.2,-2.0,-2,3,0,0,0,0.0,0,0,0,,LoweVe00
Jaylinn Hawkins,NWE,0,1,1,100.0%,12,12.0,12.0,0,116.7,12.0,12,0,1,0,0,0.0,0,1,1,50.0%,HawkJa00
Jonathan Jones,NWE,0,3,0,0.0%,,,0.0,,39.6,7.3,,,0,0,0,0.0,0,3,0,0.0%,JoneJo03
Marcellas Dial,NWE,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,2,100.0%,DialMa00
Daxton Hill,CIN,0,5,3,60.0%,25,8.3,5.0,0,72.9,11.8,21,4,0,0,0,1.0,1,8,3,27.3%,HillDa04
Cam Taylor-Britt,CIN,0,4,3,75.0%,25,8.3,6.3,0,90.6,6.5,23,2,0,0,0,0.0,0,7,1,12.5%,TaylCa01
Logan Wilson,CIN,0,2,2,100.0%,13,6.5,6.5,0,93.7,1.0,2,11,4,0,3,0.0,3,12,0,0.0%,WilsLo00
Germaine Pratt,CIN,0,4,2,50.0%,12,6.0,3.0,0,56.2,3.8,-3,15,2,0,0,0.0,0,8,1,11.1%,PratGe00
Vonn Bell,CIN,0,2,2,100.0%,12,6.0,6.0,0,91.7,5.0,10,2,1,0,0,0.0,0,6,1,14.3%,BellVo00
Trey Hendrickson,CIN,0,1,1,100.0%,9,9.0,9.0,0,104.2,7.0,7,2,0,1,2,0.0,3,2,1,33.3%,HendTr00
Sam Hubbard,CIN,0,1,1,100.0%,16,16.0,16.0,0,118.7,0.0,0,16,0,0,1,0.0,1,4,0,0.0%,HubbSa00
DJ Turner,CIN,0,1,1,100.0%,9,9.0,9.0,0,104.2,7.0,7,2,0,0,0,0.0,0,1,0,0.0%,TurnDJ01
Mike Hilton,CIN,0,2,0,0.0%,,,0.0,,39.6,6.0,,,2,0,0,0.0,0,3,0,0.0%,HiltMi01
B.J. Hill,CIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%,HillB.00
Geno Stone,CIN,0,1,0,0.0%,,,0.0,,39.6,12.0,,,0,0,0,0.0,0,3,2,40.0%,StonGe00
