Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Kendall Sheffield,,,0,0,,,,,,,,,,0,0,0,,0,,1,,ShefKe00
C.J. Mosley,NYJ,0,4,4,100.0%,35,8.8,8.8,0,103.1,5.0,20,15,3,0,0,0.0,0,9,0,0.0%,MoslC.00
Quincy Williams,NYJ,0,5,3,60.0%,17,5.7,3.4,0,66.2,4.6,15,2,3,0,0,0.0,0,6,0,0.0%,WillQu01
Tony Adams,NYJ,0,5,2,40.0%,40,20.0,8.0,0,68.7,15.0,34,6,1,0,0,1.0,1,12,1,7.7%,AdamTo03
Michael Carter II,NYJ,0,4,2,50.0%,19,9.5,4.8,0,63.5,13.5,17,2,0,0,0,0.0,0,2,0,0.0%,CartMi02
Ashtyn Davis,NYJ,0,2,2,100.0%,59,29.5,29.5,0,118.7,16.0,32,27,0,0,0,0.0,0,2,1,33.3%,DaviAs00
D.J. Reed,NYJ,0,3,2,66.7%,29,14.5,9.7,0,97.9,9.7,23,6,1,0,0,0.0,0,9,1,10.0%,ReedD.00
Quinnen Williams,NYJ,0,1,1,100.0%,0,0.0,0.0,0,79.2,-1.0,-1,1,0,1,1,0.0,2,3,0,0.0%,WillQu00
Sauce Gardner,NYJ,0,3,1,33.3%,22,22.0,7.3,0,60.4,12.3,18,4,1,0,0,1.0,1,3,1,25.0%,GardSa00
Qwan'tez Stiggers,NYJ,0,1,1,100.0%,8,8.0,8.0,0,100.0,7.0,7,1,0,0,0,0.0,0,0,1,100.0%,StigQw00
Chuck Clark,NYJ,0,1,1,100.0%,2,2.0,2.0,0,79.2,1.0,1,1,0,0,0,0.0,0,5,1,16.7%,ClarCh00
Micheal Clemons,NYJ,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%,ClemMi03
Jermaine Johnson II,NYJ,0,0,0,,,,,,,,,,4,1,0,0.0,1,2,0,0.0%,JohnJe07
Will McDonald,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,McDoWi00
Chazz Surratt,NYJ,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,SurrCh00
Jamien Sherwood,NYJ,0,2,0,0.0%,,,0.0,,39.6,0.0,,,0,0,0,0.0,0,4,1,20.0%,SherJa00
Solomon Thomas,NYJ,0,0,0,,,,,,,,,,0,0,0,0.0,0,4,2,33.3%,ThomSo00
Deommodore Lenoir,SFO,0,7,4,57.1%,42,10.5,6.0,0,74.7,10.0,19,23,0,0,0,0.0,0,4,0,0.0%,LenoDe00
De'Vondre Campbell,SFO,0,5,4,80.0%,30,7.5,6.0,0,91.7,0.6,3,27,3,0,0,0.0,0,5,2,28.6%,CampDe00
George Odum,SFO,0,3,3,100.0%,58,19.3,19.3,1,158.3,12.7,38,20,0,0,0,0.0,0,3,1,25.0%,OdumGe00
Charvarius Ward,SFO,0,5,2,40.0%,14,7.0,2.8,0,47.9,7.8,9,5,0,0,0,0.0,0,3,0,0.0%,WardCh01
Fred Warner,SFO,0,3,2,66.7%,5,2.5,1.7,0,70.1,2.7,4,1,0,0,0,0.0,0,7,1,12.5%,WarnFr00
Isaac Yiadom,SFO,0,4,2,50.0%,29,14.5,7.3,1,113.5,7.3,16,13,0,0,0,0.0,0,4,0,0.0%,YiadIs00
Demetrius Flannigan-Fowles,SFO,1,1,1,100.0%,12,12.0,12.0,0,77.1,1.0,1,11,0,0,0,0.0,0,1,1,50.0%,FlanDe00
Robert Beal,SFO,0,1,1,100.0%,13,13.0,13.0,0,118.7,-4.0,-4,17,0,0,0,0.0,0,2,0,0.0%,BealRo00
Nick Bosa,SFO,0,0,0,,,,,,,,,,0,1,2,0.0,3,2,0,0.0%,BosaNi00
Leonard Floyd,SFO,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,1,33.3%,FloyLe00
Jordan Elliott,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,ElliJo02
Ji'Ayir Brown,SFO,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%,BrowJi01
