Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Devin Harper,,,0,0,,,,,,,,,,0,0,0,,0,,1,,HarpDe00
Beanie Bishop,PIT,0,6,4,66.7%,29,7.3,4.8,1,117.4,6.2,27,2,0,0,0,0.0,0,4,0,0.0%,BishBe00
Minkah Fitzpatrick,PIT,0,3,3,100.0%,44,14.7,14.7,0,118.7,13.7,41,3,0,0,0,0.0,0,7,0,0.0%,FitzMi00
Joey Porter Jr.,PIT,0,2,2,100.0%,12,6.0,6.0,0,91.7,3.0,6,6,0,0,0,0.0,0,3,2,40.0%,PortJo02
Donte Jackson,PIT,1,4,2,50.0%,24,12.0,6.0,0,29.2,10.8,15,9,0,0,0,0.0,0,2,0,0.0%,JackDo02
Alex Highsmith,PIT,0,1,1,100.0%,9,9.0,9.0,0,104.2,-2.0,-2,11,2,0,0,0.0,0,6,0,0.0%,HighAl02
Payton Wilson,PIT,0,1,1,100.0%,7,7.0,7.0,0,95.8,0.0,0,7,0,0,0,0.0,0,3,0,0.0%,WilsPa00
Patrick Queen,PIT,0,1,1,100.0%,14,14.0,14.0,0,118.7,-5.0,-5,19,1,0,0,0.0,0,2,2,50.0%,QueePa00
Damontae Kazee,PIT,0,2,1,50.0%,8,8.0,4.0,0,60.4,8.0,5,3,0,0,0,0.0,0,3,0,0.0%,KazeDa00
DeShon Elliott,PIT,1,3,1,33.3%,8,8.0,2.7,0,2.8,2.7,-5,13,1,0,0,0.0,0,4,1,20.0%,ElliDe02
T.J. Watt,PIT,0,0,0,,,,,,,,,,0,0,2,1.0,3,4,1,20.0%,WattT.00
Larry Ogunjobi,PIT,0,0,0,,,,,,,,,,0,1,2,0.0,3,3,0,0.0%,OgunLa00
Cameron Heyward,PIT,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%,HeywCa01
Montravius Adams,PIT,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,AdamMo00
Keeanu Benton,PIT,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,1,33.3%,BentKe00
Elandon Roberts,PIT,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,,RobeEl00
AJ Terrell,ATL,0,4,4,100.0%,65,16.3,16.3,0,118.7,12.3,49,16,0,0,0,0.0,0,5,3,37.5%,TerrAJ00
Mike Hughes,ATL,0,2,2,100.0%,12,6.0,6.0,0,91.7,0.0,0,12,1,1,0,0.0,1,7,1,12.5%,HughMi00
Kaden Elliss,ATL,0,3,2,66.7%,15,7.5,5.0,0,78.5,2.0,6,9,0,0,0,0.0,0,9,1,10.0%,ElliKa00
Troy Andersen,ATL,0,2,2,100.0%,11,5.5,5.5,0,89.6,4.5,9,2,2,0,0,0.0,0,6,1,14.3%,AndeTr00
Jessie Bates III,ATL,0,2,2,100.0%,35,17.5,17.5,0,118.7,16.0,32,3,1,0,0,0.0,0,6,0,0.0%,BateJe00
Justin Simmons,ATL,0,4,2,50.0%,9,4.5,2.3,0,56.2,6.0,0,9,0,0,0,0.0,0,3,0,0.0%,SimmJu00
Lorenzo Carter,ATL,0,1,1,100.0%,5,5.0,5.0,0,87.5,4.0,4,1,0,0,0,0.0,0,5,0,0.0%,CartLo01
Clark Phillips,ATL,0,1,1,100.0%,9,9.0,9.0,0,104.2,8.0,8,1,0,0,0,0.0,0,1,0,0.0%,PhilCl00
James Smith-Williams,ATL,0,1,1,100.0%,-5,-5.0,-5.0,0,79.2,-6.0,-6,1,0,0,0,0.0,0,5,0,0.0%,SmitJa08
Grady Jarrett,ATL,0,0,0,,,,,,,,,,0,0,0,1.5,2,3,0,0.0%,JarrGr00
Matt Judon,ATL,0,1,0,0.0%,,,0.0,,39.6,6.0,,,0,0,0,0.5,1,6,0,0.0%,JudoMa00
Eddie Goldman,ATL,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,GoldEd00
Drew Dalman,ATL,0,1,0,0.0%,,,0.0,,39.6,14.0,,,0,0,0,0.0,0,0,0,,DalmDr00
Ta'Quon Graham,ATL,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,GrahTa00
Arnold Ebiketie,ATL,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,0,0,0,0.0,0,5,0,0.0%,EbikAr00
DeAundre Alford,ATL,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,AlfoDe00
