Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Benjamin St-Juste,WAS,0,9,7,77.8%,85,12.1,9.4,2,145.6,5.7,32,53,0,0,0,0.0,0,5,1,16.7%,StJuBe00
Mike Sainristil,WAS,0,6,5,83.3%,58,11.6,9.7,2,146.5,9.2,37,21,4,0,0,0.0,0,6,0,0.0%,SainMi00
Emmanuel Forbes,WAS,0,3,3,100.0%,30,10.0,10.0,0,108.3,7.3,22,8,0,0,0,0.0,0,4,1,20.0%,ForbEm00
Dorance Armstrong Jr.,WAS,0,2,2,100.0%,20,10.0,10.0,0,108.3,2.5,5,15,0,1,1,0.0,2,1,2,66.7%,ArmsDo00
Bobby Wagner,WAS,0,2,2,100.0%,26,13.0,13.0,0,118.7,-3.5,-7,33,2,1,0,0.0,1,10,2,16.7%,WagnBo00
Quan Martin,WAS,0,2,2,100.0%,43,21.5,21.5,0,118.7,19.0,38,5,0,0,0,0.0,0,9,0,0.0%,MartJa04
Frankie Luvu,WAS,0,2,1,50.0%,5,5.0,2.5,0,56.2,5.0,0,5,9,2,0,0.0,2,5,0,0.0%,LuvuFr00
Clelin Ferrell,WAS,0,1,1,100.0%,5,5.0,5.0,0,87.5,-7.0,-7,12,0,0,0,1.0,1,2,0,0.0%,FerrCl00
Noah Igbinoghene,WAS,0,2,1,50.0%,24,24.0,12.0,0,93.7,1.5,-4,28,0,0,0,0.0,0,1,0,0.0%,IgbiNo00
Percy Butler,WAS,0,1,1,100.0%,4,4.0,4.0,0,83.3,-5.0,-5,9,0,0,0,0.0,0,2,0,0.0%,ButlPe00
Jeremy Chinn,WAS,0,2,1,50.0%,32,32.0,16.0,1,135.4,16.5,29,3,2,0,0,0.0,0,3,0,0.0%,ChinJe00
Daron Payne,WAS,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,2,66.7%,PaynDa00
Jonathan Allen,WAS,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,1,33.3%,AlleJo01
Javontae Jean-Baptiste,WAS,0,0,0,,,,,,,,,,0,1,1,0.0,2,0,0,,JeanJa00
Dante Fowler,WAS,0,0,0,,,,,,,,,,5,0,0,0.0,0,2,0,0.0%,FowlDa00
Lavonte David,TAM,0,5,5,100.0%,56,11.2,11.2,0,113.3,3.0,15,41,3,1,0,0.0,1,6,1,14.3%,DaviLa00
SirVocea Dennis,TAM,0,3,3,100.0%,24,8.0,8.0,0,100.0,-3.0,-9,33,6,1,0,1.0,2,7,0,0.0%,DennSi00
Jamel Dean,TAM,0,3,2,66.7%,23,11.5,7.7,0,89.6,17.7,7,16,0,0,0,0.0,0,5,0,0.0%,DeanJa00
Zyon McCollum,TAM,0,2,2,100.0%,13,6.5,6.5,0,93.7,-1.0,-2,15,0,0,0,0.0,0,1,1,50.0%,McCoZy02
Tykee Smith,TAM,0,2,2,100.0%,25,12.5,12.5,0,118.7,10.0,20,5,2,0,0,0.0,0,2,0,0.0%,SmitTy05
Anthony Nelson,TAM,0,1,1,100.0%,6,6.0,6.0,0,91.7,-2.0,-2,8,0,1,0,0.0,1,2,0,0.0%,NelsAn01
K.J. Britt,TAM,0,2,1,50.0%,32,32.0,16.0,0,95.8,0.5,4,28,2,1,0,0.0,1,5,3,37.5%,BritKJ00
Bryce Hall,TAM,0,3,1,33.3%,5,5.0,1.7,0,42.4,12.3,-3,8,0,0,0,0.0,0,0,0,,HallBr02
Joe Tryon-Shoyinka,TAM,0,0,0,,,,,,,,,,4,0,1,1.0,2,2,0,0.0%,TryoJo00
Markees Watts,TAM,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,WattMa00
YaYa Diaby,TAM,0,0,0,,,,,,,,,,4,1,0,0.0,1,0,0,,DiabYa00
C.J. Brewer,TAM,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,BrewCJ00
Chris Braswell,TAM,0,0,0,,,,,,,,,,6,0,0,0.0,0,1,0,0.0%,BrasCh01
Christian Izien,TAM,0,2,0,0.0%,,,0.0,,39.6,2.5,,,0,0,0,0.0,0,2,1,33.3%,IzieCh00
Jordan Whitehead,TAM,0,1,0,0.0%,,,0.0,,39.6,7.0,,,2,0,0,0.0,0,8,0,0.0%,WhitJo03
Antoine Winfield Jr.,TAM,0,0,0,,,,,,,,,,3,0,0,0.0,0,7,0,0.0%,WinfAn00
