Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
Nico Collins,HOU,8,6,117,0,6,101,16.8,16,2.7,15.5,0,,1,12.5,0,116.7,CollNi00
Stefon Diggs,HOU,6,6,33,2,3,9,1.5,24,4.0,1.5,0,,0,0.0,0,129.2,DiggSt00
Tank Dell,HOU,7,3,40,0,2,32,10.7,8,2.7,15.0,0,,0,0.0,0,61.6,DellNa00
Joe Mixon,HOU,3,3,19,0,1,-7,-2.3,26,8.7,-2.3,1,3.0,0,0.0,0,93.1,MixoJo00
Dalton Schultz,HOU,3,3,16,0,,13,4.3,3,1.0,4.3,0,,0,0.0,0,88.9,SchuDa00
Xavier Hutchinson,HOU,1,1,3,0,,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2,HutcXa00
Brevin Jordan,HOU,2,1,3,0,1,1,1.0,2,2.0,-1.0,0,,0,0.0,0,56.2,JordBr00
Dare Ogunbowale,HOU,1,1,3,0,,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2,OgunDa00
Michael Pittman Jr.,IND,8,4,31,0,1,24,6.0,7,1.8,9.3,0,,0,0.0,0,59.9,PittMi01
Alec Pierce,IND,3,3,125,1,2,119,39.7,6,2.0,39.7,0,,0,0.0,0,158.3,PierAl00
Ashton Dulin,IND,1,1,54,1,1,19,19.0,35,35.0,19.0,1,1.0,0,0.0,0,158.3,DuliAs00
Adonai Mitchell,IND,5,1,2,0,,-1,-1.0,3,3.0,16.4,0,,0,0.0,0,39.6,MitcAd00
Mo Alie-Cox,IND,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6,AlieMo00
Kylen Granson,IND,1,0,0,0,,0,,0,,12.0,0,,0,0.0,1,0.0,GranKy00
