Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
Cooper Kupp,LAR,21,14,110,1,6,69,4.9,41,2.9,7.3,1,14.0,1,4.8,0,95.3,KuppCo00
Tyler Johnson,LAR,7,5,79,0,2,14,2.8,65,13.0,4.4,0,,1,14.3,1,69.0,JohnTy00
Puka Nacua,LAR,4,4,35,0,1,18,4.5,17,4.3,4.5,0,,0,0.0,0,103.1,NacuPu00
Colby Parkinson,LAR,5,4,47,0,3,17,4.3,30,7.5,2.2,0,,1,20.0,0,105.8,ParkCo02
Demarcus Robinson,LAR,7,4,42,0,3,34,8.5,8,2.0,11.0,0,,0,0.0,0,74.7,RobiDe01
Kyren Williams,LAR,3,3,4,0,0,-6,-2.0,10,3.3,-2.0,0,,0,0.0,0,79.2,WillKy02
Davis Allen,LAR,1,0,0,0,,0,,0,,2.0,0,,1,100.0,0,39.6,AlleDa02
Jameson Williams,DET,9,5,121,1,3,58,11.6,63,12.6,14.1,1,5.0,0,0.0,0,137.5,WillJa11
Jahmyr Gibbs,DET,6,4,34,0,2,-20,-5.0,54,13.5,0.2,0,,1,16.7,0,81.2,GibbJa01
Sam LaPorta,DET,5,4,45,0,2,23,5.8,22,5.5,6.0,0,,0,0.0,0,104.2,LaPoSa01
Amon-Ra St. Brown,DET,6,3,13,0,,6,2.0,7,2.3,4.5,1,3.0,2,33.3,1,16.7,StxxAm00
David Montgomery,DET,1,1,2,0,0,2,2.0,0,0.0,2.0,0,,0,0.0,0,79.2,MontDa01
Brock Wright,DET,1,1,2,0,,0,0.0,2,2.0,0.0,0,,0,0.0,0,79.2,WrigBr01
