Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
Justin Jefferson,MIN,6,4,59,1,2,40,10.0,19,4.8,10.5,0,,0,0.0,0,138.2,JeffJu00
Jordan Addison,MIN,4,3,35,0,2,35,11.7,0,0.0,11.8,0,,0,0.0,0,101.0,AddiJo00
Ty Chandler,MIN,3,3,25,0,2,-3,-1.0,28,9.3,-1.0,0,,0,0.0,0,101.4,ChanTy01
C.J. Ham,MIN,2,2,11,0,,5,2.5,6,3.0,2.5,0,,0,0.0,0,89.6,HamxC.00
Aaron Jones,MIN,2,2,15,0,0,6,3.0,9,4.5,3.0,0,,0,0.0,0,97.9,JoneAa00
Johnny Mundt,MIN,3,2,15,0,,10,5.0,5,2.5,4.3,0,,0,0.0,0,78.5,MundJo00
Josh Oliver,MIN,2,2,27,0,1,26,13.0,1,0.5,13.0,0,,0,0.0,0,118.7,OlivJo00
Jalen Nailor,MIN,1,1,21,1,1,21,21.0,0,0.0,21.0,0,,0,0.0,0,158.3,NailJa00
Wan'Dale Robinson,NYG,12,6,44,0,2,38,6.3,6,1.0,5.1,1,6.0,0,0.0,1,24.3,RobiWa01
Malik Nabers,NYG,7,5,66,0,2,44,8.8,22,4.4,7.0,0,,1,14.3,0,100.9,NabeMa00
Devin Singletary,NYG,5,4,15,0,1,-17,-4.3,32,8.0,-3.0,1,4.0,1,20.0,0,79.2,SingDe00
Darius Slayton,NYG,4,3,26,0,2,23,7.7,3,1.0,8.5,0,,0,0.0,1,52.1,SlayDa01
Tyrone Tracy,NYG,3,1,5,0,,5,5.0,0,0.0,2.0,0,,1,33.3,0,42.4,TracTy00
Theo Johnson,NYG,4,1,18,0,1,13,13.0,5,5.0,8.3,0,,1,25.0,0,45.8,JohnTh00
Eric Gray,NYG,1,1,9,0,0,-5,-5.0,14,14.0,-5.0,0,,0,0.0,0,104.2,GrayEr01
Daniel Bellinger,NYG,1,1,3,0,,2,2.0,1,1.0,2.0,0,,0,0.0,0,79.2,BellDa00
Jalin Hyatt,NYG,1,0,0,0,,0,,0,,18.0,0,,1,100.0,0,39.6,HyatJa00
