Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
K.J. Osborn,NWE,6,3,21,0,1,16,5.3,5,1.7,4.7,0,,0,0.0,0,58.3,OsboKJ00
Rhamondre Stevenson,NWE,3,3,6,0,0,-3,-1.0,9,3.0,-1.0,0,,0,0.0,0,79.2,StevRh00
Demario Douglas,NWE,3,2,12,0,1,10,5.0,2,1.0,6.0,0,,0,0.0,0,74.3,DougDe00
Hunter Henry,NWE,3,2,18,0,1,14,7.0,4,2.0,8.7,0,,0,0.0,0,82.6,HenrHu00
Austin Hooper,NWE,4,2,31,0,2,0,0.0,31,15.5,4.5,0,,0,0.0,0,76.0,HoopAu00
Tyquan Thornton,NWE,3,2,27,0,1,24,12.0,3,1.5,19.0,0,,0,0.0,0,95.1,ThorTy00
Ja'Lynn Polk,NWE,1,1,6,0,,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7,PolkJa00
Ja'Marr Chase,CIN,6,6,62,0,3,38,6.3,24,4.0,6.3,0,,0,0.0,0,109.7,ChasJa00
Chase Brown,CIN,3,3,12,0,,9,3.0,3,1.0,3.0,0,,0,0.0,0,83.3,BrowCh10
Mike Gesicki,CIN,4,3,18,0,,13,4.3,5,1.7,7.0,0,,0,0.0,0,83.3,GesiMi00
Andrei Iosivas,CIN,6,3,26,0,2,23,7.7,3,1.0,7.5,0,,0,0.0,0,61.8,IosiAn00
Tanner Hudson,CIN,3,2,18,0,,8,4.0,10,5.0,4.3,0,,0,0.0,0,82.6,HudsTa00
Zack Moss,CIN,4,2,17,0,1,-1,-0.5,18,9.0,0.3,0,,1,25.0,0,61.5,MossZa00
Trenton Irwin,CIN,2,1,6,0,1,2,2.0,4,4.0,11.5,0,,0,0.0,0,56.2,IrwiTr00
Charlie Jones,CIN,1,1,5,0,,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5,JoneCh11
