Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
Allen Lazard,NYJ,9,6,89,2,6,60,10.0,29,4.8,10.1,0,,0,0.0,0,138.4,LazaAl00
Garrett Wilson,NYJ,11,6,60,0,3,33,5.5,27,4.5,9.1,0,,1,9.1,1,32.4,WilsGa00
Breece Hall,NYJ,6,5,39,0,2,-3,-0.6,42,8.4,-0.5,1,5.0,1,16.7,0,93.7,HallBr03
Braelon Allen,NYJ,1,1,9,0,0,-4,-4.0,13,13.0,-4.0,0,,0,0.0,0,104.2,AlleBr05
Tyler Conklin,NYJ,2,1,6,0,,0,0.0,6,6.0,0.0,0,,0,0.0,0,56.2,ConkTy00
Jauan Jennings,SFO,5,5,64,0,4,54,10.8,10,2.0,10.8,0,,0,0.0,0,118.7,JennJa00
Deebo Samuel,SFO,9,5,54,0,3,19,3.8,35,7.0,9.4,1,5.0,0,0.0,0,73.4,SamuDe00
George Kittle,SFO,5,4,40,0,1,31,7.8,9,2.3,5.2,0,,0,0.0,0,100.0,KittGe00
Brandon Aiyuk,SFO,5,2,28,0,2,27,13.5,1,0.5,11.8,0,,1,20.0,0,58.7,AiyuBr00
Kyle Juszczyk,SFO,3,2,40,0,1,30,15.0,10,5.0,11.7,0,,0,0.0,0,109.7,JuszKy00
Jordan Mason,SFO,1,1,5,0,1,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5,MasoJo00
Eric Saubert,SFO,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6,SaubEr00
