Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
George Pickens,PIT,7,6,85,0,4,79,13.2,6,1.0,14.1,0,,0,0.0,0,117.3,PickGe00
Pat Freiermuth,PIT,4,4,27,0,2,12,3.0,15,3.8,3.0,0,,0,0.0,0,94.8,FreiPa00
Jaylen Warren,PIT,2,2,13,0,0,-2,-1.0,15,7.5,-1.0,2,1.0,0,0.0,0,93.7,WarrJa01
Calvin Austin,PIT,2,1,7,0,,7,7.0,0,0.0,5.5,0,,0,0.0,0,58.3,AustCa00
Najee Harris,PIT,2,1,9,0,0,-2,-2.0,11,11.0,-1.0,0,,0,0.0,0,62.5,HarrNa00
Van Jefferson,PIT,2,1,1,0,,-4,-4.0,5,5.0,1.0,0,,0,0.0,0,56.2,JeffVa00
MyCole Pruitt,PIT,2,1,9,0,,8,8.0,1,1.0,2.5,0,,0,0.0,0,62.5,PruiMy00
Darnell Washington,PIT,1,1,5,0,,4,4.0,1,1.0,4.0,0,,0,0.0,0,87.5,WashDa03
Bijan Robinson,ATL,5,5,43,0,3,-13,-2.6,56,11.2,-2.6,0,,0,0.0,0,102.5,RobiBi01
Ray-Ray McCloud,ATL,7,4,52,0,2,44,11.0,8,2.0,9.3,0,,0,0.0,1,41.1,McClRa00
Kyle Pitts,ATL,3,3,26,1,1,24,8.0,2,0.7,8.0,0,,0,0.0,0,142.4,PittKy00
Drake London,ATL,3,2,15,0,1,12,6.0,3,1.5,7.7,0,,0,0.0,1,38.9,LondDr00
Darnell Mooney,ATL,3,1,15,0,1,12,12.0,3,3.0,13.3,0,,0,0.0,0,50.7,MoonDa00
Charlie Woerner,ATL,2,1,4,0,,3,3.0,1,1.0,2.5,0,,0,0.0,0,56.2,WoerCh00
