Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Ezekiel Elliott,DAL,10,40,1,2,25,2.5,15,1.5,0,,ElliEz00
Rico Dowdle,DAL,8,26,0,2,13,1.6,13,1.6,0,,DowdRi01
CeeDee Lamb,DAL,3,25,0,2,20,6.7,5,1.7,0,,LambCe00
Brandin Cooks,DAL,1,5,0,0,0,0.0,5,5.0,0,,CookBr00
Dak Prescott,DAL,1,3,0,1,2,2.0,1,1.0,0,,PresDa01
Cooper Rush,DAL,1,-1,0,,-1,-1.0,0,0.0,0,,RushCo00
Deuce Vaughn,DAL,1,4,0,,2,2.0,2,2.0,0,,VaugDe00
Jerome Ford,CLE,12,44,1,2,20,1.7,24,2.0,1,12.0,FordJe00
Deshaun Watson,CLE,5,39,0,2,25,5.0,14,2.8,1,5.0,WatsDe00
Pierre Strong,CLE,2,10,0,1,6,3.0,4,2.0,0,,StroPi00
