Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Tank Bigsby,JAX,12,73,0,2,47,3.9,26,2.2,1,12.0,BigsTa00
Travis Etienne,JAX,12,44,1,3,31,2.6,13,1.1,0,,EtieTr00
Devin Duvernay,JAX,1,3,0,1,1,1.0,2,2.0,0,,DuveDe00
Trevor Lawrence,JAX,1,8,0,1,8,8.0,0,0.0,0,,LawrTr00
De'Von Achane,MIA,10,24,1,1,22,2.2,2,0.2,0,,AchaDe00
Raheem Mostert,MIA,6,9,0,0,2,0.3,7,1.2,0,,MostRa00
Jeff Wilson,MIA,5,26,0,1,10,2.0,16,3.2,0,,WilsJe01
Alec Ingold,MIA,2,8,0,2,1,0.5,7,3.5,0,,IngoAl01
Tua Tagovailoa,MIA,1,11,0,1,11,11.0,0,0.0,0,,TagoTu00
Jaylen Waddle,MIA,1,3,0,0,0,0.0,3,3.0,0,,WaddJa00
