Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Tony Pollard,TEN,16,82,1,5,44,2.8,38,2.4,3,5.3,PollTo00
Will Levis,TEN,4,36,0,2,22,5.5,14,3.5,1,4.0,LeviWi00
Tyjae Spears,TEN,4,21,0,2,10,2.5,11,2.8,0,,SpeaTy00
Treylon Burks,TEN,2,1,0,,-5,-2.5,6,3.0,1,2.0,BurkTr00
D'Andre Swift,CHI,10,30,0,1,17,1.7,13,1.3,0,,SwifDA00
Caleb Williams,CHI,5,15,0,1,12,2.4,3,0.6,0,,WillCa03
Khalil Herbert,CHI,2,4,0,1,1,0.5,3,1.5,0,,HerbKh00
Travis Homer,CHI,2,10,0,1,8,4.0,2,1.0,0,,HomeTr00
Velus Jones Jr.,CHI,2,11,0,1,6,3.0,5,2.5,0,,JoneVe00
D.J. Moore,CHI,1,14,0,1,14,14.0,0,0.0,0,,MoorD.00
