,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Kei'Trel Clark,ARI,0,0,0,0,0,1.0,3,2,1,0,1,0,0,0,0,ClarKe02
Roy Lopez,ARI,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,1,LopeRo00
Kyzir White,ARI,0,0,0,0,0,0.0,11,5,6,1,1,0,0,0,0,WhitKy00
Budda Baker,ARI,0,0,0,0,0,0.0,10,4,6,1,0,0,0,0,0,BakeBu00
Zaven Collins,ARI,0,0,0,0,0,0.0,9,5,4,1,0,0,0,0,0,CollZa00
Mack Wilson,ARI,0,0,0,0,1,0.0,9,8,1,1,0,0,0,0,0,WilsMa03
Jalen Thompson,ARI,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,ThomJa04
Sean Murphy-Bunting,ARI,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,BuntSe00
Owen Pappoe,ARI,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,PappOw00
Starling Thomas,ARI,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,ThomSt01
Garrett Williams,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,WillGa00
Krys Barnes,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,BarnKr00
Justin Jones,ARI,0,0,0,0,0,0.0,2,1,1,0,0,1,0,0,0,JoneJu03
Max Melton,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,MeltMa00
Khyiris Tonga,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,TongKh00
Gregory Rousseau,BUF,0,0,0,0,0,3.0,6,6,0,3,2,0,0,0,1,RousGr00
Von Miller,BUF,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0,MillVo00
Terrel Bernard,BUF,0,0,0,0,0,0.0,11,10,1,0,0,0,0,0,0,BernTe00
Cameron Lewis,BUF,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,0,LewiCa00
Dorian Williams,BUF,0,0,0,0,0,0.0,9,6,3,0,0,1,0,0,0,WillDo04
Taylor Rapp,BUF,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0,RappTa00
Damar Hamlin,BUF,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,HamlDa00
Christian Benford,BUF,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,BenfCh00
Rasul Douglas,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,DougRa00
Ja'Marcus Ingram,BUF,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0,IngrJa00
Casey Toohill,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,ToohCa00
A.J. Epenesa,BUF,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,EpenAJ00
Mack Hollins,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,HollMa00
Ty Johnson,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,JohnTy02
Taron Johnson,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,JohnTa01
Austin Johnson,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,JohnAu01
DaQuan Jones,BUF,0,0,0,0,1,0.0,1,0,1,0,1,0,0,0,0,JoneDa04
