,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Roquan Smith,BAL,1,0,0,0,1,0.0,7,4,3,1,0,0,0,0,0,SmitRo07
David Ojabo,BAL,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,OjabDa00
Trenton Simpson,BAL,0,0,0,0,1,0.5,5,2,3,0,2,0,0,0,0,SimpTr00
Nnamdi Madubuike,BAL,0,0,0,0,0,0.5,2,0,2,0,2,0,0,0,0,MaduJu00
Marcus Williams,BAL,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0,WillMa06
Odafe Oweh,BAL,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0,OwehJa00
Michael Pierce,BAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,PierMi00
Brandon Stephens,BAL,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,StepBr01
Kyle Hamilton,BAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,HamiKy00
Malik Harrison,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,HarrMa06
Marlon Humphrey,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,HumpMa00
Eddie Jackson,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,JackEd01
Travis Jones,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,JoneTr00
Nate Wiggins,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,WiggNa00
Jalyn Armour-Davis,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,ArmoJa00
Chris Board,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BoarCh00
Ka'dar Hollman,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,HollKa00
Josh Ross,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,RossJo01
Kyle Van Noy,BAL,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,VanNKy00
Broderick Washington Jr.,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,WashBr01
Ar'Darius Washington,BAL,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,WashAr00
Chris Jones,KAN,0,0,0,0,0,1.0,3,1,2,1,0,0,0,0,1,JoneCh09
Jaylen Watson,KAN,0,0,0,0,1,0.0,11,7,4,0,0,0,0,0,0,WatsJa02
Justin Reid,KAN,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0,ReidJu00
Nick Bolton,KAN,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0,BoltNi00
Leo Chenal,KAN,0,0,0,0,2,0.0,7,3,4,1,0,0,0,0,0,ChenLe00
Chamarri Conner,KAN,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0,ConnCh01
Bryan Cook,KAN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,CookBr02
Michael Danna,KAN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,DannMi00
Trent McDuffie,KAN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,McDuTr00
Drue Tranquill,KAN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,TranDr00
Tershawn Wharton,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,WharTe00
George Karlaftis III,KAN,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0,KarlGe00
Mike Pennel,KAN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,PennMi00
Felix Anudike-Uzomah,KAN,0,0,0,0,0,0.0,1,1,0,1,0,1,0,0,0,AnudFe00
Nazeeh Johnson,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,JohnNa01
Joshua Williams,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,WillJo03
