,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Eku Leota,CAR,0,0,0,0,0,1.0,4,4,0,3,1,0,0,0,0,LeotEk00
Shaq Thompson,CAR,0,0,0,0,0,0.0,10,4,6,2,0,0,0,0,0,ThomSh01
A'Shawn Robinson,CAR,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0,RobiAS00
Xavier Woods,CAR,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0,WoodXa00
Jordan Fuller,CAR,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0,FullJo01
Michael Jackson,CAR,0,0,0,0,1,0.0,7,7,0,0,0,0,0,0,0,JackMi01
Josey Jewell,CAR,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0,JeweJo00
Troy Hill,CAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,HillTr01
Derrick Brown,CAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,BrowDe05
DJ Johnson,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,JohnDJ00
Jon Rhattigan,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,RhatJo00
Nick Thurman,CAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,ThurNi00
Shy Tuttle,CAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,TuttSh00
Claudin Cherelus,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,CherCl00
Jadeveon Clowney,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,ClowJa00
Feleipe Franks,CAR,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0,FranFe00
Jaycee Horn,CAR,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,HornJa00
David Moore,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MoorDa03
Jayden Peevy,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,PeevJa00
Chau Smith-Wade,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,SmitCh05
Nick Scott,CAR,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,ScotNi01
Jordan Howden,NOR,1,-5,0,-5,1,0.0,3,1,2,0,0,0,0,0,0,HowdJo00
Will Harris,NOR,1,7,0,7,1,0.0,2,0,2,0,0,0,0,0,0,HarrWi02
Alontae Taylor,NOR,0,0,0,0,1,3.0,6,5,1,3,3,0,0,0,0,TaylAl01
Demario Davis,NOR,0,0,0,0,0,1.0,4,2,2,0,0,0,0,0,0,DaviDe00
Paulson Adebo,NOR,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0,AdebPa00
Anfernee Orji,NOR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,OrjiAn00
Isaiah Foskey,NOR,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,FoskIs00
Tyrann Mathieu,NOR,0,0,0,0,0,0.0,4,4,0,0,0,1,0,0,1,MathTy00
Nathan Shepherd,NOR,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0,ShepNa00
Carl Granderson,NOR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,GranCa01
J.T. Gray,NOR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,GrayJ.00
Willie Gay Jr.,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,GayJWi00
Marshon Lattimore,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,LattMa01
Kool-Aid McKinstry,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,McKiKo00
Kendal Vickers,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,VickKe00
Pete Werner,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,WernPe00
Khristian Boyd,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BoydKh00
Cameron Jordan,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,JordCa00
Cedrick Wilson Jr.,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,WilsCe01
Rico Payton,NOR,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,PaytRi00
Payton Turner,NOR,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,TurnPa02
Chase Young,NOR,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,YounCh04
