,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Alex Singleton,DEN,1,21,0,21,1,0.0,9,6,3,1,0,0,0,0,0,SingAl00
Jonathon Cooper,DEN,0,0,0,0,0,2.0,6,2,4,2,4,0,0,0,0,CoopJo02
Riley Moss,DEN,0,0,0,0,0,0.0,12,8,4,1,0,0,0,0,0,MossRi00
Brandon Jones,DEN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,JoneBr06
Patrick Surtain II,DEN,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0,SurtPa01
Baron Browning,DEN,0,0,0,0,0,0.0,5,1,4,1,0,0,0,0,0,BrowBa01
P.J. Locke,DEN,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0,LockPJ00
Ja'Quan McMillian,DEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,McMiJa00
D.J. Jones,DEN,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0,JoneD.01
Kristian Welch,DEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,WelcKr00
Zach Allen,DEN,0,0,0,0,0,0.0,2,1,1,1,1,0,0,0,0,AlleZa01
Cody Barton,DEN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,BartCo00
John Franklin-Myers,DEN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,FranJo02
Malcolm Roach,DEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,RoacMa01
Nik Bonitto,DEN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,BoniNi00
Michael Burton,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BurtMi00
JL Skinner,DEN,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0,SkinJL00
Justin Strnad,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,StrnJu00
Adam Trautman,DEN,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0,TrauAd00
Julian Love,SEA,1,0,0,0,1,0.0,12,10,2,1,0,0,0,0,1,LoveJu00
Riq Woolen,SEA,1,4,0,4,2,0.0,3,1,2,0,0,0,0,0,0,WoolTa00
Boye Mafe,SEA,0,0,0,0,0,1.0,4,3,1,2,2,0,0,0,0,MafeBo00
Derick Hall,SEA,0,0,0,0,0,1.0,2,1,1,0,2,0,0,0,0,HallDe04
Tyrel Dodson,SEA,0,0,0,0,1,0.0,10,9,1,1,0,0,0,0,0,DodsTy01
Devon Witherspoon,SEA,0,0,0,0,1,0.0,7,5,2,0,0,0,0,0,0,WithDe00
Rayshawn Jenkins,SEA,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0,JenkRa00
Jerome Baker,SEA,0,0,0,0,0,0.0,5,3,2,1,0,1,0,0,0,BakeJe00
Tre Brown,SEA,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,BrowTr03
Marquise Blair,SEA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,BlaiMa01
Johnathan Hankins,SEA,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,HankJo00
Mike Morris,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,MorrMi00
Byron Murphy,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,MurpBy01
Leonard Williams,SEA,0,0,0,0,0,0.0,2,1,1,0,4,0,0,0,0,WillLe02
Dareke Young,SEA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,YounDa02
Coby Bryant,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,BryaCo01
Zach Charbonnet,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,CharZa00
Dre'Mont Jones,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,JoneDr00
Brady Russell,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,RussBr00
Laviska Shenault Jr.,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,ShenLa00
Drake Thomas,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,ThomDr00
K'Von Wallace,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1,WallKV00
