,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Calen Bullock,HOU,1,0,0,0,1,0.0,3,0,3,0,0,0,0,0,0,BullCa00
Folorunso Fatukasi,HOU,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0,FatuFo00
Mario Edwards,HOU,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0,EdwaMa01
Henry To'oTo'o,HOU,0,0,0,0,1,0.0,7,3,4,1,0,0,0,0,0,TooTHe00
Azeez Al-Shaair,HOU,0,0,0,0,1,0.0,5,2,3,0,0,0,0,0,0,AlShAz00
Derek Stingley Jr.,HOU,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0,StinDe00
Jalen Pitre,HOU,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,PitrJa00
Jimmie Ward,HOU,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,WardJi01
Will Anderson,HOU,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,AndeWi01
Khalil Davis,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,DaviKh00
Kamari Lassiter,HOU,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0,LassKa00
Derek Barnett,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BarnDe01
Kris Boyd,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BoydKr00
British Brooks,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,BrooBr01
Myles Bryant,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,BryaMy01
Jake Hansen,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HansJa01
Danielle Hunter,HOU,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,HuntDa01
Del'Shawn Phillips,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,PhilDe00
DeForest Buckner,IND,0,0,0,0,0,1.5,6,5,1,1,2,0,0,0,0,BuckDe00
Tyquan Lewis,IND,0,0,0,0,0,1.0,6,4,2,1,1,0,0,0,0,LewiTy00
Kwity Paye,IND,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0,PayeKw00
Dayo Odeyingbo,IND,0,0,0,0,0,0.5,1,0,1,0,2,0,0,0,0,OdeyDa00
Nick Cross,IND,0,0,0,0,0,0.0,14,8,6,0,0,0,0,0,0,CrosNi00
Julian Blackmon,IND,0,0,0,0,0,0.0,13,10,3,0,0,0,0,0,0,BlacJu01
E.J. Speed,IND,0,0,0,0,0,0.0,10,8,2,0,1,0,0,0,0,SpeeEJ00
Jaylon Jones,IND,0,0,0,0,1,0.0,9,7,2,1,0,0,0,0,0,JoneJa13
Zaire Franklin,IND,0,0,0,0,0,0.0,8,4,4,0,1,0,0,0,0,FranZa00
Julius Brents,IND,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0,BrenJu00
Kenny Moore,IND,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,MoorKe03
Grover Stewart,IND,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0,StewGr00
