,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Travon Walker,JAX,0,0,0,0,0,2.0,6,2,4,1,2,0,0,0,0,WalkTr03
Arik Armstead,JAX,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,ArmsAr01
Foyesade Oluokun,JAX,0,0,0,0,1,0.0,11,9,2,2,0,0,0,0,0,OluoFo00
Antonio Johnson,JAX,0,0,0,0,0,0.0,9,5,4,1,0,0,0,0,0,JohnAn07
Devin Lloyd,JAX,0,0,0,0,0,0.0,9,7,2,1,0,0,0,0,0,LloyDe00
Ronald Darby,JAX,0,0,0,0,1,0.0,7,5,2,1,0,0,0,0,0,DarbRo00
Andre Cisco,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,CiscAn00
Yasir Abdullah,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,AbduYa00
Montaric Brown,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,BrowMo00
Tyson Campbell,JAX,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,CampTy01
Josh Hines-Allen,JAX,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0,AlleJo03
Chad Muma,JAX,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,MumaCh00
Luke Farrell,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,FarrLu00
DaVon Hamilton,JAX,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,HamiDa02
Jarrian Jones,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,JoneJa14
Ventrell Miller,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MillVe00
Roy Robertson-Harris,JAX,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,RobeRo00
Darnell Savage Jr.,JAX,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,SavaDa00
Parker Washington,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,WashPa01
Emmanuel Ogbah,MIA,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0,OgbaEm00
Calais Campbell,MIA,0,0,0,0,0,1.0,3,3,0,2,1,0,0,0,0,CampCa99
Jaelan Phillips,MIA,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0,PhilJa02
David Long,MIA,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0,LongDa04
Kendall Fuller,MIA,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,FullKe00
Jordan Poyer,MIA,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,PoyeJo00
Jordyn Brooks,MIA,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,BrooJo01
Jevon Holland,MIA,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,1,HollJe02
Kader Kohou,MIA,0,0,0,0,0,0.0,4,4,0,0,0,1,0,0,0,KohoKa00
Jalen Ramsey,MIA,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0,RamsJa00
Zach Sieler,MIA,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,SielZa00
Storm Duck,MIA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,DuckSt00
Da'Shawn Hand,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,HandDa00
Quinton Bell,MIA,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,BellQu00
Elijah Campbell,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1,CampEl00
Tanner Conner,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,ConnTa00
