,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Maxx Crosby,LVR,0,0,0,0,0,1.0,5,2,3,1,3,0,0,0,0,CrosMa00
Robert Spillane,LVR,0,0,0,0,0,0.0,10,7,3,1,0,0,0,0,0,SpilRo00
Marcus Epps,LVR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,EppsMa00
John Jenkins,LVR,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,JenkJo00
Christian Wilkins,LVR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,WilkCh00
Adam Butler,LVR,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0,ButlAd00
Nate Hobbs,LVR,0,0,0,0,1,0.0,4,3,1,0,1,0,0,0,0,HobbNa00
Jack Jones,LVR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,JoneJa10
Divine Deablo,LVR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,DeabDi00
Tre'von Moehrig,LVR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,MoehTr00
Amari Burney,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,BurnAm00
Luke Masterson,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,MastLu00
Tyreik McAllister,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,McAlTy00
Charles Snowden,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,SnowCh00
DJ Turner,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,TurnDJ00
Jakorian Bennett,LVR,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,BennJa00
Poona Ford,LAC,1,3,0,3,2,0.0,3,2,1,1,1,0,0,0,0,FordPo00
Khalil Mack,LAC,0,0,0,0,1,1.5,3,1,2,1,2,1,22,0,0,MackKh00
Joey Bosa,LAC,0,0,0,0,0,1.0,7,6,1,1,2,0,0,0,1,BosaJo00
Morgan Fox,LAC,0,0,0,0,0,0.5,4,3,1,0,1,0,0,0,0,FoxxMo00
Daiyan Henley,LAC,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0,HenlDa00
Derwin James,LAC,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0,JameDe00
Asante Samuel Jr.,LAC,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,SamuAs00
Kristian Fulton,LAC,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,FultKr00
Denzel Perryman,LAC,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0,PerrDe00
Junior Colson,LAC,0,0,0,0,1,0.0,4,1,3,0,0,0,0,0,0,ColsJu00
Alohi Gilman,LAC,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,GilmAl00
Ja'Sir Taylor,LAC,0,0,0,0,0,0.0,3,3,0,0,0,1,0,0,0,TaylJa04
Otito Ogbonnia,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,OgboOt00
Troy Dye,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,DyexTr00
Deane Leonard,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,LeonDe00
Elijah Molden,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,MoldEl00
Bud Dupree,LAC,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,DuprAl00
