,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Tony Adams,NYJ,0,0,0,0,1,1.0,12,8,4,0,1,0,0,0,0,AdamTo03
Sauce Gardner,NYJ,0,0,0,0,1,1.0,3,1,2,1,1,0,0,0,0,GardSa00
Micheal Clemons,NYJ,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0,ClemMi03
C.J. Mosley,NYJ,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0,MoslC.00
D.J. Reed,NYJ,0,0,0,0,1,0.0,9,7,2,0,0,0,0,0,0,ReedD.00
Quincy Williams,NYJ,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0,WillQu01
Chuck Clark,NYJ,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,ClarCh00
Jamien Sherwood,NYJ,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,SherJa00
Solomon Thomas,NYJ,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,ThomSo00
Jalyn Holmes,NYJ,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0,HolmJa01
Javon Kinlaw,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,KinlJa00
Quinnen Williams,NYJ,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0,WillQu00
Michael Carter II,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,CartMi02
Ashtyn Davis,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,DaviAs00
Jermaine Johnson II,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,JohnJe07
Will McDonald,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,McDoWi00
Chazz Surratt,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,SurrCh00
Demetrius Flannigan-Fowles,SFO,1,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,FlanDe00
Leonard Floyd,SFO,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0,FloyLe00
Fred Warner,SFO,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,1,WarnFr00
De'Vondre Campbell,SFO,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,CampDe00
Deommodore Lenoir,SFO,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0,LenoDe00
Isaac Yiadom,SFO,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0,YiadIs00
Ji'Ayir Brown,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,BrowJi01
George Odum,SFO,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,OdumGe00
Charvarius Ward,SFO,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,WardCh01
Robert Beal,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,BealRo00
Nick Bosa,SFO,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0,BosaNi00
Maliek Collins,SFO,0,0,0,0,0,0.0,2,2,0,0,0,1,0,0,0,CollMa00
Javon Hargrave,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,HargJa00
Sam Okuayinonu,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,OkuaSa00
Renardo Green,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,GreeRe00
Isaac Guerendo,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,GuerIs00
Malik Mustapha,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MustMa00
Curtis Robinson,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,RobiCu00
Jordan Elliott,SFO,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,ElliJo02
