,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
DeShon Elliott,PIT,1,0,0,0,2,0.0,4,1,3,0,0,0,0,0,0,ElliDe02
Donte Jackson,PIT,1,49,0,49,2,0.0,2,1,1,0,0,0,0,0,0,JackDo02
T.J. Watt,PIT,0,0,0,0,0,1.0,4,2,2,2,3,1,0,0,0,WattT.00
Montravius Adams,PIT,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0,AdamMo00
Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0,FitzMi00
Alex Highsmith,PIT,0,0,0,0,1,0.0,6,1,5,0,0,0,0,0,0,HighAl02
Beanie Bishop,PIT,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,BishBe00
Cameron Heyward,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,HeywCa01
Damontae Kazee,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,KazeDa00
Larry Ogunjobi,PIT,0,0,0,0,0,0.0,3,1,2,0,2,0,0,0,0,OgunLa00
Joey Porter Jr.,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,PortJo02
Payton Wilson,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,WilsPa00
Keeanu Benton,PIT,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0,BentKe00
Patrick Queen,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,QueePa00
Nick Herbig,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HerbNi00
DeMarvin Leal,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,LealDe00
Tyler Matakevich,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MataTy00
Scott Miller,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MillSc01
Justin Fields,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,FielJu00
Grady Jarrett,ATL,0,0,0,0,0,1.5,3,2,1,2,3,0,0,0,0,JarrGr00
Matt Judon,ATL,0,0,0,0,0,0.5,6,2,4,0,1,0,0,0,0,JudoMa00
Kaden Elliss,ATL,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,0,ElliKa00
Mike Hughes,ATL,0,0,0,0,0,0.0,7,7,0,3,0,0,0,0,0,HughMi00
Troy Andersen,ATL,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,AndeTr00
Jessie Bates III,ATL,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0,BateJe00
Nathan Landman,ATL,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,LandNa01
Lorenzo Carter,ATL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,CartLo01
Arnold Ebiketie,ATL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,EbikAr00
James Smith-Williams,ATL,0,0,0,0,0,0.0,5,2,3,2,0,0,0,0,0,SmitJa08
AJ Terrell,ATL,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0,TerrAJ00
Justin Simmons,ATL,0,0,0,0,1,0.0,3,0,3,0,0,0,0,0,0,SimmJu00
Kentavius Street,ATL,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,StreKe00
DeAundre Alford,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,AlfoDe00
Zach Harrison,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,HarrZa00
David Onyemata,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,OnyeDa00
JD Bertrand,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,BertJD00
Eddie Goldman,ATL,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,GoldEd00
Ta'Quon Graham,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,GrahTa00
KhaDarel Hodge,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HodgKh00
Kevin King,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,KingKe01
DeAngelo Malone,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MaloDe00
Clark Phillips,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,PhilCl00
