,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Harold Landry,TEN,0,0,0,0,0,1.0,6,3,3,1,2,0,0,0,0,LandHa00
Sebastian Joseph-Day,TEN,0,0,0,0,1,1.0,3,2,1,2,1,0,0,0,0,JoseSe00
Amani Hooker,TEN,0,0,0,0,2,0.0,6,5,1,0,1,0,0,0,1,HookAm00
Kenneth Murray,TEN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,MurrKe00
Roger McCreary,TEN,0,0,0,0,0,0.0,5,4,1,3,0,0,0,0,0,McCrRo01
Quandre Diggs,TEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,DiggQu00
Jack Gibbens,TEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,GibbJa00
L'Jarius Sneed,TEN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,SneeLJ00
Ernest Jones,TEN,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,JoneEr01
Jarvis Brownlee,TEN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,BrowJa09
Jeffery Simmons,TEN,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,SimmJe01
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,WestNi00
Chidobe Awuzie,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,AwuzCh00
Darrell Baker,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,BakeDa02
Mike Brown,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BrowMi02
Keondre Coburn,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,CobuKe00
Jaylen Harrell,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HarrJa05
Caleb Murphy,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MurpCa00
Chigoziem Okonkwo,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,OkonCh00
Julius Chestnut,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,ChesJu00
Arden Key,TEN,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,KeyxAr00
Tyrique Stevenson,CHI,1,43,1,43,2,0.0,4,2,2,0,0,0,0,0,0,StevTy01
Jaylon Johnson,CHI,1,9,0,9,2,0.0,3,3,0,2,0,0,0,0,0,JohnJa13
Darrell Taylor,CHI,0,0,0,0,0,2.0,8,7,1,2,2,0,0,0,1,TaylDa00
Gervon Dexter,CHI,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0,DextGe00
T.J. Edwards,CHI,0,0,0,0,0,0.0,15,10,5,2,0,1,0,0,0,EdwaTJ02
Jaquan Brisker,CHI,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0,BrisJa01
Tremaine Edmunds,CHI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,EdmuTr01
Kyler Gordon,CHI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,GordKy00
Jaylon Jones,CHI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,JoneJa12
Andrew Billings,CHI,0,0,0,0,0,0.0,2,1,1,1,2,0,0,0,0,BillAn00
Kevin Byard,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,ByarKe01
Montez Sweat,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,SweaMo00
Josh Blackwell,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BlacJo00
Byron Cowart,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,CowaBy00
Scott Daly,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,DalySc01
Daniel Hardy,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HardDa01
Khalil Herbert,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,HerbKh00
Elijah Hicks,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HickEl00
Travis Homer,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HomeTr00
Amen Ogbongbemiga,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,OgboAm00
DeMarcus Walker,CHI,0,0,0,0,0,0.0,1,1,0,0,4,0,0,0,0,WalkDe03
Chris Williams,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,WillCh08
Teven Jenkins,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,JenkTe00
Caleb Williams,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,WillCa03
