,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Clelin Ferrell,WAS,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0,FerrCl00
Bobby Wagner,WAS,0,0,0,0,0,0.0,10,5,5,3,0,0,0,0,0,WagnBo00
Quan Martin,WAS,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0,MartJa04
Mike Sainristil,WAS,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,SainMi00
Frankie Luvu,WAS,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0,LuvuFr00
Benjamin St-Juste,WAS,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0,StJuBe00
Emmanuel Forbes,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,ForbEm00
Jeremy Chinn,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,ChinJe00
Jamin Davis,WAS,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,DaviJa11
Jonathan Allen,WAS,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0,AlleJo01
Percy Butler,WAS,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,ButlPe00
Dante Fowler,WAS,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,FowlDa00
Mykal Walker,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,WalkMy00
Dorance Armstrong Jr.,WAS,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,ArmsDo00
Sheldon Day,WAS,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,DayxSh00
Noah Igbinoghene,WAS,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,IgbiNo00
Phidarian Mathis,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,MathPh00
Jeremy McNichols,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,McNiJe00
Daron Payne,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,PaynDa00
Tyler Biadasz,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,BiadTy00
Javontae Jean-Baptiste,WAS,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,JeanJa00
SirVocea Dennis,TAM,0,0,0,0,0,1.0,7,5,2,1,1,0,0,0,0,DennSi00
Joe Tryon-Shoyinka,TAM,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,1,TryoJo00
Jordan Whitehead,TAM,0,0,0,0,1,0.0,8,4,4,0,0,0,0,0,0,WhitJo03
Antoine Winfield Jr.,TAM,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0,WinfAn00
Lavonte David,TAM,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,DaviLa00
K.J. Britt,TAM,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,BritKJ00
Jamel Dean,TAM,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,DeanJa00
Vita Vea,TAM,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,VeaxVi00
C.J. Brewer,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,BrewCJ00
Christian Izien,TAM,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,1,IzieCh00
Anthony Nelson,TAM,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,NelsAn01
Tykee Smith,TAM,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,SmitTy05
Chris Braswell,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,BrasCh01
Greg Gaines,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,GainGr00
William Gholston,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,GholWi00
Mike Greene,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,GreeMi01
Zyon McCollum,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,McCoZy02
J.J. Russell,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,RussJJ00
Ben Stille,TAM,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,StilBe00
