#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:12,SEA 20,4,1:36,3,Field Goal
2,1,10:54,DEN 35,3,1:50,5,Punt
3,1,7:02,DEN 33,3,1:24,7,Punt
4,1,2:41,DEN 30,12,6:13,49,Interception
5,2,11:22,DEN 32,3,1:07,4,Punt
6,2,10:15,SEA 9,4,1:30,-2,Field Goal
7,2,5:55,DEN 30,3,1:19,4,Punt
8,2,4:24,DEN 36,6,2:43,17,Punt
9,2,0:31,DEN 47,5,0:29,26,Field Goal
10,3,15:00,DEN 27,3,1:29,-8,Punt
11,3,10:44,DEN 30,5,2:41,17,Fumble
12,3,4:09,DEN 30,3,1:32,5,Punt
13,4,14:54,DEN 30,3,1:55,9,Punt
14,4,8:37,DEN 23,8,3:07,28,Interception
15,4,4:28,DEN 46,7,2:19,54,Touchdown
