#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,TEN 22,3,1:03,1,Punt
2,1,12:29,TEN 20,3,2:43,-1,Punt
3,1,5:26,TEN 21,8,4:45,79,Touchdown
4,1,0:41,CHI 23,4,1:35,1,Field Goal
5,2,12:07,TEN 27,14,8:23,73,Touchdown
6,2,0:27,TEN 17,1,0:27,11,End of Half
7,3,12:26,TEN 25,6,3:19,8,Blocked Punt
8,3,9:07,TEN 31,3,2:05,-7,Punt
9,3,5:59,TEN 21,3,2:13,9,Punt
10,4,14:47,TEN 30,5,3:03,3,Fumble
11,4,9:52,TEN 30,4,2:17,15,Interception
12,4,7:35,TEN 30,3,1:46,5,Punt
13,4,2:20,TEN 18,5,1:15,22,Interception
