,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Bo Nix,DEN,26,42,138,0,2,2,6,25,47.5,5,35,1,23,0,0,0,0,0,0,0,NixxBo00
Jaleel McLaughlin,DEN,0,0,0,0,0,0,0,0,,10,27,0,15,5,5,1,0,3,1,1,McLaJa00
Javonte Williams,DEN,0,0,0,0,0,0,0,0,,8,23,0,9,2,1,0,0,0,0,0,WillJa10
Audric Estime,DEN,0,0,0,0,0,0,0,0,,2,14,0,12,0,0,0,0,0,1,0,EstiAu00
Josh Reynolds,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,45,0,25,0,0,ReynJo00
Devaughn Vele,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,39,0,9,0,0,VeleDe00
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,12,4,38,0,17,0,0,SuttCo00
Greg Dulcich,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,7,0,0,DulcGr00
Michael Burton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,BurtMi00
Lil'Jordan Humphrey,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,HumpLi01
Marvin Mims,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,MimsMa00
Adam Trautman,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,TrauAd00
Geno Smith,SEA,18,25,171,1,1,2,13,30,87.2,4,30,1,34,0,0,0,0,0,0,0,SmitGe00
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,20,103,1,23,3,2,6,0,8,0,0,WalkKe00
Zach Charbonnet,SEA,0,0,0,0,0,0,0,0,,8,12,0,6,3,2,29,1,30,0,0,CharZa00
Laviska Shenault Jr.,SEA,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,0,0,0,0,0,ShenLa00
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,77,0,19,0,0,LockTy00
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,29,0,12,0,0,MetcDK00
Jaxon Smith-Njigba,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,10,0,0,SmitJa06
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,11,0,9,0,0,FantNo00
Dareke Young,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,YounDa02
