,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Jordan Love,GNB,17,34,260,2,1,1,5,70,83.0,0,0,0,0,0,0,0,0,0,0,0,LoveJo03
Malik Willis,GNB,0,1,0,0,0,1,4,0,39.6,0,0,0,0,0,0,0,0,0,0,0,WillMa12
Josh Jacobs,GNB,0,0,0,0,0,0,0,0,,16,84,0,32,3,2,20,0,11,1,0,JacoJo01
Emanuel Wilson,GNB,0,0,0,0,0,0,0,0,,4,46,0,18,3,2,2,0,2,0,0,WilsEm00
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,1,33,1,33,6,4,138,1,70,0,0,ReedJa03
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,50,0,19,0,0,DoubRo00
Tucker Kraft,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,29,0,0,KrafTu00
Christian Watson,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,13,1,6,0,0,WatsCh00
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,WickDo00
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,MusgLu00
Jalen Hurts,PHI,20,34,278,2,2,2,12,67,80.3,13,33,0,8,0,0,0,0,0,2,1,HurtJa00
Saquon Barkley,PHI,0,0,0,0,0,0,0,0,,24,109,2,34,2,2,23,1,18,0,0,BarkSa00
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,10,0,10,0,0,GainKe00
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,119,1,67,0,0,BrowAJ00
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,84,0,25,0,0,SmitDe07
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,31,0,21,0,0,GoedDa00
Grant Calcaterra,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0,CalcGr00
Jahan Dotson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,DotsJa00
Johnny Wilson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,WilsJo03
