,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
C.J. Stroud,HOU,24,32,234,2,0,4,30,55,115.9,4,13,0,13,0,0,0,0,0,0,0,StroCJ00
Joe Mixon,HOU,0,0,0,0,0,0,0,0,,30,159,1,13,3,3,19,0,11,0,0,MixoJo00
Tank Dell,HOU,0,0,0,0,0,0,0,0,,2,19,0,17,7,3,40,0,23,0,0,DellNa00
Dameon Pierce,HOU,0,0,0,0,0,0,0,0,,3,16,0,9,0,0,0,0,0,0,0,PierDa01
Stefon Diggs,HOU,0,0,0,0,0,0,0,0,,1,6,0,6,6,6,33,2,10,0,0,DiggSt00
Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,117,0,55,0,0,CollNi00
Dalton Schultz,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,0,7,0,0,SchuDa00
Xavier Hutchinson,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,HutcXa00
Brevin Jordan,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,JordBr00
Dare Ogunbowale,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,OgunDa00
Anthony Richardson,IND,9,19,212,2,1,2,13,60,101.2,6,56,1,19,0,0,0,0,0,0,0,RichAn03
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,16,48,1,7,0,0,0,0,0,0,0,TaylJo02
Alec Pierce,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,125,1,60,0,0,PierAl00
Ashton Dulin,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,54,1,54,0,0,DuliAs00
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,31,0,13,0,0,PittMi01
Adonai Mitchell,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,2,0,2,0,0,MitcAd00
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,GranKy00
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,AlieMo00
