,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Trevor Lawrence,JAX,12,21,162,1,0,3,23,30,97.7,1,8,0,8,0,0,0,0,0,0,0,LawrTr00
Tank Bigsby,JAX,0,0,0,0,0,0,0,0,,12,73,0,26,0,0,0,0,0,0,0,BigsTa00
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,12,44,1,11,3,2,15,0,12,1,1,EtieTr00
Devin Duvernay,JAX,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0,DuveDe00
Gabriel Davis,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,62,0,22,0,0,DaviGa01
Brian Thomas,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,47,1,18,0,0,ThomBr06
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,30,0,30,0,0,KirkCh01
Evan Engram,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,5,0,5,0,0,EngrEv00
Parker Washington,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,1,0,WashPa01
Tua Tagovailoa,MIA,23,37,338,1,0,3,19,80,101.0,1,11,0,11,0,0,0,0,0,0,0,TagoTu00
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,5,26,0,14,0,0,0,0,0,0,0,WilsJe01
De'Von Achane,MIA,0,0,0,0,0,0,0,0,,10,24,1,9,7,7,76,0,39,0,0,AchaDe00
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,6,9,0,6,3,2,10,0,7,0,0,MostRa00
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,2,8,0,6,1,0,0,0,0,0,0,IngoAl01
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,1,3,0,3,5,5,109,0,63,0,0,WaddJa00
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,130,1,80,0,0,HillTy00
Jonnu Smith,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0,SmitJo01
Julian Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,HillJu02
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,SmytDu00
Braxton Berrios,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,BerrBr00
