,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Sam Darnold,MIN,19,24,208,2,1,1,7,44,113.2,3,3,0,3,0,0,0,0,0,0,0,DarnSa00
Aaron Jones,MIN,0,0,0,0,0,0,0,0,,14,94,1,19,2,2,15,0,9,0,0,JoneAa00
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,8,17,0,6,3,3,25,0,10,0,0,ChanTy01
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,59,1,44,0,0,JeffJu00
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,16,0,0,AddiJo00
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,22,0,0,OlivJo00
Jalen Nailor,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,0,NailJa00
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0,MundJo00
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,8,1,1,HamxC.00
Myles Gaskin,MIN,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0,GaskMy00
Daniel Jones,NYG,22,42,186,0,2,5,20,25,44.3,6,15,0,7,0,0,0,0,0,0,0,JoneDa05
Devin Singletary,NYG,0,0,0,0,0,0,0,0,,10,37,0,7,5,4,15,0,12,0,0,SingDe00
Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,,1,14,0,14,12,6,44,0,15,0,0,RobiWa01
Eric Gray,NYG,0,0,0,0,0,0,0,0,,2,6,0,6,1,1,9,0,9,0,0,GrayEr01
Tyrone Tracy,NYG,0,0,0,0,0,0,0,0,,2,2,0,2,3,1,5,0,5,0,0,TracTy00
Malik Nabers,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,66,0,25,0,0,NabeMa00
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,26,0,11,1,0,SlayDa01
Theo Johnson,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,18,0,18,0,0,JohnTh00
Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,BellDa00
Jalin Hyatt,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,HyatJa00
