,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Jayden Daniels,WAS,17,24,184,0,0,2,23,32,93.1,16,88,2,17,0,0,0,0,0,3,0,DaniJa02
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,12,40,1,7,4,3,49,0,32,0,0,RobiBr01
Austin Ekeler,WAS,0,0,0,0,0,0,0,0,,2,10,0,6,4,4,52,0,22,0,0,EkelAu00
Zach Ertz,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,28,0,12,0,0,ErtzZa00
Luke McCaffrey,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,18,0,10,0,0,McCaLu00
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,17,0,11,0,0,McLaTe00
Olamide Zaccheaus,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0,ZaccOl01
Jamison Crowder,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,CrowJa00
John Bates,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,BateJo00
Baker Mayfield,TAM,24,30,289,4,0,1,9,32,146.4,3,21,0,11,0,0,0,0,0,0,0,MayfBa00
Bucky Irving,TAM,0,0,0,0,0,0,0,0,,9,62,0,31,3,2,14,0,9,0,0,IrviBu00
Rachaad White,TAM,0,0,0,0,0,0,0,0,,15,31,0,15,6,6,75,0,32,0,0,WhitRa01
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,83,1,24,0,0,GodwCh00
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,61,2,24,0,0,EvanMi00
Jalen McMillan,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,32,1,32,0,0,McMiJa01
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,19,0,19,0,0,PalmTr00
Cade Otton,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,OttoCa00
Kameron Johnson,TAM,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,JohnKa01
Kyle Trask,TAM,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0,TrasKy00
