Quarter,Time,Down,ToGo,Location,ARI,BUF,Detail,EPB,EPA
,,,,,,,Cardinals won the coin toss Cardinals to receive the opening kickoff.,,
1,15:00,,,BUF 35,0,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ARI 30,0,0,James Conner up the middle for 3 yards (tackle by Terrel Bernard and Taron Johnson),0.940,0.800
1,14:26,2,7,ARI 33,0,0,Kyler Murray pass complete short left to James Conner for 22 yards (tackle by Damar Hamlin and Rasul Douglas),0.800,2.590
1,13:43,1,10,BUF 45,0,0,Kyler Murray pass complete short middle to James Conner for 9 yards (tackle by Taylor Rapp and Dorian Williams),2.590,3.260
1,13:07,2,1,BUF 36,0,0,James Conner up the middle for 2 yards (tackle by Terrel Bernard),3.260,3.310
1,12:28,1,10,BUF 34,0,0,James Conner left guard for 2 yards (tackle by Austin Johnson and Dorian Williams),3.310,2.970
1,11:56,2,9,BUF 32,0,0,James Conner left end for 2 yards (tackle by Terrel Bernard),2.970,2.610
1,11:13,3,6,BUF 30,0,0,Kyler Murray pass complete short middle to Greg Dortch for 8 yards (tackle by Terrel Bernard and Taylor Rapp),2.610,4.110
1,10:37,1,10,BUF 22,0,0,Kyler Murray pass incomplete short right intended for Marvin Harrison,4.110,3.560
1,10:28,2,10,BUF 22,0,0,James Conner left tackle for -3 yards (tackle by Gregory Rousseau),3.560,2.480
1,9:49,3,13,BUF 25,0,0,Kyler Murray scrambles right end for 6 yards (tackle by Ja'Marcus Ingram). Penalty on Ja'Marcus Ingram: Unnecessary Roughness / Defense 10 yards (accepted),2.480,5.140
1,9:15,1,9,BUF 9,0,0,James Conner left end for 4 yards (tackle by Terrel Bernard),5.140,5.150
1,8:30,2,5,BUF 5,0,0,Kyler Murray sacked by Gregory Rousseau for no gain,5.150,4.260
1,7:54,3,5,BUF 5,6,0,Kyler Murray pass complete short left to Michael Wilson for 5 yards touchdown,4.260,7.000
1,7:47,,,BUF 15,7,0,Matt Prater kicks extra point good,0.000,0.000
1,7:47,,,ARI 35,7,0,Matt Prater kicks off 63 yards returned by Brandon Codrington for 53 yards (tackle by Max Melton and Kei'Trel Clark),0.000,2.590
1,7:39,1,10,ARI 45,7,0,James Cook left guard for 9 yards (tackle by Jalen Thompson),2.590,3.260
1,7:06,2,1,ARI 36,7,0,James Cook right guard for 3 yards (tackle by Zaven Collins and Jalen Thompson),3.260,3.380
1,6:23,1,10,ARI 33,7,0,Josh Allen pass complete short middle to Mack Hollins for 14 yards (tackle by Budda Baker),3.380,4.310
1,5:38,1,10,ARI 19,7,0,Josh Allen sacked by Roy Lopez for -10 yards. Josh Allen fumbles (forced by Roy Lopez) recovered by Justin Jones at ARI-29,4.310,-0.870
1,5:24,1,10,ARI 29,7,0,James Conner left end for 4 yards (tackle by Von Miller),0.870,0.870
1,4:46,2,6,ARI 33,7,0,Kyler Murray pass complete short left to James Conner for 2 yards (tackle by Gregory Rousseau),0.870,0.430
1,4:08,3,4,ARI 35,7,0,Kyler Murray pass complete short right to Emari Demercado for 24 yards (tackle by Christian Benford),0.430,2.850
1,3:24,1,10,BUF 41,7,0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Cameron Lewis),2.850,3.120
1,2:41,2,4,BUF 35,7,0,Kyler Murray pass complete short right to Elijah Higgins for 7 yards (tackle by Terrel Bernard),3.120,3.710
1,2:01,1,10,BUF 28,7,0,Kyler Murray right end for 11 yards (tackle by Taylor Rapp),3.710,4.440
1,1:33,1,10,BUF 17,7,0,Kyler Murray pass complete short middle to Greg Dortch for 3 yards (tackle by Terrel Bernard),4.440,4.320
1,0:55,2,7,BUF 14,7,0,James Conner right guard for 1 yard (tackle by Gregory Rousseau),4.320,3.680
1,0:15,3,6,BUF 13,7,0,Kyler Murray pass complete short right to Emari Demercado for 2 yards (tackle by Rasul Douglas),3.680,2.770
2,15:00,4,4,BUF 11,10,0,Matt Prater 29 yard field goal good,2.770,3.000
2,14:57,,,ARI 35,10,0,Matt Prater kicks off 65 yards touchback.,0.000,0.940
2,14:57,1,10,BUF 30,10,0,Josh Allen pass incomplete short right intended for Keon Coleman (defended by Zaven Collins). Penalty on Sean Murphy-Bunting: Defensive Pass Interference 6 yards (accepted) (no play),0.940,1.330
2,14:54,1,10,BUF 36,10,0,James Cook right guard for 15 yards (tackle by Mack Wilson),1.330,2.320
2,14:29,1,10,ARI 49,10,0,James Cook right guard for 5 yards (tackle by Budda Baker and Kyzir White),2.320,2.460
2,13:47,2,5,ARI 44,10,0,Josh Allen pass complete short middle to Dawson Knox for 23 yards (tackle by Budda Baker),2.460,4.170
2,13:13,1,10,ARI 21,10,0,James Cook left tackle for 9 yards (tackle by Garrett Williams and Kyzir White),4.170,5.160
2,12:41,2,1,ARI 12,10,0,James Cook right guard for 4 yards (tackle by Mack Wilson and Kyzir White),5.160,5.370
2,12:02,1,8,ARI 8,10,0,James Cook right guard for 4 yards (tackle by Justin Jones and Kyzir White),5.370,5.340
