Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
,,,,,,,Chiefs won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,KAN 35,0,0,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,BAL 30,0,0,Derrick Henry left end for 2 yards (tackle by Jaylen Watson),0.940,0.660
1,14:18,2,8,BAL 32,0,0,Lamar Jackson pass complete short right to Zay Flowers for no gain (tackle by Drue Tranquill). Penalty on Ronnie Stanley: Illegal Formation 5 yards (accepted) (no play),0.660,-0.010
1,13:54,2,13,BAL 27,0,0,Lamar Jackson pass complete short right to Justice Hill for 2 yards (tackle by Chamarri Conner),-0.010,-0.430
1,13:18,3,11,BAL 29,0,0,Lamar Jackson pass complete short right to Justice Hill for 18 yards (tackle by Jaylen Watson),-0.430,2.060
1,12:41,1,10,BAL 47,0,0,Derrick Henry up the middle for 1 yard (tackle by Mike Pennel and Chris Jones),2.060,1.650
1,11:58,2,9,BAL 48,0,0,Lamar Jackson pass incomplete short left intended for Derrick Henry (defended by Leo Chenal). Penalty on Patrick Mekari: Illegal Formation 5 yards (declined),1.650,0.960
1,11:55,3,9,BAL 48,0,0,Lamar Jackson pass incomplete deep right intended for Zay Flowers. Penalty on Ronnie Stanley: Illegal Formation 5 yards (offset) . Penalty on Jaylen Watson: Defensive Pass Interference 15 yards (offset) (no play),0.960,0.960
1,11:49,3,9,BAL 48,0,0,Lamar Jackson pass complete deep middle to Zay Flowers for 19 yards (tackle by Trent McDuffie),0.960,3.380
1,11:05,1,10,KAN 33,0,0,Derrick Henry right end for 6 yards (tackle by Justin Reid),3.380,3.650
1,10:25,2,4,KAN 27,0,0,Derrick Henry up the middle for 3 yards (tackle by Leo Chenal and Nick Bolton),3.650,3.340
1,9:38,3,1,KAN 24,0,0,Lamar Jackson left end for 11 yards (tackle by Justin Reid),3.340,4.710
1,8:59,1,10,KAN 13,0,0,Lamar Jackson left end for 8 yards (tackle by Justin Reid),4.710,5.540
1,8:18,2,2,KAN 5,6,0,Derrick Henry right guard for 5 yards touchdown,5.540,7.000
1,8:14,,,KAN 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,8:14,,,BAL 35,7,0,Justin Tucker kicks off 60 yards returned by Carson Steele for 28 yards (tackle by Chris Board and Ka'dar Hollman),0.000,1.140
1,8:09,1,10,KAN 33,7,0,Patrick Mahomes pass complete short left to Rashee Rice for 11 yards (tackle by Marcus Williams and Roquan Smith),1.140,1.860
1,7:36,1,10,KAN 44,7,0,Patrick Mahomes sacked by and Trenton Simpson for no gain and Nnamdi Madubuike for no gain,1.860,1.320
1,7:01,2,10,KAN 44,7,0,Isiah Pacheco up the middle for 4 yards (tackle by Nnamdi Madubuike and Roquan Smith),1.320,1.160
1,6:15,3,6,KAN 48,7,0,Patrick Mahomes pass complete short middle to Rashee Rice for 16 yards (tackle by Roquan Smith). Penalty on Roquan Smith: Horse Collar Tackle 15 yards (accepted),1.160,4.170
1,6:02,1,10,BAL 21,7,6,Xavier Worthy right end for 21 yards touchdown,4.170,7.000
1,5:55,,,BAL 15,7,7,Harrison Butker kicks extra point good,0.000,0.000
1,5:55,,,KAN 35,7,7,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,5:55,1,10,BAL 30,7,7,Lamar Jackson pass complete short left to Isaiah Likely for 15 yards (tackle by Bryan Cook),0.940,1.930
1,5:14,1,10,BAL 45,7,7,Derrick Henry left end for 1 yard (tackle by Tershawn Wharton and Leo Chenal),1.930,1.520
1,4:30,2,9,BAL 46,7,7,Lamar Jackson pass complete short right to Zay Flowers for 3 yards (tackle by Trent McDuffie),1.520,1.220
1,3:49,3,6,BAL 49,7,7,Lamar Jackson pass complete short right to Justice Hill for 1 yard (tackle by Justin Reid),1.220,-0.060
1,3:04,4,5,BAL 50,7,7,Jordan Stout punts 40 yards fair catch by Mecole Hardman at KC-10,-0.060,0.380
1,2:55,1,10,KAN 10,7,7,Patrick Mahomes pass complete short left to Isiah Pacheco for 23 yards (tackle by Brandon Stephens),-0.380,1.140
1,2:20,1,10,KAN 33,7,7,Patrick Mahomes pass complete short middle to Rashee Rice for 19 yards (tackle by Eddie Jackson),1.140,2.390
1,1:41,1,10,BAL 48,7,7,Isiah Pacheco up the middle for 1 yard (tackle by Broderick Washington and Kyle Hamilton),2.390,1.980
