Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
,,,,,,,Panthers won the coin toss and deferred Saints to receive the opening kickoff.,,
1,15:00,,,CAR 35,0,0,Eddy Pineiro kicks off 64 yards returned by Rashid Shaheed for 33 yards (tackle by Jon Rhattigan). Penalty on Bub Means: Offensive Holding 10 yards (accepted),0.000,0.540
1,14:54,1,10,NOR 24,0,0,Alvin Kamara right end for 9 yards (tackle by Troy Hill and A'Shawn Robinson),0.540,1.210
1,14:16,2,1,NOR 33,0,0,Taysom Hill left tackle for 2 yards (tackle by A'Shawn Robinson),1.210,1.270
1,13:35,1,10,NOR 35,0,0,Derek Carr pass complete short right to Foster Moreau for 1 yard (tackle by Michael Jackson),1.270,0.860
1,12:57,2,9,NOR 36,0,0,Derek Carr pass complete short right to Alvin Kamara for 5 yards (tackle by Eku Leota),0.860,0.830
1,12:16,3,4,NOR 41,0,6,Derek Carr pass complete deep middle to Rashid Shaheed for 59 yards touchdown,0.830,7.000
1,12:08,,,CAR 15,0,7,Blake Grupe kicks extra point good,0.000,0.000
1,12:08,,,NOR 35,0,7,Blake Grupe kicks off 63 yards returned by Raheem Blackshear for 25 yards (tackle by Anfernee Orji),0.000,0.740
1,12:02,1,10,CAR 27,0,7,Bryce Young pass deep middle intended for Diontae Johnson is intercepted by Will Harris at CAR-47 and returned for 7 yards (tackle by Robert Hunt),0.740,-2.920
1,11:54,1,10,CAR 40,0,7,Derek Carr pass complete short left to Chris Olave for no gain (tackle by Jaycee Horn). Penalty on Foster Moreau: Illegal Shift 5 yards (accepted) (no play),2.920,2.590
1,11:34,1,15,CAR 45,0,7,Alvin Kamara right tackle for 11 yards (tackle by Jordan Fuller),2.590,3.180
1,10:59,2,4,CAR 34,0,7,Alvin Kamara left end for -5 yards (tackle by Shaq Thompson),3.180,1.820
1,10:17,3,9,CAR 39,0,7,Derek Carr pass incomplete deep right intended for Rashid Shaheed (defended by Michael Jackson),1.820,0.660
1,10:09,4,9,CAR 39,0,10,Blake Grupe 57 yard field goal good,0.660,3.000
1,10:04,,,NOR 35,0,10,Blake Grupe kicks off 65 yards returned by Raheem Blackshear for 26 yards (tackle by Anfernee Orji and J.T. Gray),0.000,0.670
1,9:59,1,10,CAR 26,0,10,Chuba Hubbard right guard for 4 yards (tackle by Carl Granderson),0.670,0.670
1,9:25,2,6,CAR 30,0,10,Chuba Hubbard left end for 7 yards (tackle by Alontae Taylor),0.670,1.400
