Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
,,,,,,,Broncos won the coin toss and deferred Seahawks to receive the opening kickoff.,,
1,15:00,,,DEN 35,0,0,Wil Lutz kicks off 66 yards returned by Laviska Shenault for 31 yards (tackle by JL Skinner),0.000,0.940
1,14:55,1,10,SEA 30,0,0,Geno Smith sacked by Jonathon Cooper for -7 yards,0.940,-0.550
1,14:22,2,17,SEA 23,0,0,Geno Smith pass deep middle intended for Tyler Lockett is intercepted by Alex Singleton at SEA-41 and returned for 21 yards (tackle by Jaxon Smith-Njigba),-0.550,-4.240
1,14:12,1,10,SEA 20,0,0,Javonte Williams left tackle for 9 yards (tackle by Rayshawn Jenkins),4.240,5.260
1,13:27,2,1,SEA 11,0,0,Javonte Williams up the middle for -1 yards (tackle by Johnathan Hankins),5.260,4.340
1,12:47,3,2,SEA 12,0,0,Bo Nix pass incomplete short right intended for Javonte Williams,4.340,2.760
1,12:40,4,2,SEA 12,0,0,Penalty on Wil Lutz: Delay of Game 5 yards (accepted) (no play),2.760,2.310
1,12:40,4,7,SEA 17,3,0,Wil Lutz 35 yard field goal good,2.310,3.000
1,12:36,,,DEN 35,3,0,Wil Lutz kicks off 67 yards returned by Laviska Shenault for 29 yards (tackle by Kristian Welch and Michael Burton),0.000,0.740
1,12:31,1,10,SEA 27,3,0,Penalty on Laviska Shenault: False Start 5 yards (accepted) (no play),0.740,0.410
1,12:31,1,15,SEA 22,3,0,Kenneth Walker left guard for 8 yards (tackle by Cody Barton),0.410,0.600
1,11:47,2,7,SEA 30,3,0,Geno Smith pass complete short right to Noah Fant for 2 yards (tackle by Brandon Jones),0.600,0.170
1,11:09,3,5,SEA 32,3,0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by Patrick Surtain),0.170,-1.240
1,11:04,4,5,SEA 32,3,0,Michael Dickson punts 44 yards returned by Marvin Mims for 11 yards (tackle by Laviska Shenault),-1.240,-1.270
1,10:54,1,10,DEN 35,3,0,Bo Nix pass complete short right to Jaleel McLaughlin for 3 yards (tackle by Tyrel Dodson and Devon Witherspoon),1.270,1.130
1,10:15,2,7,DEN 38,3,0,Bo Nix pass complete short left to Jaleel McLaughlin for -2 yards (tackle by Julian Love),1.130,0.170
1,9:50,3,9,DEN 36,3,0,Bo Nix pass complete short right to Devaughn Vele for 4 yards (tackle by Rayshawn Jenkins),0.170,-0.720
1,9:11,4,5,DEN 40,3,0,Riley Dixon punts 39 yards fair catch by Dee Williams at SEA-21,-0.720,-0.340
1,9:04,1,10,SEA 21,3,0,Kenneth Walker left guard for 3 yards (tackle by Nik Bonitto and Kristian Welch). Penalty on Anthony Bradford: Offensive Holding 10 yards (accepted),0.340,-0.440
1,8:38,1,17,SEA 14,3,0,Kenneth Walker up the middle for -3 yards (tackle by Riley Moss),-0.440,-1.510
1,8:00,2,20,SEA 11,3,0,Geno Smith pass complete short right to Noah Fant for 9 yards (tackle by Riley Moss and Alex Singleton),-1.510,-1.020
1,7:18,3,11,SEA 20,3,0,Geno Smith pass incomplete short right intended for Noah Fant,-1.020,-2.030
1,7:14,4,11,SEA 20,3,0,Michael Dickson punts 52 yards returned by Marvin Mims for 5 yards (tackle by Marquise Blair and Drake Thomas),-2.030,-1.140
1,7:02,1,10,DEN 33,3,0,Javonte Williams right end for 3 yards (tackle by Julian Love),1.140,1.000
1,6:25,2,7,DEN 36,3,0,Jaleel McLaughlin right end for 4 yards (tackle by Devon Witherspoon),1.000,0.830
1,5:47,3,3,DEN 40,3,0,Bo Nix pass incomplete short left intended for Lil'Jordan Humphrey,0.830,-0.720
1,5:44,4,3,DEN 40,3,0,Riley Dixon punts 38 yards fair catch by Dee Williams at SEA-22,-0.720,-0.410
