Quarter,Time,Down,ToGo,Location,GNB,PHI,Detail,EPB,EPA
,,,,,,,Packers won the coin toss Packers to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Braden Mann kicks off 65 yards touchback.. Penalty on Kelee Ringo: Illegal Formation 5 yards (accepted),0.000,1.270
1,15:00,1,10,GNB 35,0,0,Josh Jacobs up the middle for -1 yards (tackle by Josh Sweat and Milton Williams),1.270,0.590
1,14:21,2,11,GNB 34,0,0,Jordan Love pass complete short right to Christian Watson for 5 yards (tackle by Avonte Maddox and Darius Slay),0.590,0.560
1,13:39,3,6,GNB 39,0,0,Jordan Love pass complete short left to Romeo Doubs for 19 yards (tackle by Avonte Maddox and Reed Blankenship),0.560,2.790
1,12:59,1,10,PHI 42,0,0,Josh Jacobs left guard for 4 yards (tackle by Zack Baun and Quinyon Mitchell),2.790,2.780
1,12:17,2,6,PHI 38,0,0,Josh Jacobs left tackle for no gain (tackle by Zack Baun and Nolan Smith),2.780,2.080
1,12:01,3,6,PHI 38,0,0,Jordan Love pass complete deep middle to Jayden Reed for no gain touchdown. Penalty on Romeo Doubs: Offensive Too Many Men on Field 5 yards (offset) . Penalty on Bryce Huff: Defensive Too Many Men on Field 5 yards (offset) (no play),2.080,2.080
1,11:52,3,6,PHI 38,0,0,Jordan Love pass incomplete deep left intended for Christian Watson,2.080,0.720
1,11:47,,,,,,Timeout #1 by Green Bay Packers,,
1,11:47,4,6,PHI 38,0,0,Penalty on Zach Tom: False Start 5 yards (accepted) (no play),0.720,0.400
1,11:47,4,11,PHI 43,0,0,Daniel Whelan punts 33 yards out of bounds,0.400,0.380
1,11:40,1,10,PHI 10,0,0,Saquon Barkley left end for -5 yards (tackle by Eric Wilson),-0.380,-1.150
1,11:03,2,15,PHI 5,0,0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,-1.150,-2.010
1,10:57,3,15,PHI 5,0,0,Jalen Hurts pass deep left intended for DeVonta Smith is intercepted by Xavier McKinney at PHI-36 and returned for 17 yards (tackle by Jordan Mailata),-2.010,-4.310
1,10:46,1,10,PHI 19,0,0,Jordan Love sacked by Zack Baun for -5 yards. Penalty on Jalen Carter: Unnecessary Roughness / Defense 12 yards (accepted),4.310,4.780
1,10:19,1,10,PHI 12,0,0,Josh Jacobs right tackle for no gain (tackle by C.J. Gardner-Johnson),4.780,4.100
1,9:39,2,10,PHI 12,0,0,Jordan Love pass complete short right to Luke Musgrave for no gain (tackle by C.J. Gardner-Johnson). Penalty on Rasheed Walker: Offensive Holding 10 yards (accepted) (no play),4.100,2.870
1,9:17,2,20,PHI 22,0,0,Jordan Love pass incomplete short middle intended for Dontayvion Wicks,2.870,2.210
1,9:13,3,20,PHI 22,0,0,Jordan Love pass complete short left to Josh Jacobs for 9 yards (tackle by Avonte Maddox and Thomas Booker),2.210,2.570
1,8:30,4,11,PHI 13,3,0,Brayden Narveson 31 yard field goal good,2.570,3.000
1,8:26,,,GNB 35,3,0,Brayden Narveson kicks off 61 yards recovered by Kenneth Gainwell at PHI-7 (tackle by Edgerrin Cooper),0.000,-0.140
1,8:21,1,10,PHI 16,3,0,Saquon Barkley right guard for 3 yards (tackle by Tedarrell Slaton),-0.140,-0.180
1,7:46,2,7,PHI 19,3,0,Jalen Hurts pass complete short left to Dallas Goedert for 1 yard (tackle by Javon Bullard),-0.180,-0.820
1,7:11,3,6,PHI 20,3,0,Jalen Hurts aborted snap recovered by Devonte Wyatt at PHI-14,-0.820,-4.710
1,7:06,1,10,PHI 13,3,0,Josh Jacobs right end for no gain (tackle by Darius Slay). Penalty on Tucker Kraft: Offensive Holding 10 yards (accepted) (no play),4.710,4.040
1,6:43,1,20,PHI 23,3,0,Jordan Love pass complete short right to Jayden Reed for 9 yards (tackle by Reed Blankenship and Zack Baun),4.040,3.900
1,5:58,2,11,PHI 14,3,0,Jordan Love pass complete short right to Romeo Doubs for 10 yards (tackle by Darius Slay),3.900,5.010
1,5:27,3,1,PHI 4,3,0,Josh Jacobs up the middle for -1 yards (tackle by Nakobe Dean and Brandon Graham),5.010,3.030
1,4:44,4,2,PHI 5,3,0,Josh Jacobs right tackle for 2 yards (tackle by C.J. Gardner-Johnson and Zack Baun),3.030,6.510
1,3:58,,,,,,Timeout #2 by Green Bay Packers,,
1,3:58,1,3,PHI 3,3,0,Jordan Love pass incomplete short left intended for Christian Watson. Penalty on Romeo Doubs: Offensive Pass Interference 10 yards (accepted) (no play),6.510,4.530
1,3:53,1,13,PHI 13,3,0,Jordan Love pass complete short right to Tucker Kraft for 8 yards (tackle by C.J. Gardner-Johnson and Jalen Carter),4.530,5.150
1,3:15,2,5,PHI 5,3,0,Jordan Love pass incomplete short right,5.150,4.260
1,3:09,3,5,PHI 5,3,0,Jordan Love pass incomplete short right intended for Christian Watson,4.260,3.010
1,3:04,4,5,PHI 5,6,0,Brayden Narveson 23 yard field goal good,3.010,3.000
1,3:01,,,GNB 35,6,0,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
1,3:01,1,10,PHI 30,6,0,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards (tackle by Jaire Alexander),0.940,0.930
1,2:23,2,6,PHI 34,6,0,Saquon Barkley left tackle for 5 yards (tackle by Quay Walker),0.930,0.890
1,1:40,3,1,PHI 39,6,0,Jalen Hurts pass complete short left to A.J. Brown for 8 yards (tackle by Jaire Alexander). Penalty on Kenny Clark: Defensive Offside 5 yards (declined),0.890,2.060
1,1:21,1,10,PHI 47,6,0,Jalen Hurts right end for 2 yards (tackle by Keisean Nixon),2.060,1.790
1,0:39,2,8,PHI 49,6,0,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Karl Brooks and Quay Walker),1.790,2.720
1,0:06,1,10,GNB 43,6,0,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Keisean Nixon),2.720,3.390
2,15:00,2,1,GNB 34,6,0,Jalen Hurts pass incomplete short right,3.390,2.680
2,14:54,3,1,GNB 34,6,0,Jalen Hurts up the middle for no gain (tackle by Quay Walker),2.680,1.100
2,14:21,4,1,GNB 34,6,0,Penalty on Tedarrell Slaton: Encroachment 6 yards (accepted) (no play),1.100,3.710
2,14:08,1,10,GNB 28,6,0,Saquon Barkley up the middle for 11 yards (tackle by Xavier McKinney),3.710,4.440
2,13:27,1,10,GNB 17,6,0,Saquon Barkley up the middle for -1 yards (tackle by Eric Wilson and Tedarrell Slaton),4.440,3.720
2,12:43,2,11,GNB 18,6,6,Jalen Hurts pass complete deep left to Saquon Barkley for 18 yards touchdown,3.720,7.000
2,12:38,,,GNB 15,6,7,Jake Elliott kicks extra point good,0.000,0.000
2,12:38,,,PHI 35,6,7,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,12:38,1,10,GNB 30,6,7,Jordan Love pass incomplete deep left intended for Dontayvion Wicks,0.940,0.390
2,12:33,2,10,GNB 30,6,7,Emanuel Wilson left tackle for 14 yards (tackle by Reed Blankenship),0.390,1.860
2,11:57,1,10,GNB 44,6,7,Emanuel Wilson left end for 5 yards (tackle by Zack Baun),1.860,1.990
2,11:13,2,5,GNB 49,6,7,Emanuel Wilson up the middle for 18 yards (tackle by Zack Baun),1.990,3.380
2,10:24,,,,,,Timeout #3 by Green Bay Packers,,
2,10:24,1,10,PHI 33,12,7,Jayden Reed right end for 33 yards touchdown,3.380,7.000
2,10:16,,,PHI 15,12,7,Brayden Narveson kicks extra point good. Penalty on Jalen Carter: Defensive Offside 1 yard (accepted) (no play),0.000,1.000
2,10:16,,,PHI 1,12,7,Two Point Attempt: Josh Jacobs rushes conversion fails.,1.000,-1.000
2,10:16,,,GNB 35,12,7,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
2,10:16,1,10,PHI 30,12,7,Saquon Barkley left tackle for 2 yards (tackle by Karl Brooks and Isaiah McDuffie),0.940,0.660
2,9:33,2,8,PHI 32,12,7,Jalen Hurts pass incomplete deep right,0.660,-0.030
2,9:26,3,8,PHI 32,12,7,Jalen Hurts pass complete short left to A.J. Brown for 20 yards (tackle by Xavier McKinney),-0.030,2.390
