Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
,,,,,,,Colts won the coin toss Colts to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 67 yards returned by Anthony Gould for 29 yards (tackle by Del'Shawn Phillips and Calen Bullock),0.000,0.740
1,14:56,1,10,IND 27,0,0,Jonathan Taylor left guard for 5 yards (tackle by Azeez Al-Shaair and Folorunso Fatukasi),0.740,0.870
1,14:20,2,5,IND 32,0,0,Anthony Richardson pass complete short right to Michael Pittman for 13 yards (tackle by Jalen Pitre),0.870,1.930
1,13:54,1,10,IND 45,0,0,Jonathan Taylor right end for -2 yards (tackle by Will Anderson),1.930,1.110
1,13:08,2,12,IND 43,0,0,Anthony Richardson pass complete short right to Michael Pittman for 6 yards (tackle by Henry To'oTo'o and Azeez Al-Shaair),1.110,1.220
1,12:27,3,6,IND 49,0,0,Jonathan Taylor up the middle for 5 yards (tackle by Jalen Pitre and Derek Barnett),1.220,0.200
1,11:46,4,1,HOU 46,0,0,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,0.200,-2.060
1,11:40,1,10,HOU 47,0,0,C.J. Stroud pass incomplete short left intended for Tank Dell,2.060,1.520
1,11:37,2,10,HOU 47,0,0,Joe Mixon right guard for 1 yard (tackle by DeForest Buckner),1.520,0.960
1,10:51,3,9,HOU 48,0,0,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),0.960,0.300
1,10:30,3,14,HOU 43,0,0,C.J. Stroud scrambles up the middle for 13 yards (tackle by E.J. Speed),0.300,0.330
1,9:34,4,1,IND 44,0,0,C.J. Stroud pass complete short middle to Brevin Jordan for 3 yards (tackle by Julian Blackmon and Zaire Franklin),0.330,2.850
1,8:59,1,10,IND 41,0,0,C.J. Stroud sacked by Tyquan Lewis for -8 yards,2.850,1.230
1,8:19,2,18,IND 49,0,0,C.J. Stroud pass complete short left to Joe Mixon for 7 yards (tackle by Kenny Moore),1.230,1.490
1,7:37,3,11,IND 42,0,0,C.J. Stroud pass complete short right to Stefon Diggs for 10 yards (tackle by Julian Blackmon),1.490,1.310
1,6:48,4,1,IND 32,3,0,Ka'imi Fairbairn 51 yard field goal good,1.310,3.000
1,6:44,,,HOU 35,3,0,Ka'imi Fairbairn kicks off 60 yards returned by Anthony Gould for 22 yards (tackle by British Brooks),0.000,0.740
1,6:39,1,10,IND 27,3,0,Anthony Richardson up the middle for 8 yards (tackle by Khalil Davis),0.740,1.280
1,6:02,2,2,IND 35,3,0,Jonathan Taylor left end for 5 yards (tackle by Khalil Davis and Kamari Lassiter),1.280,1.600
1,5:20,1,10,IND 40,3,6,Anthony Richardson pass complete deep middle to Alec Pierce for 60 yards touchdown,1.600,7.000
1,5:12,,,HOU 15,3,7,Spencer Shrader kicks extra point good,0.000,0.000
1,5:12,,,IND 35,3,7,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
1,5:12,1,10,HOU 30,3,7,C.J. Stroud pass complete short right to Dalton Schultz for 4 yards (tackle by Kenny Moore),0.940,0.930
1,4:42,2,6,HOU 34,3,7,Joe Mixon left tackle for 11 yards (tackle by Nick Cross),0.930,1.930
1,4:21,1,10,HOU 45,3,7,C.J. Stroud pass complete deep right to Tank Dell for 23 yards (tackle by E.J. Speed and Jaylon Jones),1.930,3.450
1,3:44,1,10,IND 32,3,7,C.J. Stroud pass complete short middle to Stefon Diggs for 2 yards (tackle by E.J. Speed),3.450,3.170
1,3:06,2,8,IND 30,3,7,Joe Mixon left end for 3 yards (tackle by Tyquan Lewis and Zaire Franklin),3.170,2.870
1,2:24,3,5,IND 27,3,7,C.J. Stroud sacked by Kwity Paye for -5 yards,2.870,1.240
1,1:42,4,10,IND 32,6,7,Ka'imi Fairbairn 50 yard field goal good,1.240,3.000
1,1:37,,,HOU 35,6,7,Ka'imi Fairbairn kicks off 65 yards touchback. touchback.,0.000,0.940
1,1:37,1,10,IND 30,6,7,Anthony Richardson pass complete short right to Michael Pittman for 4 yards (tackle by Derek Stingley),0.940,0.930
1,1:02,2,6,IND 34,6,7,Anthony Richardson pass incomplete short left intended for Michael Pittman (defended by Azeez Al-Shaair),0.930,0.230
1,0:55,3,6,IND 34,6,7,Anthony Richardson sacked by Mario Edwards for -11 yards,0.230,-1.830
1,0:05,4,17,IND 23,6,7,Rigoberto Sanchez punts 58 yards downed by Chris Lammons,-1.830,-0.150
2,15:00,1,10,HOU 19,6,7,Stefon Diggs left end for 6 yards (tackle by Nick Cross),0.150,0.480
2,14:22,2,4,HOU 25,6,7,Joe Mixon right end for 3 yards (tackle by Zaire Franklin and Kwity Paye),0.480,0.100
2,13:43,3,1,HOU 28,6,7,Joe Mixon left end for 4 yards (tackle by Jaylon Jones),0.100,1.070
2,12:58,1,10,HOU 32,6,7,C.J. Stroud pass complete deep middle to Nico Collins for 55 yards (tackle by Nick Cross and Julius Brents),1.070,4.710
2,12:24,1,10,IND 13,6,7,Dameon Pierce left tackle for 4 yards (tackle by E.J. Speed),4.710,4.770
2,11:44,2,6,IND 9,6,7,C.J. Stroud pass incomplete short right intended for Tank Dell,4.770,3.880
2,11:35,3,6,IND 9,12,7,C.J. Stroud pass complete short middle to Stefon Diggs for 9 yards touchdown,3.880,7.000
2,11:31,,,IND 2,12,7,Two Point Attempt: Joe Mixon rushes conversion fails.,1.000,-1.000
2,11:31,,,HOU 35,12,7,Ka'imi Fairbairn kicks off 66 yards returned by Anthony Gould for 32 yards (tackle by Jake Hansen and Kris Boyd),0.000,1.000
2,11:24,1,10,IND 31,12,7,Anthony Richardson left end for 13 yards (tackle by Henry To'oTo'o and Calen Bullock),1.000,1.860
2,10:47,1,10,IND 44,12,7,Anthony Richardson pass complete short right to Adonai Mitchell for 2 yards (tackle by Derek Stingley),1.860,1.590
2,10:15,2,8,IND 46,12,7,Anthony Richardson pass incomplete short left intended for Adonai Mitchell,1.590,0.890
2,10:03,3,8,IND 46,12,7,Anthony Richardson pass incomplete short left intended for Michael Pittman (defended by Jalen Pitre) (defended by Kamari Lassiter). Penalty on Braden Smith: Illegal Shift 5 yards (declined),0.890,-0.320
2,9:56,4,8,IND 46,12,7,Rigoberto Sanchez punts 39 yards fair catch by Steven Sims at HOU-15,-0.320,0.220
2,9:50,1,10,HOU 15,12,7,Joe Mixon left tackle for 8 yards (tackle by Nick Cross and Julian Blackmon),-0.220,0.480
2,9:22,2,2,HOU 23,12,7,C.J. Stroud pass incomplete short left intended for Nico Collins,0.480,-0.390
2,9:17,,,,,,Timeout #1 by Houston Texans,,
2,9:17,3,2,HOU 23,12,7,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),-0.390,-1.000
2,9:17,3,7,HOU 18,12,7,C.J. Stroud sacked by DeForest Buckner for -7 yards,-1.000,-2.490
2,8:36,4,14,HOU 11,12,7,Tommy Townsend punts 56 yards fair catch by Anthony Gould at IND-33,-2.490,-1.140
2,8:29,1,10,IND 33,12,7,Jonathan Taylor right tackle for 1 yard (tackle by Folorunso Fatukasi and Henry To'oTo'o),1.140,0.730
2,7:56,2,9,IND 34,12,7,Jonathan Taylor right guard for 4 yards (tackle by Folorunso Fatukasi),0.730,0.560
2,7:16,3,5,IND 38,12,7,Anthony Richardson scrambles up the middle for 19 yards (tackle by Derek Stingley),0.560,2.720
2,6:44,1,10,HOU 43,12,7,Jonathan Taylor right tackle for 5 yards (tackle by Danielle Hunter and Mario Edwards),2.720,2.850
2,6:21,2,5,HOU 38,12,7,Jonathan Taylor up the middle for 2 yards (tackle by Henry To'oTo'o),2.850,2.410
2,5:45,3,3,HOU 36,12,7,Jonathan Taylor up the middle for 7 yards (tackle by Jimmie Ward),2.410,3.640
2,4:58,1,10,HOU 29,12,7,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,3.640,3.100
2,4:47,2,10,HOU 29,12,7,Anthony Richardson pass complete short middle to Alec Pierce for 8 yards (tackle by Azeez Al-Shaair),3.100,3.470
2,4:08,3,2,HOU 21,12,7,Anthony Richardson left end for 3 yards (tackle by Jimmie Ward),3.470,4.370
2,3:23,1,10,HOU 18,12,7,Jonathan Taylor left tackle for -2 yards (tackle by Henry To'oTo'o),4.370,3.560
2,2:48,2,12,HOU 20,12,7,Anthony Richardson pass short left intended for Kylen Granson is intercepted by Calen Bullock at HOU-8 and returned for no gain (tackle by Kylen Granson),3.560,0.380
2,2:39,1,10,HOU 8,12,7,Joe Mixon right guard for 8 yards (tackle by Julian Blackmon),-0.380,-0.090
2,2:00,2,2,HOU 16,12,7,Joe Mixon up the middle for 13 yards (tackle by Julius Brents and Nick Cross),-0.090,0.870
