Quarter,Time,Down,ToGo,Location,JAX,MIA,Detail,EPB,EPA
,,,,,,,Jaguars won the coin toss and deferred Dolphins to receive the opening kickoff.,,
1,15:00,,,JAX 35,0,0,Cam Little kicks off 65 yards touchback.,0.000,0.280
1,15:00,1,10,MIA 20,0,0,Raheem Mostert right end for no gain (tackle by Foyesade Oluokun and Antonio Johnson),0.280,-0.270
1,14:19,2,10,MIA 20,0,0,De'Von Achane left end for -3 yards (tackle by Devin Lloyd),-0.270,-1.510
1,13:40,3,13,MIA 17,0,0,Tua Tagovailoa pass complete short right to De'Von Achane for 39 yards (tackle by Ronald Darby),-1.510,2.650
1,13:03,1,10,JAX 44,0,0,Tua Tagovailoa sacked by Travon Walker for no gain,2.650,2.110
1,12:29,2,10,JAX 44,0,0,Tua Tagovailoa pass complete short left to Tyreek Hill for 2 yards (tackle by Ronald Darby),2.110,1.690
1,11:47,3,8,JAX 42,0,0,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill,1.690,0.460
1,11:41,4,8,JAX 42,0,0,Tua Tagovailoa pass incomplete short middle intended for Braxton Berrios (defended by Darnell Savage),0.460,-1.730
1,11:37,1,10,JAX 42,0,0,Trevor Lawrence sacked by Calais Campbell for -13 yards,1.730,-0.570
1,10:55,2,23,JAX 29,0,0,Travis Etienne right guard for -1 yards (tackle by Calais Campbell),-0.570,-1.350
1,10:19,3,24,JAX 28,0,0,Trevor Lawrence pass incomplete deep middle intended for Evan Engram,-1.350,-1.500
1,10:13,4,24,JAX 28,0,0,Logan Cooke punts 48 yards returned by Braxton Berrios for 7 yards (tackle by Andre Cisco),-1.500,-1.000
1,10:02,1,10,MIA 31,0,0,Raheem Mostert left end for 5 yards (tackle by Josh Hines-Allen and Devin Lloyd),1.000,1.140
1,9:23,2,5,MIA 36,0,0,Tua Tagovailoa pass complete short right to De'Von Achane for 3 yards (tackle by Foyesade Oluokun),1.140,0.830
1,8:44,3,2,MIA 39,0,0,Tua Tagovailoa pass complete short right to Tyreek Hill for 10 yards (tackle by Antonio Johnson),0.830,2.190
1,8:10,1,10,MIA 49,0,0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,2.190,1.650
1,8:03,2,10,MIA 49,0,0,Tua Tagovailoa pass incomplete short right intended for Jonnu Smith,1.650,0.960
1,8:01,,,,,,Timeout #1 by Miami Dolphins,,
