Quarter,Time,Down,ToGo,Location,LAR,DET,Detail,EPB,EPA
,,,,,,,Lions won the coin toss and deferred Rams to receive the opening kickoff.,,
1,15:00,,,DET 35,0,0,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LAR 30,0,0,Matthew Stafford pass complete short right to Kyren Williams for -1 yards (tackle by Alex Anzalone),0.940,0.260
1,14:28,2,11,LAR 29,0,0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,0.260,-0.430
1,14:22,3,11,LAR 29,0,0,Matthew Stafford pass complete short left to Cooper Kupp for -2 yards (tackle by Alex Anzalone),-0.430,-1.570
1,13:38,4,13,LAR 27,0,0,Ethan Evans punts 48 yards returned by Kalif Raymond for 11 yards (tackle by Ronnie Rivers and Christian Rozeboom),-1.570,-1.330
1,13:26,1,10,DET 36,0,0,David Montgomery up the middle for 2 yards (tackle by Christian Rozeboom and Jared Verse),1.330,1.060
1,12:55,2,8,DET 38,0,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 4 yards (tackle by Christian Rozeboom),1.060,0.890
1,12:11,3,4,DET 42,0,0,Jared Goff sacked by Byron Young for -9 yards,0.890,-1.180
1,11:30,4,13,DET 33,0,0,Jack Fox punts 67 yards touchback.. Penalty on Christian Rozeboom: Offensive Holding 10 yards (accepted),-1.180,0.380
1,11:20,1,10,LAR 10,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards,-0.380,-0.350
1,11:01,2,5,LAR 15,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 11 yards (tackle by Terrion Arnold and Brian Branch),-0.350,0.670
1,10:23,1,10,LAR 26,0,0,Matthew Stafford pass complete short right to Colby Parkinson for 10 yards (tackle by Carlton Davis),0.670,1.330
1,9:50,1,10,LAR 36,0,0,Matthew Stafford pass complete short middle to Cooper Kupp for 8 yards (tackle by Carlton Davis),1.330,1.870
1,9:24,2,2,LAR 44,0,0,Kyren Williams left tackle for 2 yards (tackle by Carlton Davis),1.870,1.990
1,8:44,1,10,LAR 46,0,0,Matthew Stafford pass complete short right to Puka Nacua for 16 yards (tackle by Alex Anzalone),1.990,3.050
1,8:02,1,10,DET 38,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Terrion Arnold),3.050,3.050
1,7:37,2,6,DET 34,0,0,Matthew Stafford pass incomplete short middle intended for Demarcus Robinson,3.050,2.340
1,7:32,3,6,DET 34,0,0,Matthew Stafford pass complete short right to Colby Parkinson for 15 yards (tackle by Alex Anzalone and Kerby Joseph),2.340,4.310
1,6:46,1,10,DET 19,0,0,Matthew Stafford pass incomplete short right intended for Davis Allen,4.310,3.750
1,6:41,2,10,DET 19,0,0,Matthew Stafford sacked by and Levi Onwuzurike for -8 yards and Marcus Davenport for -8 yards,3.750,2.020
1,5:55,3,18,DET 27,0,0,Penalty on Warren McClendon: False Start 5 yards (accepted) (no play),2.020,1.360
1,5:36,3,23,DET 32,0,0,Kyren Williams up the middle for 9 yards (tackle by Jalen Reeves-Maybin and Kerby Joseph),1.360,1.930
1,4:54,4,14,DET 23,3,0,Joshua Karty 41 yard field goal good,1.930,3.000
1,4:50,,,LAR 35,3,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,4:50,1,10,DET 30,3,0,David Montgomery right tackle for 3 yards (tackle by Braden Fiske and Kobie Turner),0.940,0.800
1,4:11,2,7,DET 33,3,0,Jahmyr Gibbs right tackle for 6 yards (tackle by Kamren Curl),0.800,0.890
1,3:34,3,1,DET 39,3,0,David Montgomery left tackle for 2 yards (tackle by Troy Reeder),0.890,1.660
1,2:50,1,10,DET 41,3,0,David Montgomery left end for 5 yards (tackle by Troy Reeder and Christian Rozeboom). Penalty on Byron Young: Illegal Use of Hands / Defense 5 yards (accepted),1.660,2.320
1,2:35,1,10,LAR 49,3,0,David Montgomery left end for 8 yards (tackle by Troy Reeder and John Johnson),2.320,2.860
1,1:51,2,2,LAR 41,3,0,David Montgomery left end for 6 yards (tackle by Quentin Lake and Jared Verse),2.860,3.250
1,1:14,1,10,LAR 35,3,0,David Montgomery left tackle for 7 yards (tackle by Troy Reeder and Tre'Davious White),3.250,3.650
1,0:35,2,3,LAR 28,3,0,Jared Goff pass complete short left to Jameson Williams for 1 yard (tackle by Quentin Lake and John Johnson),3.650,3.070
2,15:00,3,2,LAR 27,3,0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,3.070,1.800
2,14:56,4,2,LAR 27,3,0,David Montgomery up the middle for 3 yards (tackle by Bobby Brown),1.800,3.970
2,14:25,1,10,LAR 24,3,0,Jared Goff pass complete short left to Sam LaPorta for 14 yards (tackle by John Johnson),3.970,4.910
2,13:43,1,10,LAR 10,3,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Troy Reeder),4.910,4.950
2,13:00,2,6,LAR 6,3,0,David Montgomery left tackle for -1 yards (tackle by Michael Hoecht and Quentin Lake),4.950,3.810
2,12:25,3,7,LAR 7,3,0,Jared Goff pass incomplete short middle intended for Sam LaPorta,3.810,2.970
2,12:20,4,7,LAR 7,3,3,Jake Bates 25 yard field goal good,2.970,3.000
2,12:17,,,DET 35,3,3,Jake Bates kicks off 63 yards returned by Jordan Whittington for 20 yards (tackle by Khalil Dorsey and Malcolm Rodriguez),0.000,0.410
2,12:11,1,10,LAR 22,3,3,Puka Nacua left end for 7 yards (tackle by Derrick Barnes and Jack Campbell),0.410,0.810
2,11:34,2,3,LAR 29,3,3,Ronnie Rivers right tackle for 4 yards (tackle by Chris Smith and Jack Campbell),0.810,1.140
2,10:48,1,10,LAR 33,3,3,Matthew Stafford pass incomplete short middle intended for Colby Parkinson,1.140,0.590
2,10:45,2,10,LAR 33,3,3,Ronnie Rivers left end for 12 yards (tackle by Alex Anzalone),0.590,1.930
2,10:01,,,,,,Timeout #1 by Los Angeles Rams,,
2,10:01,1,10,LAR 45,3,3,Matthew Stafford pass complete short middle to Puka Nacua for 7 yards (tackle by Alex Anzalone),1.930,2.330
2,9:21,2,3,DET 48,3,3,Cooper Kupp left end for 9 yards (tackle by Terrion Arnold),2.330,2.980
