Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 64 yards returned by Derius Davis for 35 yards (tackle by Tyreik McAllister and DJ Turner),0.000,1.330
1,14:50,1,10,LAC 36,0,0,Justin Herbert pass complete short right to Will Dissly for 13 yards (tackle by Divine Deablo),1.330,2.190
1,14:25,1,10,LAC 49,0,0,Gus Edwards up the middle for 6 yards (tackle by Christian Wilkins),2.190,2.460
1,14:01,2,4,LVR 45,0,0,Penalty on Will Dissly: False Start 5 yards (accepted) (no play),2.460,1.780
1,13:42,2,9,LVR 50,0,0,Justin Herbert sacked by Robert Spillane for no gain. Justin Herbert fumbles (forced by Robert Spillane) recovered by Rashawn Slater at LAC-35 (tackle by Robert Spillane). Penalty on Charles Snowden: Neutral Zone Infraction 5 yards (accepted) (no play),1.780,2.460
1,13:23,2,4,LVR 45,0,0,Gus Edwards up the middle for no gain (tackle by Maxx Crosby),2.460,1.750
1,12:41,3,4,LVR 45,0,0,Justin Herbert sacked by Maxx Crosby for -4 yards,1.750,0.000
1,11:53,4,8,LVR 49,0,0,JK Scott punts 28 yards out of bounds,0.000,-0.340
1,11:44,1,10,LVR 21,0,0,Gardner Minshew pass complete short right to Jakobi Meyers for 9 yards (tackle by Asante Samuel),0.340,1.020
1,11:09,2,1,LVR 30,0,0,Zamir White up the middle for no gain (tackle by Otito Ogbonnia),1.020,0.300
1,10:25,3,1,LVR 30,0,0,Zamir White right tackle for no gain (tackle by Joey Bosa),0.300,-1.370
1,9:40,4,1,LVR 30,0,0,AJ Cole punts 57 yards fair catch by Derius Davis at LAC-13,-1.370,0.320
1,9:30,1,10,LAC 13,0,0,J.K. Dobbins left guard for 3 yards (tackle by Christian Wilkins),-0.320,-0.440
1,8:56,2,7,LAC 16,0,0,Penalty on Will Dissly: False Start 5 yards (accepted) (no play),-0.440,-0.930
1,8:32,2,12,LAC 11,0,0,Justin Herbert pass complete short middle to Hayden Hurst for 6 yards (tackle by Marcus Epps and Robert Spillane),-0.930,-0.940
1,7:45,3,6,LAC 17,0,0,Justin Herbert pass incomplete deep left intended for Quentin Johnston (defended by Jakorian Bennett),-0.940,-2.320
1,7:39,4,6,LAC 17,0,0,JK Scott punts 51 yards fair catch by Tre Tucker at LV-32,-2.320,-1.070
1,7:31,1,10,LVR 32,0,0,Gardner Minshew pass incomplete deep right intended for Davante Adams,1.070,0.530
1,7:26,2,10,LVR 32,0,0,Gardner Minshew pass complete short right to Zamir White for 1 yard (tackle by Asante Samuel),0.530,-0.030
1,6:46,3,9,LVR 33,0,0,Gardner Minshew pass complete short left to Tre Tucker for 8 yards (tackle by Junior Colson),-0.030,-0.650
1,6:02,4,1,LVR 41,0,0,Zamir White up the middle for -1 yards (tackle by Poona Ford),-0.650,-2.920
1,5:55,1,10,LVR 40,0,0,Gus Edwards right guard for 2 yards (tackle by Adam Butler),2.920,2.640
1,5:22,2,8,LVR 38,0,0,Gus Edwards up the middle for no gain (tackle by Christian Wilkins). Penalty on Will Dissly: Offensive Holding 10 yards (accepted) (no play),2.640,1.290
1,4:57,2,18,LVR 48,0,0,Justin Herbert pass incomplete short middle intended for Ladd McConkey (defended by Nate Hobbs),1.290,0.630
1,4:52,3,18,LVR 48,0,0,Justin Herbert pass complete short middle to Quentin Johnston for 13 yards (tackle by Tre'von Moehrig),0.630,0.980
1,4:27,4,5,LVR 35,0,3,Cameron Dicker 53 yard field goal good,0.980,3.000
1,4:22,,,LAC 35,0,3,Cameron Dicker kicks off 60 yards returned by Ameer Abdullah for 28 yards (tackle by Junior Colson and Daiyan Henley),0.000,1.140
1,4:13,1,10,LVR 33,0,3,Jakobi Meyers left end for 3 yards (tackle by Alohi Gilman),1.140,1.000
1,3:36,2,7,LVR 36,0,3,Alexander Mattison left tackle for 3 yards (tackle by Kristian Fulton and Otito Ogbonnia),1.000,0.700
1,2:50,3,4,LVR 39,0,3,Gardner Minshew pass complete short middle to Davante Adams for 18 yards (tackle by Alohi Gilman),0.700,2.720
1,2:11,1,10,LAC 43,0,3,Gardner Minshew pass incomplete short left intended for Brock Bowers,2.720,2.180
1,2:07,2,10,LAC 43,0,3,Alexander Mattison up the middle for 1 yard (tackle by Denzel Perryman),2.180,1.620
1,1:40,3,9,LAC 42,0,3,Gardner Minshew pass complete short right to Davante Adams for 11 yards (tackle by Asante Samuel),1.620,3.510
1,0:54,1,10,LAC 31,6,3,Gardner Minshew pass complete short right to Alexander Mattison for 31 yards touchdown,3.510,7.000
1,0:45,,,LAC 15,7,3,Daniel Carlson kicks extra point good,0.000,0.000
1,0:45,,,LVR 35,7,3,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
1,0:45,1,10,LAC 30,7,3,Penalty on Eric Tomlinson: False Start 5 yards (accepted) (no play),0.940,0.610
1,0:45,1,15,LAC 25,7,3,Justin Herbert pass complete short left to Quentin Johnston for 9 yards (tackle by Robert Spillane),0.610,0.930
1,0:01,2,6,LAC 34,7,3,J.K. Dobbins left tackle for 1 yard (tackle by Christian Wilkins and Divine Deablo),0.930,0.370
2,15:00,3,5,LAC 35,7,3,Justin Herbert pass complete short middle to Ladd McConkey for 4 yards (tackle by Robert Spillane),0.370,-0.780
2,14:23,4,1,LAC 39,7,3,JK Scott punts 52 yards fair catch by Tre Tucker at LV-9,-0.780,0.380
2,14:15,1,10,LVR 9,7,3,Alexander Mattison up the middle for 7 yards (tackle by Denzel Perryman),-0.380,-0.160
2,13:46,2,3,LVR 16,7,3,Gardner Minshew pass complete short right to Michael Mayer for no gain (tackle by Denzel Perryman and Khalil Mack),-0.160,-0.600
2,13:05,3,3,LVR 16,7,3,Gardner Minshew scrambles up the middle for 1 yard (tackle by Joey Bosa),-0.600,-2.320
2,12:23,4,2,LVR 17,7,3,AJ Cole punts 52 yards fair catch by Derius Davis at LAC-31,-2.320,-1.000
2,12:13,1,10,LAC 31,7,3,Justin Herbert pass complete short right to Ladd McConkey for 11 yards (tackle by Marcus Epps),1.000,1.730
2,11:31,1,10,LAC 42,7,3,Gus Edwards left guard for -1 yards (tackle by Robert Spillane),1.730,1.050
2,10:48,2,11,LAC 41,7,3,Justin Herbert pass complete short right to J.K. Dobbins for 1 yard (tackle by Robert Spillane),1.050,0.500
2,10:13,3,10,LAC 42,7,3,Penalty on Ladd McConkey: False Start 5 yards (accepted) (no play),0.500,-0.160
2,9:41,3,15,LAC 37,7,3,Justin Herbert scrambles right end for 8 yards (tackle by Robert Spillane),-0.160,-0.390
2,9:06,4,7,LAC 45,7,3,JK Scott punts 55 yards touchback.,-0.390,-0.280
2,8:58,1,10,LVR 20,7,3,Zamir White left end for 2 yards (tackle by Kristian Fulton and Poona Ford),0.280,0.000
