Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
,,,,,,,Vikings won the coin toss and deferred Giants to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NYG 30,0,0,Devin Singletary right guard for 2 yards (tackle by Blake Cashman and Harrison Phillips),0.940,0.660
1,14:21,2,8,NYG 32,0,0,Daniel Jones pass complete short left to Devin Singletary for -6 yards (tackle by Byron Murphy),0.660,-0.820
1,13:31,3,14,NYG 26,0,0,Penalty on Daniel Jones: Delay of Game 5 yards (accepted) (no play),-0.820,-1.480
1,13:19,3,19,NYG 21,0,0,Daniel Jones pass incomplete short left intended for Theo Johnson,-1.480,-1.960
1,13:09,4,19,NYG 21,0,0,Jamie Gillan punts 54 yards returned by Brandon Powell for no gain (tackle by Ty Summers). Penalty on Jay Ward: Offensive Holding 10 yards (accepted),-1.960,0.220
1,12:59,1,10,MIN 15,0,0,Aaron Jones up the middle for 1 yard (tackle by Rakeem Nunez-Roches and Dexter Lawrence),-0.220,-0.580
1,12:35,2,9,MIN 16,0,0,Sam Darnold sacked by Dexter Lawrence for -7 yards,-0.580,-2.120
1,11:50,3,16,MIN 9,0,0,Sam Darnold pass complete short right to C.J. Ham for 8 yards. C.J. Ham fumbles (forced by Andru Phillips) recovered by Bobby Okereke at MIN-21 and returned for 1 yard,-2.120,-4.240
1,11:23,1,10,MIN 20,0,0,Eric Gray left end for no gain (tackle by Ivan Pace),4.240,3.690
1,10:45,2,10,MIN 20,0,0,Daniel Jones pass complete short right to Daniel Bellinger for 3 yards (tackle by Blake Cashman),3.690,3.360
1,9:56,3,7,MIN 17,0,0,Daniel Jones scrambles right end for 7 yards (tackle by Harrison Smith and Blake Cashman). Penalty on Dallas Turner: Defensive Offside 5 yards (declined),3.360,4.910
1,9:26,1,10,MIN 10,0,0,Devin Singletary right guard for 4 yards (tackle by Josh Metellus),4.910,4.950
1,8:44,2,6,MIN 6,0,0,Daniel Jones left end for 1 yard (tackle by Andrew Van Ginkel and Harrison Phillips),4.950,4.260
1,8:02,3,5,MIN 5,0,0,Daniel Jones sacked by Andrew Van Ginkel for no gain,4.260,3.010
1,7:19,4,5,MIN 5,0,3,Graham Gano 23 yard field goal good,3.010,3.000
1,7:16,,,NYG 35,0,3,Graham Gano kicks off 65 yards touchback.. Penalty on Andru Phillips: Illegal Formation 5 yards (accepted),0.000,1.270
1,7:16,1,10,MIN 35,0,3,Aaron Jones left end for no gain (tackle by Nick McCloud). Penalty on Garrett Bradbury: Offensive Holding 10 yards (accepted) (no play),1.270,0.610
