Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
,,,,,,,Patriots won the coin toss and deferred Bengals to receive the opening kickoff.,,
1,15:00,,,NWE 35,0,0,Joey Slye kicks off 65 yards touchback.. Penalty on Dell Pettus: Illegal Formation 5 yards (accepted),0.000,1.270
1,15:00,1,10,CIN 35,0,0,Zack Moss right guard for 4 yards (tackle by Jahlani Tavai and Daniel Ekuale),1.270,1.260
1,14:23,2,6,CIN 39,0,0,Joe Burrow sacked by Keion White for -3 yards. Joe Burrow fumbles (forced by Keion White) recovered by Joe Burrow at CIN-36,1.260,0.170
1,13:25,3,9,CIN 36,0,0,Joe Burrow pass complete short right to Mike Gesicki for 7 yards (tackle by Marcus Jones and Ja'Whaun Bentley),0.170,-0.520
1,12:57,4,2,CIN 43,0,0,Ryan Rehkow punts 57 yards touchback.,-0.520,-0.280
1,12:47,1,10,NWE 20,0,0,Jacoby Brissett pass complete short left to Hunter Henry for 9 yards (tackle by Cam Taylor-Britt),0.280,0.950
1,12:09,2,1,NWE 29,0,0,Rhamondre Stevenson right guard for 14 yards (tackle by Geno Stone),0.950,1.800
1,11:40,1,10,NWE 43,0,0,Rhamondre Stevenson left guard for 4 yards (tackle by Vonn Bell and Germaine Pratt),1.800,1.790
1,11:03,2,6,NWE 47,0,0,Rhamondre Stevenson right tackle for -2 yards (tackle by Logan Wilson),1.790,0.830
1,10:03,3,8,NWE 45,0,0,Jacoby Brissett pass incomplete short left intended for K.J. Osborn (defended by Daxton Hill),0.830,-0.390
1,9:59,4,8,NWE 45,0,0,Bryce Baringer punts 44 yards fair catch by Charlie Jones at CIN-11,-0.390,0.370
1,9:52,1,10,CIN 11,0,0,Zack Moss right guard for 1 yard (tackle by Daniel Ekuale),-0.370,-0.710
1,9:14,2,9,CIN 12,0,0,Zack Moss up the middle for 3 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),-0.710,-0.950
1,8:23,3,6,CIN 15,0,0,Joe Burrow scrambles right end for no gain (tackle by Jabrill Peppers). Penalty on Alex Cappa: Offensive Holding 1 yard (offset) . Penalty on Christian Gonzalez: Illegal Contact 5 yards (offset) (no play),-0.950,-0.950
1,8:23,3,6,CIN 15,0,0,Joe Burrow pass complete short middle to Tanner Hudson for 5 yards (tackle by Marcus Jones),-0.950,-2.030
1,7:28,4,1,CIN 20,0,0,Ryan Rehkow punts 80 yards touchback.,-2.030,-0.280
1,7:18,1,10,NWE 20,0,0,Rhamondre Stevenson left tackle for 7 yards (tackle by Akeem Davis-Gaither and B.J. Hill),0.280,0.680
1,6:37,2,3,NWE 27,0,0,Jacoby Brissett scrambles left end for 6 yards (tackle by Sheldon Rankins),0.680,1.140
1,6:05,1,10,NWE 33,0,0,Jacoby Brissett pass complete short right to Austin Hooper for 16 yards (tackle by Geno Stone),1.140,2.190
1,5:23,1,10,NWE 49,0,0,Antonio Gibson left guard for 2 yards (tackle by Daxton Hill),2.190,1.920
1,4:42,2,8,CIN 49,0,0,Jacoby Brissett pass incomplete short right intended for Austin Hooper,1.920,1.220
1,4:34,3,8,CIN 49,0,0,Jacoby Brissett pass complete short middle to Demario Douglas for 9 yards (tackle by DJ Turner),1.220,2.920
1,3:57,1,10,CIN 40,0,0,Antonio Gibson right guard for 8 yards (tackle by Geno Stone),2.920,3.450
1,3:19,2,2,CIN 32,0,0,Rhamondre Stevenson left guard for 3 yards (tackle by Germaine Pratt and Sam Hubbard),3.450,3.640
1,2:48,1,10,CIN 29,0,0,Jacoby Brissett pass incomplete short right intended for Austin Hooper (defended by Germaine Pratt),3.640,3.100
1,2:38,2,10,CIN 29,0,0,Penalty on Vederian Lowe: False Start 5 yards (accepted) (no play),3.100,2.420
1,2:38,2,15,CIN 34,0,0,Jacoby Brissett pass complete short middle to Tyquan Thornton for 10 yards (tackle by Daxton Hill),2.420,3.070
1,1:55,3,5,CIN 24,0,0,Jacoby Brissett scrambles left end for 16 yards (tackle by Logan Wilson and Cam Taylor-Britt),3.070,5.370
1,1:29,1,8,CIN 8,0,0,Rhamondre Stevenson right end for -2 yards (tackle by Jay Tufele),5.370,4.190
1,0:51,2,10,CIN 10,0,0,Jacoby Brissett pass complete short middle to K.J. Osborn for 7 yards (tackle by Logan Wilson),4.190,4.720
2,15:00,3,3,CIN 3,6,0,Rhamondre Stevenson right guard for 3 yards touchdown,4.720,7.000
2,14:58,,,CIN 15,7,0,Joey Slye kicks extra point good,0.000,0.000
2,14:58,,,NWE 35,7,0,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,14:58,1,10,CIN 30,7,0,Joe Burrow pass complete short middle to Chase Brown for 5 yards (tackle by Kyle Dugger),0.940,1.070
2,14:13,2,5,CIN 35,7,0,Joe Burrow scrambles right guard for 2 yards (tackle by Ja'Whaun Bentley),1.070,0.630
2,13:32,3,3,CIN 37,7,0,Joe Burrow sacked by and Keion White for -5 yards and Ja'Whaun Bentley for -5 yards,0.630,-1.240
2,12:45,4,8,CIN 32,7,0,Ryan Rehkow punts 51 yards fair catch by Marcus Jones at NE-17,-1.240,0.060
2,12:42,1,10,NWE 17,7,0,Antonio Gibson left tackle for 1 yard (tackle by Jay Tufele and Germaine Pratt),-0.060,-0.420
2,12:03,2,9,NWE 18,7,0,Jacoby Brissett pass incomplete short left intended for K.J. Osborn. Penalty on David Andrews: Ineligible Downfield Pass 5 yards (declined),-0.420,-1.130
2,11:54,3,9,NWE 18,7,0,Jacoby Brissett pass incomplete short right intended for K.J. Osborn,-1.130,-2.240
2,11:50,4,9,NWE 18,7,0,Bryce Baringer punts 56 yards returned by Charlie Jones for 9 yards (tackle by Brenden Schooler),-2.240,-1.270
2,11:42,1,10,CIN 35,7,0,Chase Brown right guard for 4 yards (tackle by Kyle Dugger and Ja'Whaun Bentley),1.270,1.260
2,11:06,2,6,CIN 39,7,0,Joe Burrow pass complete short right to Ja'Marr Chase for no gain (tackle by Jabrill Peppers). Penalty on Ja'Marr Chase: Illegal Shift 5 yards (declined),1.260,0.560
2,10:34,3,6,CIN 39,7,0,Joe Burrow pass complete short right to Andrei Iosivas for 12 yards (tackle by Jaylinn Hawkins),0.560,2.320
2,9:51,1,10,NWE 49,7,0,Joe Burrow pass incomplete short right intended for Zack Moss,2.320,1.780
