Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss Falcons to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 64 yards returned by Ray-Ray McCloud for 29 yards (tackle by Beanie Bishop),0.000,0.940
1,14:55,1,10,ATL 30,0,0,Bijan Robinson left tackle for 6 yards (tackle by Patrick Queen and Larry Ogunjobi),0.940,1.200
1,14:16,2,4,ATL 36,0,0,Bijan Robinson left end for 4 yards (tackle by Larry Ogunjobi),1.200,1.600
1,13:37,1,10,ATL 40,0,0,Bijan Robinson left tackle for 4 yards (tackle by T.J. Watt and DeShon Elliott),1.600,1.590
1,13:14,2,6,ATL 44,0,0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,1.590,0.890
1,13:09,3,6,ATL 44,0,0,Kirk Cousins pass complete short middle to Darnell Mooney for 15 yards (tackle by Damontae Kazee),0.890,2.850
1,12:36,1,10,PIT 41,0,0,Kirk Cousins pass incomplete deep middle intended for Ray-Ray McCloud. Penalty on Alex Highsmith: Defensive Offside 5 yards (accepted) (no play),2.850,3.580
1,12:31,1,5,PIT 36,0,0,Tyler Allgeier left end for 13 yards (tackle by Montravius Adams),3.580,4.040
1,11:47,1,10,PIT 23,0,0,Bijan Robinson left end for 5 yards (tackle by Damontae Kazee),4.040,4.210
1,11:08,2,5,PIT 18,0,0,Kirk Cousins pass complete short right to Drake London for 8 yards (tackle by Damontae Kazee),4.210,4.910
1,10:38,1,10,PIT 10,0,0,Bijan Robinson right tackle for -3 yards (tackle by T.J. Watt),4.910,3.720
1,9:55,2,13,PIT 13,0,0,Kirk Cousins pass incomplete short right,3.720,3.060
1,9:51,3,13,PIT 13,0,0,Kirk Cousins pass complete short right to Bijan Robinson for 7 yards (tackle by Payton Wilson),3.060,2.990
1,9:09,4,6,PIT 6,0,3,Younghoe Koo 24 yard field goal good,2.990,3.000
1,9:06,,,ATL 35,0,3,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
1,9:06,1,10,PIT 30,0,3,Justin Fields aborted snap recovered by Justin Fields at PIT-30 Justin Fields right guard for 3 yards,0.940,0.800
1,8:34,2,7,PIT 33,0,3,Justin Fields pass incomplete short right intended for Van Jefferson,0.800,0.100
1,8:29,,,,,,Timeout #1 by Pittsburgh Steelers,,
1,8:29,3,7,PIT 33,0,3,Justin Fields scrambles right end for 12 yards (tackle by Troy Andersen),0.100,1.930
1,7:56,1,10,PIT 45,0,3,Najee Harris right guard for 4 yards (tackle by Lorenzo Carter),1.930,1.920
1,7:16,2,6,PIT 49,0,3,Najee Harris right end for 4 yards (tackle by AJ Terrell),1.920,1.750
1,7:03,3,2,ATL 47,0,3,Najee Harris left guard for 2 yards (tackle by Kentavius Street and Ta'Quon Graham),1.750,2.590
1,6:12,1,10,ATL 45,0,3,Justin Fields pass incomplete short left intended for Najee Harris,2.590,2.040
1,6:06,2,10,ATL 45,0,3,Justin Fields pass complete short right to Pat Freiermuth for 4 yards (tackle by Jessie Bates),2.040,1.880
1,5:26,3,6,ATL 41,0,3,Cordarrelle Patterson right tackle for 2 yards (tackle by Lorenzo Carter),1.880,0.660
1,4:42,4,4,ATL 39,3,3,Chris Boswell 57 yard field goal good,0.660,3.000
1,4:37,,,PIT 35,3,3,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,4:37,1,10,ATL 30,3,3,Kirk Cousins pass complete short left to Bijan Robinson for 9 yards (tackle by Donte Jackson and Alex Highsmith),0.940,1.610
1,4:08,2,1,ATL 39,3,3,Kirk Cousins pass short middle intended for Drake London is intercepted by DeShon Elliott at PIT-49 and returned for no gain,1.610,-2.190
1,4:02,1,10,PIT 49,3,3,Justin Fields pass complete short right to George Pickens for -5 yards (tackle by James Smith-Williams),2.190,0.970
1,3:23,2,15,PIT 44,3,3,Justin Fields scrambles right tackle for 3 yards (tackle by Troy Andersen and James Smith-Williams),0.970,0.700
1,2:40,3,12,PIT 47,3,3,Justin Fields pass complete short right to George Pickens for 12 yards (tackle by AJ Terrell),0.700,2.850
1,1:55,1,10,ATL 41,3,3,Jaylen Warren right guard for -1 yards (tackle by Mike Hughes and Kentavius Street),2.850,2.170
1,1:12,2,11,ATL 42,3,3,Najee Harris right guard for 8 yards (tackle by Arnold Ebiketie and DeAundre Alford),2.170,2.540
1,0:19,,,,,,Timeout #1 by Atlanta Falcons,,
1,0:19,3,3,ATL 34,3,3,Justin Fields pass complete short left to George Pickens for 3 yards (tackle by Mike Hughes),2.540,3.510
2,15:00,1,10,ATL 31,3,3,George Pickens right end for -10 yards (tackle by Grady Jarrett),3.510,1.620
2,14:16,2,20,ATL 41,3,3,Najee Harris right end for 3 yards (tackle by Matt Judon and Kaden Elliss),1.620,1.360
2,13:35,3,17,ATL 38,3,3,Cordarrelle Patterson right end for 5 yards (tackle by Mike Hughes and Kaden Elliss),1.360,1.150
2,12:58,4,12,ATL 33,6,3,Chris Boswell 51 yard field goal good,1.150,3.000
2,12:54,,,PIT 35,6,3,Chris Boswell kicks off 64 yards returned by Ray-Ray McCloud for 27 yards (tackle by DeMarvin Leal),0.000,0.810
2,12:47,1,10,ATL 28,6,3,Kirk Cousins pass complete short middle to Drake London for 7 yards (tackle by Joey Porter),0.810,1.210
2,12:05,2,3,ATL 35,6,3,Bijan Robinson left end for 4 yards (tackle by Alex Highsmith and Minkah Fitzpatrick),1.210,1.530
2,11:26,1,10,ATL 39,6,3,Bijan Robinson left tackle for 3 yards (tackle by Cameron Heyward and Keeanu Benton),1.530,1.390
2,10:50,2,7,ATL 42,6,3,Kirk Cousins pass complete short left to Bijan Robinson for 8 yards (tackle by DeShon Elliott),1.390,2.260
2,10:06,1,10,PIT 50,6,3,Kirk Cousins pass incomplete short left intended for Charlie Woerner (defended by DeShon Elliott),2.260,1.710
2,9:57,2,10,PIT 50,6,3,Bijan Robinson left tackle for no gain (tackle by Minkah Fitzpatrick),1.710,1.030
2,9:17,3,10,PIT 50,6,3,Kirk Cousins pass incomplete deep left intended for Darnell Mooney (defended by Donte Jackson),1.030,-0.060
2,9:11,4,10,PIT 50,6,3,Bradley Pinion punts 41 yards returned by Calvin Austin for 13 yards (tackle by KhaDarel Hodge),-0.060,-0.410
2,8:58,1,10,PIT 22,6,3,Justin Fields pass complete short right to Najee Harris for 9 yards (tackle by Arnold Ebiketie),0.410,1.080
2,8:26,2,1,PIT 31,6,3,Najee Harris right end for 2 yards (tackle by Arnold Ebiketie),1.080,1.140
2,7:56,1,10,PIT 33,6,3,Justin Fields right guard for 5 yards (tackle by Nathan Landman),1.140,1.270
2,7:24,2,5,PIT 38,6,3,Cordarrelle Patterson right tackle for 4 yards (tackle by Troy Andersen),1.270,1.090
2,6:48,3,1,PIT 42,6,3,Justin Fields right guard for 3 yards (tackle by Kaden Elliss),1.090,1.930
2,6:08,1,10,PIT 45,6,3,Justin Fields pass complete short right to George Pickens for 2 yards (tackle by Jessie Bates),1.930,1.650
2,5:38,2,8,PIT 47,6,3,Justin Fields left tackle for no gain. Penalty on Van Jefferson: False Start 5 yards (accepted) (no play),1.650,0.980
2,5:31,2,13,PIT 42,6,3,Justin Fields pass complete short left to Jaylen Warren for 4 yards (tackle by Kaden Elliss and Justin Simmons),0.980,0.830
2,5:01,3,9,PIT 46,6,3,Justin Fields pass complete deep left to George Pickens for no gain (tackle by AJ Terrell). Penalty on George Pickens: Offensive Pass Interference 10 yards (accepted) (no play),0.830,-0.490
2,4:36,3,19,PIT 36,6,3,Justin Fields pass complete short left to Jaylen Warren for 9 yards (tackle by Matt Judon and Kevin King),-0.490,-0.390
2,3:58,4,10,PIT 45,6,3,Cameron Johnston punts 45 yards fair catch by Avery Williams at ATL-10,-0.390,0.380
2,3:50,1,10,ATL 10,6,3,Kirk Cousins pass complete short left to Ray-Ray McCloud for 9 yards (tackle by Donte Jackson),-0.380,0.240
2,3:22,2,1,ATL 19,6,3,Bijan Robinson right tackle for 3 yards (tackle by Payton Wilson and Montravius Adams),0.240,0.410
2,2:57,1,10,ATL 22,6,3,Kirk Cousins pass complete deep middle to Ray-Ray McCloud for 20 yards (tackle by Minkah Fitzpatrick),0.410,1.730
2,2:23,1,10,ATL 42,6,3,Kirk Cousins pass complete short right to Kyle Pitts for 6 yards (tackle by Beanie Bishop),1.730,2.000
2,2:00,2,4,ATL 48,6,3,Bijan Robinson left end for no gain (tackle by Cameron Heyward),2.000,1.290
2,1:23,3,4,ATL 48,6,3,Kirk Cousins pass complete short left to Bijan Robinson for 5 yards (tackle by Payton Wilson),1.290,2.460
2,0:57,1,10,PIT 47,6,3,Kirk Cousins pass complete short right to Bijan Robinson for 14 yards (tackle by Minkah Fitzpatrick),2.460,3.380
2,0:47,1,10,PIT 33,6,3,Kirk Cousins pass complete deep middle to Ray-Ray McCloud for 16 yards (tackle by Minkah Fitzpatrick),3.380,4.440
2,0:41,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:41,1,10,PIT 17,6,3,Penalty on T.J. Watt: Defensive Offside 5 yards (accepted),4.440,5.370
2,0:38,1,6,PIT 12,6,9,Kirk Cousins pass complete short left to Kyle Pitts for 12 yards touchdown,5.370,7.000
2,0:32,,,PIT 15,6,10,Younghoe Koo kicks extra point good,0.000,0.000
2,0:32,,,ATL 35,6,10,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,0:32,1,10,PIT 30,6,10,Justin Fields pass complete short left to Calvin Austin for 7 yards (tackle by Troy Andersen),0.940,1.340
2,0:14,2,3,PIT 37,6,10,Justin Fields pass complete short right to Pat Freiermuth for 5 yards (tackle by Kaden Elliss),1.340,1.730
2,0:09,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:09,1,10,PIT 42,6,10,Justin Fields pass complete deep right to George Pickens for 41 yards (tackle by AJ Terrell) Replay Assistant challenged the runner was in bounds ruling and the original play was overturned. Justin Fields pass complete deep right to George Pickens for 33 yards (tackle by Jessie Bates),1.730,3.910
2,0:03,1,10,ATL 25,9,10,Chris Boswell 44 yard field goal good,3.910,3.000
3,15:00,,,ATL 35,9,10,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PIT 30,9,10,Najee Harris left tackle for 5 yards (tackle by Eddie Goldman),0.940,1.070
3,14:25,2,5,PIT 35,9,10,Najee Harris left end for 1 yard (tackle by Jessie Bates and David Onyemata),1.070,0.500
3,13:44,3,4,PIT 36,9,10,Justin Fields sacked by Grady Jarrett for -15 yards,0.500,-1.960
3,13:09,4,19,PIT 21,9,10,Cameron Johnston punts 58 yards returned by Avery Williams for 28 yards (tackle by Tyler Matakevich),-1.960,-2.190
