Quarter,Time,Down,ToGo,Location,TEN,CHI,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred Titans to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 66 yards returned by Jha'Quan Jackson for 23 yards (tackle by Jaylon Jones),0.000,0.410
1,14:53,1,10,TEN 22,0,0,Tony Pollard right tackle for 1 yard (tackle by Gervon Dexter and Andrew Billings),0.410,0.000
1,14:17,2,9,TEN 23,0,0,Will Levis pass incomplete short left intended for Tony Pollard,0.000,-0.690
1,14:11,3,9,TEN 23,0,0,Will Levis pass incomplete short left intended for Tyler Boyd,-0.690,-1.830
1,14:06,4,9,TEN 23,0,0,Ryan Stonehouse punts 50 yards returned by DeAndre Carter for 16 yards (tackle by Jack Gibbens),-1.830,-1.800
1,13:57,1,10,CHI 43,0,0,D'Andre Swift left tackle for 6 yards (tackle by Jack Gibbens),1.800,2.060
1,13:20,2,4,CHI 49,0,0,Caleb Williams pass complete short right to D.J. Moore for 1 yard (tackle by Amani Hooker),2.060,1.490
1,12:48,3,3,CHI 50,0,0,Caleb Williams pass incomplete deep left intended for D.J. Moore,1.490,-0.060
1,12:39,4,3,CHI 50,0,0,Tory Taylor punts 50 yards touchback.,-0.060,-0.280
1,12:29,1,10,TEN 20,0,0,Tony Pollard left guard for 1 yard (tackle by Jaquan Brisker),0.280,-0.130
1,11:50,2,9,TEN 21,0,0,Penalty on Nicholas Petit-Frere: False Start 5 yards (accepted) (no play),-0.130,-0.940
1,11:22,2,14,TEN 16,0,0,Tony Pollard right tackle for 1 yard (tackle by DeMarcus Walker),-0.940,-1.510
1,10:38,3,13,TEN 17,0,0,Will Levis pass complete short middle to Tyjae Spears for 2 yards (tackle by T.J. Edwards),-1.510,-2.140
1,10:00,4,11,TEN 19,0,0,Ryan Stonehouse punts 49 yards returned by DeAndre Carter for 20 yards (tackle by Jaylen Harrell),-2.140,-2.390
1,9:46,1,10,TEN 48,0,0,D'Andre Swift left end for 6 yards (tackle by Harold Landry),2.390,2.660
1,9:05,2,4,TEN 42,0,0,D'Andre Swift left end for 1 yard (tackle by Kenneth Murray),2.660,2.080
1,8:21,3,3,TEN 41,0,0,Caleb Williams pass incomplete deep left intended for Keenan Allen,2.080,0.530
1,8:17,4,3,TEN 41,0,0,Caleb Williams pass complete short left to Keenan Allen for 5 yards (tackle by L'Jarius Sneed),0.530,3.180
1,7:42,1,10,TEN 36,0,0,Caleb Williams pass incomplete deep left. Penalty on L'Jarius Sneed: Defensive Holding 5 yards (accepted) . Penalty on Jack Gibbens: Defensive Too Many Men on Field 5 yards (declined) (no play),3.180,3.910
1,7:33,1,5,TEN 31,0,0,Velus Jones left tackle for 6 yards (tackle by Kenneth Murray),3.910,3.910
