,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Paris Johnson,T,61,100%,0,0%,4,15%,JohnPa03
Evan Brown,C,61,100%,0,0%,4,15%,BrowEv00
Hjalte Froholdt,C,61,100%,0,0%,4,15%,FrohHj00
Will Hernandez,G,61,100%,0,0%,3,11%,HernWi00
Kyler Murray,QB,61,100%,0,0%,0,0%,MurrKy00
Marvin Harrison Jr.,WR,55,90%,0,0%,0,0%,HarrMa09
Trey McBride,TE,52,85%,0,0%,0,0%,McBrTr01
Michael Wilson,WR,49,80%,0,0%,0,0%,WilsMi02
James Conner,RB,41,67%,0,0%,0,0%,ConnJa00
Kelvin Beachum,T,39,64%,0,0%,4,15%,BeacKe00
Greg Dortch,WR,37,61%,0,0%,3,11%,DortGr01
Elijah Higgins,TE,25,41%,0,0%,10,37%,HiggEl00
Jonah Williams,T,22,36%,0,0%,1,4%,WillJo10
Tip Reiman,TE,20,33%,0,0%,11,41%,ReimTi00
Emari Demercado,RB,13,21%,0,0%,8,30%,DemeEm00
Trey Benson,RB,8,13%,0,0%,0,0%,BensTr01
Zach Pascal,WR,4,7%,0,0%,17,63%,PascZa00
Chris Moore,WR,1,2%,0,0%,0,0%,MoorCh00
Budda Baker,SS,0,0%,62,100%,6,22%,BakeBu00
Sean Murphy-Bunting,CB,0,0%,62,100%,6,22%,BuntSe00
Jalen Thompson,FS,0,0%,62,100%,1,4%,ThomJa04
Kyzir White,LB,0,0%,62,100%,0,0%,WhitKy00
Starling Thomas,CB,0,0%,51,82%,0,0%,ThomSt01
Justin Jones,DT,0,0%,43,69%,6,22%,JoneJu03
Zaven Collins,LB,0,0%,43,69%,0,0%,CollZa00
Dennis Gardeck,LB,0,0%,40,64%,8,30%,GardDe01
Mack Wilson,LB,0,0%,39,63%,0,0%,WilsMa03
Garrett Williams,CB,0,0%,38,61%,5,19%,WillGa00
Bilal Nichols,DT,0,0%,27,43%,6,22%,NichBi00
Dante Stills,DT,0,0%,25,40%,6,22%,StilDa01
Roy Lopez,NT,0,0%,23,37%,6,22%,LopeRo00
L.J. Collier,DT,0,0%,22,35%,0,0%,CollLJ00
Xavier Thomas,LB,0,0%,18,29%,6,22%,ThomXa01
Khyiris Tonga,NT,0,0%,16,26%,0,0%,TongKh00
Victor Dimukeje,LB,0,0%,13,21%,17,63%,DimuVi00
Owen Pappoe,LB,0,0%,12,19%,23,85%,PappOw00
Max Melton,CB,0,0%,11,18%,17,63%,MeltMa00
Krys Barnes,LB,0,0%,10,16%,23,85%,BarnKr00
Kei'Trel Clark,CB,0,0%,4,6%,8,30%,ClarKe02
Dadrion Taylor-Demerson,FS,0,0%,0,0%,21,78%,TaylDa02
Joey Blount,FS,0,0%,0,0%,17,63%,BlouJo00
DeeJay Dallas,RB,0,0%,0,0%,16,59%,DallDe00
Matt Prater,K,0,0%,0,0%,10,37%,PratMa20
Blake Gillikin,P,0,0%,0,0%,6,22%,GillBl00
Aaron Brewer,LS,0,0%,0,0%,6,22%,BrewAa00
Isaiah Adams,G,0,0%,0,0%,4,15%,AdamIs01
Trystan Colon-Castillo,C,0,0%,0,0%,4,15%,ColoTr01
