,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Jake Matthews,T,56,100%,0,0%,2,8%,MattJa00
Kaleb McGary,T,56,100%,0,0%,2,8%,McGaKa00
Matthew Bergeron,G,56,100%,0,0%,2,8%,BergMa00
Drake London,WR,56,100%,0,0%,0,0%,LondDr00
Drew Dalman,C,56,100%,0,0%,0,0%,DalmDr00
Kirk Cousins,QB,56,100%,0,0%,0,0%,CousKi00
Kyle Pitts,TE,54,96%,0,0%,0,0%,PittKy00
Chris Lindstrom,G,53,95%,0,0%,2,8%,LindCh00
Darnell Mooney,WR,53,95%,0,0%,0,0%,MoonDa00
Bijan Robinson,RB,50,89%,0,0%,0,0%,RobiBi01
Ray-Ray McCloud,WR,30,54%,0,0%,6,24%,McClRa00
Charlie Woerner,TE,23,41%,0,0%,12,48%,WoerCh00
Tyler Allgeier,RB,10,18%,0,0%,4,16%,AllgTy00
Kyle Hinton,G,3,5%,0,0%,2,8%,HintKy00
KhaDarel Hodge,WR,2,4%,0,0%,17,68%,HodgKh00
Ross Dwelley,TE,2,4%,0,0%,6,24%,DwelRo00
Kaden Elliss,LB,0,0%,68,100%,3,12%,ElliKa00
Jessie Bates III,FS,0,0%,68,100%,0,0%,BateJe00
AJ Terrell,CB,0,0%,68,100%,0,0%,TerrAJ00
Justin Simmons,FS,0,0%,68,100%,0,0%,SimmJu00
Mike Hughes,CB,0,0%,57,84%,6,24%,HughMi00
Grady Jarrett,DT,0,0%,46,68%,0,0%,JarrGr00
Matt Judon,LB,0,0%,46,68%,0,0%,JudoMa00
David Onyemata,DT,0,0%,43,63%,6,24%,OnyeDa00
Lorenzo Carter,LB,0,0%,37,54%,7,28%,CartLo01
Nathan Landman,LB,0,0%,37,54%,7,28%,LandNa01
Troy Andersen,LB,0,0%,31,46%,16,64%,AndeTr00
DeAundre Alford,CB,0,0%,31,46%,3,12%,AlfoDe00
James Smith-Williams,DE,0,0%,31,46%,1,4%,SmitJa08
Eddie Goldman,NT,0,0%,31,46%,0,0%,GoldEd00
Arnold Ebiketie,LB,0,0%,22,32%,0,0%,EbikAr00
Kentavius Street,DT,0,0%,20,29%,6,24%,StreKe00
Zach Harrison,DE,0,0%,16,24%,6,24%,HarrZa00
Ta'Quon Graham,DE,0,0%,15,22%,6,24%,GrahTa00
Clark Phillips,CB,0,0%,11,16%,4,16%,PhilCl00
Kevin King,CB,0,0%,2,3%,7,28%,KingKe01
Micah Abernathy,FS,0,0%,0,0%,23,92%,AberMi00
DeAngelo Malone,LB,0,0%,0,0%,23,92%,MaloDe00
Avery Williams,RB,0,0%,0,0%,23,92%,WillAv02
JD Bertrand,LB,0,0%,0,0%,23,92%,BertJD00
Richie Grant,SS,0,0%,0,0%,23,92%,GranRi00
Bradley Pinion,P,0,0%,0,0%,9,36%,PiniBr00
Chris Blair,WR,0,0%,0,0%,6,24%,BlaiCh00
Liam McCullough,LS,0,0%,0,0%,6,24%,McCuLi00
Storm Norton,T,0,0%,0,0%,2,8%,NortSt00
Ryan Neuzil,C,0,0%,0,0%,2,8%,NeuzRy00
Younghoe Koo,K,0,0%,0,0%,2,8%,KooxYo00
