,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Andrew Vorhees,G,80,100%,0,0%,5,19%,VorhAn00
Daniel Faalele,T,80,100%,0,0%,5,19%,FaalDa00
Tyler Linderbaum,C,80,100%,0,0%,0,0%,LindTy00
Lamar Jackson,QB,80,100%,0,0%,0,0%,JackLa00
Ronnie Stanley,T,80,100%,0,0%,0,0%,StanRo00
Zay Flowers,WR,71,89%,0,0%,0,0%,FlowZa00
Rashod Bateman,WR,67,84%,0,0%,0,0%,BateRa00
Patrick Mekari,G,60,75%,0,0%,5,19%,MekaPa00
Mark Andrews,TE,59,74%,0,0%,0,0%,AndrMa00
Isaiah Likely,TE,53,66%,0,0%,0,0%,LikeIs00
Justice Hill,RB,43,54%,0,0%,0,0%,HillJu00
Derrick Henry,RB,37,46%,0,0%,0,0%,HenrDe00
Nelson Agholor,WR,30,38%,0,0%,0,0%,AghoNe00
Roger Rosengarten,T,20,25%,0,0%,5,19%,RoseRo01
Patrick Ricard,FB,19,24%,0,0%,0,0%,RicaPa00
Tylan Wallace,WR,9,11%,0,0%,14,54%,WallTy00
Charlie Kolar,TE,8,10%,0,0%,20,77%,KolaCh00
Deonte Harty,WR,4,5%,0,0%,9,35%,HarrDe07
Brandon Stephens,FS,0,0%,54,100%,1,4%,StepBr01
Roquan Smith,LB,0,0%,54,100%,0,0%,SmitRo07
Marcus Williams,FS,0,0%,54,100%,0,0%,WillMa06
Marlon Humphrey,CB,0,0%,54,100%,0,0%,HumpMa00
Kyle Hamilton,SS,0,0%,51,94%,1,4%,HamiKy00
Odafe Oweh,LB,0,0%,46,85%,0,0%,OwehJa00
Nnamdi Madubuike,DT,0,0%,40,74%,0,0%,MaduJu00
Trenton Simpson,LB,0,0%,38,70%,13,50%,SimpTr00
Travis Jones,DT,0,0%,33,61%,11,42%,JoneTr00
David Ojabo,LB,0,0%,25,46%,5,19%,OjabDa00
Eddie Jackson,FS,0,0%,22,41%,0,0%,JackEd01
Michael Pierce,NT,0,0%,20,37%,1,4%,PierMi00
Kyle Van Noy,LB,0,0%,20,37%,0,0%,VanNKy00
Broderick Washington Jr.,DE,0,0%,18,33%,6,23%,WashBr01
Nate Wiggins,CB,0,0%,17,31%,11,42%,WiggNa00
Malik Harrison,LB,0,0%,15,28%,21,81%,HarrMa06
Tavius Robinson,LB,0,0%,14,26%,18,69%,RobiTa00
Jalyn Armour-Davis,CB,0,0%,14,26%,14,54%,ArmoJa00
Ar'Darius Washington,FS,0,0%,5,9%,8,31%,WashAr00
Ka'dar Hollman,CB,0,0%,0,0%,21,81%,HollKa00
Chris Board,LB,0,0%,0,0%,21,81%,BoarCh00
Sanoussi Kane,SS,0,0%,0,0%,20,77%,KaneSa00
Josh Ross,LB,0,0%,0,0%,15,58%,RossJo01
Justin Tucker,K,0,0%,0,0%,10,39%,TuckJu00
Jordan Stout,P,0,0%,0,0%,7,27%,StouJo00
Nick Moore,LS,0,0%,0,0%,7,27%,MoorNi00
John Kelly,RB,0,0%,0,0%,6,23%,KellJo00
Ben Cleveland,G,0,0%,0,0%,5,19%,ClevBe00
