,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Spencer Brown,T,62,100%,0,0%,6,22%,BrowSp00
O'Cyrus Torrence,G,62,100%,0,0%,6,22%,TorrOC00
Dion Dawkins,T,62,100%,0,0%,6,22%,DawkDi00
David Edwards,G,62,100%,0,0%,6,22%,EdwaDa01
Josh Allen,QB,62,100%,0,0%,0,0%,AlleJo02
Connor McGovern,C,62,100%,0,0%,0,0%,McGoCo01
Dalton Kincaid,TE,52,84%,0,0%,0,0%,KincDa00
Keon Coleman,WR,45,73%,0,0%,0,0%,ColeKe02
James Cook,RB,38,61%,0,0%,0,0%,CookJa01
Mack Hollins,WR,36,58%,0,0%,10,37%,HollMa00
Dawson Knox,TE,36,58%,0,0%,0,0%,KnoxDa00
Khalil Shakir,WR,33,53%,0,0%,0,0%,ShakKh00
Curtis Samuel,WR,17,27%,0,0%,0,0%,SamuCu00
Ty Johnson,RB,14,23%,0,0%,8,29%,JohnTy02
Marquez Valdes-Scantling,WR,13,21%,0,0%,0,0%,ValdMa00
Alec Anderson,G,10,16%,0,0%,12,44%,AndeAl01
Quintin Morris,TE,6,10%,0,0%,23,85%,MorrQu00
Ray Davis,RB,6,10%,0,0%,5,18%,DaviRa04
Reggie Gilliam,FB,4,6%,0,0%,23,85%,GillRe00
Taylor Rapp,SS,0,0%,61,100%,4,15%,RappTa00
Damar Hamlin,SS,0,0%,61,100%,4,15%,HamlDa00
Terrel Bernard,LB,0,0%,61,100%,4,15%,BernTe00
Rasul Douglas,CB,0,0%,61,100%,0,0%,DougRa00
Christian Benford,CB,0,0%,61,100%,0,0%,BenfCh00
Cameron Lewis,FS,0,0%,55,90%,10,37%,LewiCa00
Dorian Williams,LB,0,0%,52,85%,4,15%,WillDo04
Ed Oliver,DT,0,0%,50,82%,0,0%,OlivEd00
Gregory Rousseau,DE,0,0%,48,79%,4,15%,RousGr00
DaQuan Jones,DT,0,0%,45,74%,0,0%,JoneDa04
A.J. Epenesa,DE,0,0%,38,62%,4,15%,EpenAJ00
Von Miller,DE,0,0%,29,48%,0,0%,MillVo00
Austin Johnson,DT,0,0%,13,21%,4,15%,JohnAu01
Ja'Marcus Ingram,CB,0,0%,11,18%,21,77%,IngrJa00
Casey Toohill,DE,0,0%,11,18%,13,48%,ToohCa00
DeWayne Carter,DT,0,0%,7,11%,4,15%,CartDe03
Taron Johnson,CB,0,0%,7,11%,0,0%,JohnTa01
Baylon Spector,LB,0,0%,0,0%,21,77%,SpecBa00
Nicholas Morrow,LB,0,0%,0,0%,17,63%,MorrNi00
Kameron Cline,DE,0,0%,0,0%,17,63%,ClinKa00
Tyler Bass,K,0,0%,0,0%,13,48%,BassTy00
Sam Martin,P,0,0%,0,0%,10,37%,MartSa01
Kaiir Elam,CB,0,0%,0,0%,9,33%,ElamKa00
Mike Edwards,FS,0,0%,0,0%,9,33%,EdwaMi01
Brandon Codrington,CB,0,0%,0,0%,8,29%,CodrBr00
Reid Ferguson,LS,0,0%,0,0%,8,29%,FergRe00
Tylan Grable,T,0,0%,0,0%,6,22%,GrabTy00
