,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Taylor Moton,T,59,100%,0,0%,2,7%,MotoTa00
Damien Lewis,G,59,100%,0,0%,2,7%,LewiDa05
Ikem Ekwonu,T,59,100%,0,0%,2,7%,EkwoIk00
Robert Hunt,G,59,100%,0,0%,2,7%,HuntRo01
Austin Corbett,C,59,100%,0,0%,0,0%,CorbAu00
Bryce Young,QB,54,92%,0,0%,0,0%,YounBr01
Ja'Tavion Sanders,TE,43,73%,0,0%,12,40%,SandJa01
Adam Thielen,WR,41,69%,0,0%,0,0%,ThieAd00
Diontae Johnson,WR,39,66%,0,0%,0,0%,JohnDi01
Xavier Legette,WR,35,59%,0,0%,10,33%,LegeXa00
Jonathan Mingo,WR,33,56%,0,0%,10,33%,MingJo00
Chuba Hubbard,RB,32,54%,0,0%,0,0%,HubbCh01
Miles Sanders,RB,22,37%,0,0%,0,0%,SandMi01
Jordan Matthews,TE,20,34%,0,0%,5,17%,MattJo00
David Moore,WR,19,32%,0,0%,3,10%,MoorDa03
Mike Boone,RB,5,8%,0,0%,19,64%,BoonMi00
Andy Dalton,QB,5,8%,0,0%,0,0%,DaltAn00
Feleipe Franks,TE,4,7%,0,0%,17,57%,FranFe00
Brady Christensen,G,2,3%,0,0%,2,7%,ChriBr00
Jaycee Horn,CB,0,0%,66,100%,9,30%,HornJa00
Michael Jackson,CB,0,0%,66,100%,9,30%,JackMi01
Shaq Thompson,LB,0,0%,66,100%,9,30%,ThomSh01
Xavier Woods,FS,0,0%,66,100%,0,0%,WoodXa00
Josey Jewell,LB,0,0%,62,94%,0,0%,JeweJo00
Derrick Brown,DE,0,0%,60,91%,8,27%,BrowDe05
Jordan Fuller,FS,0,0%,60,91%,0,0%,FullJo01
A'Shawn Robinson,DE,0,0%,51,77%,3,10%,RobiAS00
Jadeveon Clowney,LB,0,0%,41,62%,0,0%,ClowJa00
Shy Tuttle,DT,0,0%,38,58%,7,23%,TuttSh00
DJ Johnson,LB,0,0%,34,52%,8,27%,JohnDJ00
Troy Hill,CB,0,0%,33,50%,0,0%,HillTr01
Eku Leota,LB,0,0%,30,45%,13,43%,LeotEk00
Jamie Sheriff,LB,0,0%,17,26%,11,37%,SherJa01
Nick Thurman,DT,0,0%,16,24%,0,0%,ThurNi00
Jayden Peevy,DT,0,0%,12,18%,9,30%,PeevJa00
Nick Scott,SS,0,0%,8,12%,28,94%,ScotNi01
Lonnie Johnson Jr.,FS,0,0%,0,0%,27,90%,JohnLo01
Jon Rhattigan,LB,0,0%,0,0%,19,64%,RhatJo00
Trevin Wallace,LB,0,0%,0,0%,19,64%,WallTr00
Claudin Cherelus,LB,0,0%,0,0%,19,64%,CherCl00
Raheem Blackshear,RB,0,0%,0,0%,12,40%,BlacRa00
Chau Smith-Wade,CB,0,0%,0,0%,7,23%,SmitCh05
J.J. Jansen,LS,0,0%,0,0%,7,23%,JansJ.00
Johnny Hekker,P,0,0%,0,0%,7,23%,HekkJo00
Eddy Pineiro,K,0,0%,0,0%,4,13%,PineEd00
Tariq Castro-Fields,CB,0,0%,0,0%,4,13%,CastTa00
Yosh Nijman,T,0,0%,0,0%,2,7%,NijmYo01
Chandler Zavala,G,0,0%,0,0%,2,7%,ZavaCh00
