,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Cordell Volson,G,51,100%,0,0%,2,10%,VolsCo02
Ted Karras,C,51,100%,0,0%,2,10%,KarrTe00
Orlando Brown Jr.,T,51,100%,0,0%,2,10%,BrowOr00
Trent Brown,T,51,100%,0,0%,2,10%,BrowTr02
Andrei Iosivas,WR,51,100%,0,0%,0,0%,IosiAn00
Joe Burrow,QB,51,100%,0,0%,0,0%,BurrJo01
Alex Cappa,G,51,100%,0,0%,0,0%,CappAl00
Ja'Marr Chase,WR,43,84%,0,0%,0,0%,ChasJa00
Zack Moss,RB,33,65%,0,0%,0,0%,MossZa00
Trenton Irwin,WR,33,65%,0,0%,0,0%,IrwiTr00
Drew Sample,TE,27,53%,0,0%,9,43%,SampDr00
Mike Gesicki,TE,18,35%,0,0%,0,0%,GesiMi00
Chase Brown,RB,17,33%,0,0%,9,43%,BrowCh10
Erick All,TE,12,24%,0,0%,4,19%,AllxEr00
Tanner Hudson,TE,9,18%,0,0%,12,57%,HudsTa00
Charlie Jones,WR,8,16%,0,0%,5,24%,JoneCh11
Jermaine Burton,WR,4,8%,0,0%,0,0%,BurtJe01
Geno Stone,SS,0,0%,65,100%,4,19%,StonGe00
Logan Wilson,LB,0,0%,65,100%,4,19%,WilsLo00
Daxton Hill,CB,0,0%,65,100%,4,19%,HillDa04
Vonn Bell,SS,0,0%,65,100%,4,19%,BellVo00
Cam Taylor-Britt,CB,0,0%,65,100%,0,0%,TaylCa01
Germaine Pratt,LB,0,0%,63,97%,0,0%,PratGe00
B.J. Hill,DT,0,0%,52,80%,4,19%,HillB.00
Sam Hubbard,DE,0,0%,50,77%,0,0%,HubbSa00
Trey Hendrickson,DE,0,0%,49,75%,0,0%,HendTr00
Mike Hilton,CB,0,0%,44,68%,0,0%,HiltMi01
Sheldon Rankins,DT,0,0%,41,63%,4,19%,RankSh00
Jay Tufele,DT,0,0%,30,46%,0,0%,TufeJa00
Zachary Carter,DT,0,0%,27,42%,4,19%,CartZa00
Akeem Davis-Gaither,LB,0,0%,14,22%,19,90%,DaviAk01
Joseph Ossai,DE,0,0%,13,20%,4,19%,OssaJo00
DJ Turner,CB,0,0%,3,5%,12,57%,TurnDJ01
Daijahn Anthony,FS,0,0%,2,3%,15,71%,AnthDa00
K.J. Henry,DE,0,0%,2,3%,0,0%,HenrKJ00
Maema Njongmeta,LB,0,0%,0,0%,19,90%,NjonMa00
Joe Bachie,LB,0,0%,0,0%,15,71%,BachJo01
Jordan Battle,SS,0,0%,0,0%,15,71%,BattJo00
Tycen Anderson,SS,0,0%,0,0%,15,71%,AndeTy00
Trayveon Williams,RB,0,0%,0,0%,15,71%,WillTr06
Josh Newton,CB,0,0%,0,0%,8,38%,NewtJo00
Ryan Rehkow,P,0,0%,0,0%,5,24%,RehkRy00
Evan McPherson,K,0,0%,0,0%,5,24%,McPhEv00
Cal Adomitis,LS,0,0%,0,0%,5,24%,AdomCa00
Matt Lee,C,0,0%,0,0%,2,10%,LeexMa02
Cody Ford,G,0,0%,0,0%,2,10%,FordCo00
