,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Joel Bitonio,G,76,100%,0,0%,4,11%,BitoJo00
Wyatt Teller,G,76,100%,0,0%,4,11%,TellWy00
Ethan Pocic,C,76,100%,0,0%,4,11%,PociEt00
James Hudson,T,76,100%,0,0%,4,11%,HudsJa00
Deshaun Watson,QB,76,100%,0,0%,0,0%,WatsDe00
Dawand Jones,T,74,97%,0,0%,4,11%,JoneDa07
Amari Cooper,WR,72,95%,0,0%,0,0%,CoopAm00
Elijah Moore,WR,71,93%,0,0%,0,0%,MoorEl00
Jerry Jeudy,WR,62,82%,0,0%,0,0%,JeudJe00
Jerome Ford,RB,57,75%,0,0%,0,0%,FordJe00
Jordan Akins,TE,43,57%,0,0%,19,53%,AkinJo00
David Njoku,TE,28,37%,0,0%,0,0%,NjokDa00
Cedric Tillman,WR,26,34%,0,0%,6,17%,TillCe01
Pierre Strong,RB,18,24%,0,0%,23,64%,StroPi00
Germain Ifedi,G,2,3%,0,0%,4,11%,IfedGe00
Zak Zinter,G,2,3%,0,0%,4,11%,ZintZa00
D'Onta Foreman,RB,1,1%,0,0%,1,3%,ForeDO00
Jeremiah Owusu-Koramoah,LB,0,0%,63,100%,10,28%,OwusJe00
Grant Delpit,SS,0,0%,60,95%,13,36%,DelpGr00
Juan Thornhill,FS,0,0%,60,95%,2,6%,ThorJu00
Martin Emerson,CB,0,0%,57,90%,0,0%,EmerMa00
Denzel Ward,CB,0,0%,52,83%,6,17%,WardDe02
Myles Garrett,DE,0,0%,48,76%,7,20%,GarrMy00
Jordan Hicks,LB,0,0%,45,71%,6,17%,HickJo00
Za'Darius Smith,DE,0,0%,44,70%,0,0%,SmitZa00
Greg Newsome II,CB,0,0%,43,68%,0,0%,NewsGr00
Shelby Harris,DT,0,0%,37,59%,7,20%,HarrSh00
Quinton Jefferson,DE,0,0%,36,57%,0,0%,JeffQu00
Maurice Hurst Jr.,DT,0,0%,25,40%,7,20%,HursMa00
Dalvin Tomlinson,DT,0,0%,24,38%,7,20%,TomlDa00
Alex Wright,DE,0,0%,19,30%,4,11%,WrigAl01
Ogbonnia Okoronkwo,DE,0,0%,18,29%,11,31%,OkorOg00
Tony Fields,LB,0,0%,14,22%,24,67%,FielTo00
Rodney McLeod,FS,0,0%,14,22%,11,31%,McLeRo00
Ronnie Hickman,SS,0,0%,11,17%,14,39%,HickRo00
Cameron Mitchell,CB,0,0%,10,16%,20,56%,MitcCa01
Devin Bush Jr.,LB,0,0%,6,10%,22,61%,BushDe01
Mohamoud Diabate,LB,0,0%,6,10%,21,59%,DiabMo00
Mike Ford,CB,0,0%,1,2%,26,73%,FordMi01
D'Anthony Bell,SS,0,0%,0,0%,31,87%,BellDA03
Nathaniel Watson,LB,0,0%,0,0%,24,67%,WatsNa00
Jaelon Darden,WR,0,0%,0,0%,14,39%,DardJa00
Charley Hughlett,LS,0,0%,0,0%,11,31%,HughCh01
Corey Bojorquez,P,0,0%,0,0%,11,31%,BojoCo00
Dustin Hopkins,K,0,0%,0,0%,8,22%,HopkDu00
