,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Ben Powers,G,69,100%,0,0%,4,12%,PoweBe00
Quinn Meinerz,G,69,100%,0,0%,4,12%,MeinQu02
Mike McGlinchey,T,69,100%,0,0%,4,12%,McGlMi00
Luke Wattenberg,C,69,100%,0,0%,0,0%,WattLu00
Bo Nix,QB,69,100%,0,0%,0,0%,NixxBo00
Courtland Sutton,WR,63,91%,0,0%,0,0%,SuttCo00
Josh Reynolds,WR,55,80%,0,0%,0,0%,ReynJo00
Garett Bolles,T,54,78%,0,0%,4,12%,BollGa00
Greg Dulcich,TE,46,67%,0,0%,0,0%,DulcGr00
Javonte Williams,RB,36,52%,0,0%,0,0%,WillJa10
Devaughn Vele,WR,34,49%,0,0%,0,0%,VeleDe00
Adam Trautman,TE,24,35%,0,0%,8,24%,TrauAd00
Jaleel McLaughlin,RB,24,35%,0,0%,0,0%,McLaJa00
Lil'Jordan Humphrey,WR,21,30%,0,0%,0,0%,HumpLi01
Matt Peart,T,18,26%,0,0%,4,12%,PearMa00
Nate Adkins,TE,14,20%,0,0%,25,74%,AdkiNa00
Marvin Mims,WR,12,17%,0,0%,14,41%,MimsMa00
Michael Burton,FB,10,14%,0,0%,26,76%,BurtMi00
Audric Estime,RB,3,4%,0,0%,9,26%,EstiAu00
Riley Moss,CB,0,0%,67,100%,9,26%,MossRi00
Alex Singleton,LB,0,0%,67,100%,4,12%,SingAl00
Patrick Surtain II,CB,0,0%,67,100%,1,3%,SurtPa01
P.J. Locke,FS,0,0%,65,97%,8,24%,LockPJ00
Zach Allen,DE,0,0%,65,97%,4,12%,AlleZa01
Ja'Quan McMillian,CB,0,0%,48,72%,5,15%,McMiJa00
Jonathon Cooper,LB,0,0%,47,70%,9,26%,CoopJo02
Baron Browning,LB,0,0%,46,69%,0,0%,BrowBa01
Brandon Jones,FS,0,0%,46,69%,0,0%,JoneBr06
D.J. Jones,NT,0,0%,37,55%,4,12%,JoneD.01
John Franklin-Myers,DE,0,0%,34,51%,3,9%,FranJo02
Malcolm Roach,DT,0,0%,30,45%,4,12%,RoacMa01
Cody Barton,LB,0,0%,24,36%,7,21%,BartCo00
Nik Bonitto,LB,0,0%,23,34%,0,0%,BoniNi00
Jonah Elliss,LB,0,0%,21,31%,29,85%,ElliJo03
Kristian Welch,LB,0,0%,19,28%,18,53%,WelcKr00
Jordan Jackson,DE,0,0%,15,22%,5,15%,JackJo06
Devon Key,SS,0,0%,14,21%,18,53%,KeyxDe00
Levi Wallace,CB,0,0%,2,3%,0,0%,WallLe00
JL Skinner,SS,0,0%,0,0%,30,88%,SkinJL00
Tremon Smith,CB,0,0%,0,0%,30,88%,SmitTr04
Justin Strnad,LB,0,0%,0,0%,30,88%,StrnJu00
Mitchell Fraboni,LS,0,0%,0,0%,12,35%,FrabMi00
Keidron Smith,FS,0,0%,0,0%,12,35%,SmitKe05
Riley Dixon,P,0,0%,0,0%,12,35%,DixoRi00
Wil Lutz,K,0,0%,0,0%,9,26%,LutzWi00
Alex Forsyth,C,0,0%,0,0%,5,15%,ForsAl00
Alex Palczewski,T,0,0%,0,0%,4,12%,PalcAl00
