,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Kevin Zeitler,G,61,100%,0,0%,4,15%,ZeitKe00
Penei Sewell,T,61,100%,0,0%,4,15%,SewePe00
Graham Glasgow,G,61,100%,0,0%,4,15%,GlasGr00
Frank Ragnow,C,61,100%,0,0%,0,0%,RagnFr00
Taylor Decker,T,61,100%,0,0%,0,0%,DeckTa00
Jared Goff,QB,61,100%,0,0%,0,0%,GoffJa00
Amon-Ra St. Brown,WR,60,98%,0,0%,0,0%,StxxAm00
Jameson Williams,WR,52,85%,0,0%,0,0%,WillJa11
Sam LaPorta,TE,48,79%,0,0%,0,0%,LaPoSa01
Kalif Raymond,WR,37,61%,0,0%,9,35%,RaymKa00
Jahmyr Gibbs,RB,31,51%,0,0%,0,0%,GibbJa01
Brock Wright,TE,30,49%,0,0%,4,15%,WrigBr01
David Montgomery,RB,30,49%,0,0%,0,0%,MontDa01
Parker Hesse,TE,9,15%,0,0%,14,54%,HessPa00
Tom Kennedy,WR,4,7%,0,0%,6,23%,KennTo01
Sione Vaki,RB,2,3%,0,0%,18,69%,VakiSi00
Dan Skipper,T,2,3%,0,0%,4,15%,SkipDa00
Brian Branch,SS,0,0%,78,100%,9,35%,BranBr00
Alex Anzalone,LB,0,0%,78,100%,0,0%,AnzaAl00
Carlton Davis,CB,0,0%,77,99%,0,0%,DaviCa02
Terrion Arnold,CB,0,0%,76,97%,0,0%,ArnoTe00
Kerby Joseph,FS,0,0%,75,96%,9,35%,JoseKe03
Aidan Hutchinson,DE,0,0%,70,90%,0,0%,HutcAi00
Alim McNeill,DT,0,0%,68,87%,4,15%,McNeAl00
Derrick Barnes,LB,0,0%,64,82%,12,46%,BarnDe02
Levi Onwuzurike,DE,0,0%,50,64%,4,15%,OnwuLe00
Marcus Davenport,LB,0,0%,49,63%,4,15%,DaveMa00
Jack Campbell,LB,0,0%,44,56%,9,35%,CampJa04
Kyle Peko,DT,0,0%,37,47%,0,0%,PekoKy00
Amik Robertson,CB,0,0%,36,46%,0,0%,RobeAm00
Josh Paschal,DE,0,0%,22,28%,0,0%,PascJo00
Malcolm Rodriguez,LB,0,0%,14,18%,22,85%,RodrMa00
Chris Smith,DT,0,0%,8,10%,0,0%,SmitCh06
Mekhi Wingo,DT,0,0%,6,8%,4,15%,WingMe00
Jalen Reeves-Maybin,LB,0,0%,3,4%,22,85%,ReevJa00
Ennis Rakestraw,CB,0,0%,3,4%,11,42%,RakeEn00
Craig Reynolds,RB,0,0%,0,0%,18,69%,ReynCr00
Ben Niemann,LB,0,0%,0,0%,18,69%,NiemBe00
Khalil Dorsey,CB,0,0%,0,0%,16,62%,DorsKh00
Kindle Vildor,CB,0,0%,0,0%,15,58%,VildKi00
Jake Bates,K,0,0%,0,0%,9,35%,BateJa00
Brandon Joseph,SS,0,0%,0,0%,9,35%,JoseBr00
Hogan Hatten,LS,0,0%,0,0%,8,31%,HattHo00
Jack Fox,P,0,0%,0,0%,8,31%,FoxxJa01
Michael Niese,T,0,0%,0,0%,4,15%,NiesMi00
Kayode Awosika,T,0,0%,0,0%,4,15%,AwosKa00
