,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Zach Tom,T,67,100%,0,0%,7,23%,TomxZa00
Elgton Jenkins,G,67,100%,0,0%,7,23%,JenkEl00
Rasheed Walker,T,67,100%,0,0%,7,23%,WalkRa00
Josh Myers,C,65,97%,0,0%,0,0%,MyerJo00
Jordan Love,QB,65,97%,0,0%,0,0%,LoveJo03
Tucker Kraft,TE,64,96%,0,0%,16,52%,KrafTu00
Romeo Doubs,WR,58,87%,0,0%,0,0%,DoubRo00
Josh Jacobs,RB,49,73%,0,0%,0,0%,JacoJo01
Jayden Reed,WR,48,72%,0,0%,2,6%,ReedJa03
Sean Rhyan,G,42,63%,0,0%,7,23%,RhyaSe00
Christian Watson,WR,42,63%,0,0%,0,0%,WatsCh00
Dontayvion Wicks,WR,31,46%,0,0%,0,0%,WickDo00
Jordan Morgan,T,28,42%,0,0%,7,23%,MorgJo03
Luke Musgrave,TE,17,25%,0,0%,0,0%,MusgLu00
Emanuel Wilson,RB,16,24%,0,0%,0,0%,WilsEm00
Bo Melton,WR,8,12%,0,0%,9,29%,MeltBo00
Malik Willis,QB,2,3%,0,0%,0,0%,WillMa12
Ben Sims,TE,1,1%,0,0%,8,26%,SimsBe00
Javon Bullard,SS,0,0%,76,100%,15,48%,BullJa00
Xavier McKinney,FS,0,0%,76,100%,13,42%,McKiXa00
Quay Walker,LB,0,0%,76,100%,6,19%,WalkQu00
Jaire Alexander,CB,0,0%,76,100%,6,19%,AlexJa00
Isaiah McDuffie,LB,0,0%,74,97%,9,29%,McDuIs00
Eric Stokes,CB,0,0%,67,88%,0,0%,StokEr00
Kenny Clark,DT,0,0%,56,74%,0,0%,ClarKe01
Preston Smith,DE,0,0%,54,71%,0,0%,SmitPr00
Keisean Nixon,CB,0,0%,52,68%,12,39%,NixoKe00
Rashan Gary,DE,0,0%,49,64%,0,0%,GaryRa00
Tedarrell Slaton,DT,0,0%,40,53%,12,39%,SlatTe00
Devonte Wyatt,DT,0,0%,36,47%,0,0%,WyatDe00
Kingsley Enagbare,DE,0,0%,30,39%,17,55%,EnagKi00
Karl Brooks,DT,0,0%,20,26%,8,26%,BrooKa00
Lukas Van Ness,DE,0,0%,19,25%,11,35%,VanNLu00
Eric Wilson,LB,0,0%,15,20%,24,77%,WilsEr00
Edgerrin Cooper,LB,0,0%,11,14%,7,23%,CoopEd00
Carrington Valentine,CB,0,0%,9,12%,16,52%,ValeCa00
Corey Ballentine,CB,0,0%,0,0%,18,58%,BallCo00
Zayne Anderson,FS,0,0%,0,0%,18,58%,AndeZa02
Evan Williams,SS,0,0%,0,0%,16,52%,WillEv00
Brayden Narveson,K,0,0%,0,0%,14,45%,NarvBr00
Ty'Ron Hopper,LB,0,0%,0,0%,14,45%,HoppTy00
Matthew Orzech,LS,0,0%,0,0%,10,32%,OrzeMa00
Daniel Whelan,P,0,0%,0,0%,10,32%,WhelDa00
Jacob Monk,C,0,0%,0,0%,7,23%,MonkJa00
Kitan Oladapo,FS,0,0%,0,0%,6,19%,OladKi00
Colby Wooden,DT,0,0%,0,0%,2,6%,WoodCo01
