,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Will Fries,G,45,100%,0,0%,3,12%,FrieWi00
Ryan Kelly,C,45,100%,0,0%,0,0%,KellRy00
Quenton Nelson,G,45,100%,0,0%,0,0%,NelsQu00
Braden Smith,T,45,100%,0,0%,0,0%,SmitBr06
Anthony Richardson,QB,45,100%,0,0%,0,0%,RichAn03
Bernhard Raimann,T,45,100%,0,0%,0,0%,RaimBe00
Jonathan Taylor,RB,43,96%,0,0%,0,0%,TaylJo02
Michael Pittman Jr.,WR,40,89%,0,0%,0,0%,PittMi01
Alec Pierce,WR,38,84%,0,0%,0,0%,PierAl00
Adonai Mitchell,WR,29,64%,0,0%,0,0%,MitcAd00
Kylen Granson,TE,25,56%,0,0%,12,48%,GranKy00
Mo Alie-Cox,TE,18,40%,0,0%,3,12%,AlieMo00
Andrew Ogletree,TE,12,27%,0,0%,13,52%,OgleAn00
Ashton Dulin,WR,11,24%,0,0%,17,68%,DuliAs00
Anthony Gould,WR,7,16%,0,0%,9,36%,GoulAn00
Trey Sermon,RB,2,4%,0,0%,0,0%,SermTr00
Nick Cross,SS,0,0%,79,100%,10,40%,CrosNi00
Julian Blackmon,FS,0,0%,79,100%,6,24%,BlacJu01
Kenny Moore,CB,0,0%,79,100%,5,20%,MoorKe03
Zaire Franklin,LB,0,0%,79,100%,5,20%,FranZa00
Jaylon Jones,CB,0,0%,79,100%,4,16%,JoneJa13
E.J. Speed,LB,0,0%,77,97%,8,32%,SpeeEJ00
Julius Brents,CB,0,0%,62,78%,4,16%,BrenJu00
DeForest Buckner,DT,0,0%,54,68%,0,0%,BuckDe00
Tyquan Lewis,DE,0,0%,52,66%,0,0%,LewiTy00
Kwity Paye,DE,0,0%,52,66%,0,0%,PayeKw00
Grover Stewart,DT,0,0%,47,59%,8,32%,StewGr00
Laiatu Latu,DE,0,0%,31,39%,5,20%,LatuLa00
Dayo Odeyingbo,DE,0,0%,29,37%,5,20%,OdeyDa00
Raekwon Davis,NT,0,0%,18,23%,0,0%,DaviRa03
Taven Bryan,DT,0,0%,17,22%,8,32%,BryaTa00
Adetomiwa Adebawore,DT,0,0%,15,19%,14,56%,AdebAd00
Jaylon Carlies,LB,0,0%,15,19%,12,48%,CarlJa01
Isaiah Land,DE,0,0%,4,5%,7,28%,LandIs00
Rodney Thomas II,FS,0,0%,1,1%,8,32%,ThomRo07
Segun Olubi,LB,0,0%,0,0%,22,88%,OlubSe00
Chris Lammons,CB,0,0%,0,0%,22,88%,LammCh00
Trevor Denbow,FS,0,0%,0,0%,17,68%,DenbTr00
Grant Stuard,LB,0,0%,0,0%,17,68%,StuaGr00
Spencer Shrader,K,0,0%,0,0%,8,32%,ShraSp00
Luke Rhodes,LS,0,0%,0,0%,6,24%,RhodLu00
Rigoberto Sanchez,P,0,0%,0,0%,6,24%,SancRi00
Danny Pinter,C,0,0%,0,0%,3,12%,PintDa00
Matt Goncalves,T,0,0%,0,0%,3,12%,GoncMa00
Dalton Tucker,G,0,0%,0,0%,3,12%,TuckDa00
Samuel Womack,CB,0,0%,0,0%,2,8%,WomaSa00
