,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Anton Harrison,T,53,100%,0,0%,3,12%,HarrAn00
Ezra Cleveland,G,53,100%,0,0%,3,12%,ClevEz00
Cam Robinson,T,53,100%,0,0%,3,12%,RobiCa00
Brandon Scherff,G,53,100%,0,0%,0,0%,ScheBr00
Trevor Lawrence,QB,53,100%,0,0%,0,0%,LawrTr00
Mitch Morse,C,53,100%,0,0%,0,0%,MorsMi00
Gabriel Davis,WR,50,94%,0,0%,0,0%,DaviGa01
Brian Thomas,WR,41,77%,0,0%,0,0%,ThomBr06
Christian Kirk,WR,38,72%,0,0%,0,0%,KirkCh01
Travis Etienne,RB,37,70%,0,0%,0,0%,EtieTr00
Evan Engram,TE,36,68%,0,0%,0,0%,EngrEv00
Brenton Strange,TE,19,36%,0,0%,16,64%,StraBr00
Tank Bigsby,RB,17,32%,0,0%,6,24%,BigsTa00
Luke Farrell,TE,14,26%,0,0%,10,40%,FarrLu00
Parker Washington,WR,7,13%,0,0%,4,16%,WashPa01
Devin Duvernay,WR,5,9%,0,0%,8,32%,DuveDe00
Tim Jones,WR,1,2%,0,0%,16,64%,JoneTi00
Antonio Johnson,FS,0,0%,71,100%,14,56%,JohnAn07
Ronald Darby,CB,0,0%,70,99%,6,24%,DarbRo00
Andre Cisco,SS,0,0%,64,90%,10,40%,CiscAn00
Foyesade Oluokun,LB,0,0%,60,85%,5,20%,OluoFo00
Josh Hines-Allen,DE,0,0%,58,82%,6,24%,AlleJo03
Devin Lloyd,LB,0,0%,53,75%,9,36%,LloyDe00
Tyson Campbell,CB,0,0%,53,75%,4,16%,CampTy01
Travon Walker,DE,0,0%,52,73%,5,20%,WalkTr03
Darnell Savage Jr.,SS,0,0%,49,69%,4,16%,SavaDa00
Roy Robertson-Harris,DT,0,0%,42,59%,5,20%,RobeRo00
DaVon Hamilton,DT,0,0%,36,51%,5,20%,HamiDa02
Arik Armstead,DE,0,0%,31,44%,1,4%,ArmsAr01
Maason Smith,DT,0,0%,29,41%,5,20%,SmitMa07
Tyler Lacy,DT,0,0%,24,34%,3,12%,LacyTy00
Montaric Brown,CB,0,0%,19,27%,5,20%,BrowMo00
Jarrian Jones,CB,0,0%,17,24%,18,72%,JoneJa14
Yasir Abdullah,LB,0,0%,16,23%,16,64%,AbduYa00
Myles Cole,DE,0,0%,11,15%,1,4%,ColeMy00
Chad Muma,LB,0,0%,10,14%,16,64%,MumaCh00
Ventrell Miller,LB,0,0%,10,14%,14,56%,MillVe00
Terrell Edmunds,FS,0,0%,6,8%,0,0%,EdmuTe00
Caleb Johnson,LB,0,0%,0,0%,16,64%,JohnCa04
Logan Cooke,P,0,0%,0,0%,9,36%,CookLo00
Ross Matiscik,LS,0,0%,0,0%,9,36%,MatiRo00
Cam Little,K,0,0%,0,0%,6,24%,LittCa00
D'Ernest Johnson,RB,0,0%,0,0%,4,16%,JohnDE04
Walker Little,T,0,0%,0,0%,3,12%,LittWa00
Luke Fortner,C,0,0%,0,0%,3,12%,FortLu01
Cooper Hodges,G,0,0%,0,0%,3,12%,HodgCo00
