,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Cody Whitehair,G,60,100%,0,0%,3,11%,WhitCo03
Dylan Parham,G,60,100%,0,0%,3,11%,ParhDy00
Thayer Munford,T,60,100%,0,0%,3,11%,MunfTh00
Kolton Miller,T,60,100%,0,0%,3,11%,MillKo00
Gardner Minshew II,QB,60,100%,0,0%,0,0%,MinsGa00
Andre James,C,60,100%,0,0%,0,0%,JameAn01
Davante Adams,WR,58,97%,0,0%,0,0%,AdamDa01
Jakobi Meyers,WR,52,87%,0,0%,0,0%,MeyeJa01
Tre Tucker,WR,47,78%,0,0%,7,25%,TuckTr00
Brock Bowers,TE,41,68%,0,0%,0,0%,BoweBr01
Alexander Mattison,RB,36,60%,0,0%,0,0%,MattAl01
Michael Mayer,TE,34,57%,0,0%,0,0%,MayeMi00
Zamir White,RB,23,38%,0,0%,0,0%,WhitZa01
DJ Turner,WR,5,8%,0,0%,23,82%,TurnDJ00
Harrison Bryant,TE,4,7%,0,0%,11,39%,BryaHa00
Maxx Crosby,DE,0,0%,57,100%,4,14%,CrosMa00
Marcus Epps,SS,0,0%,57,100%,0,0%,EppsMa00
Tre'von Moehrig,FS,0,0%,57,100%,0,0%,MoehTr00
Nate Hobbs,CB,0,0%,57,100%,0,0%,HobbNa00
Robert Spillane,LB,0,0%,57,100%,0,0%,SpilRo00
Christian Wilkins,DT,0,0%,54,95%,7,25%,WilkCh00
Adam Butler,DT,0,0%,53,93%,0,0%,ButlAd00
Jack Jones,CB,0,0%,53,93%,0,0%,JoneJa10
Divine Deablo,LB,0,0%,42,74%,0,0%,DeabDi00
John Jenkins,DT,0,0%,34,60%,6,21%,JenkJo00
Charles Snowden,DE,0,0%,30,53%,21,75%,SnowCh00
Jakorian Bennett,CB,0,0%,30,53%,0,0%,BennJa00
Janarius Robinson,DE,0,0%,24,42%,4,14%,RobiJa04
Nesta Jade Silvera,DT,0,0%,10,18%,6,21%,JadeNe00
Tyree Wilson,DE,0,0%,6,11%,2,7%,WilsTy01
Luke Masterson,LB,0,0%,4,7%,25,89%,MastLu00
Isaiah Pola-Mao,FS,0,0%,2,4%,23,82%,PolaIs00
Kana'i Mauga,LB,0,0%,0,0%,25,89%,MaugKa00
Christopher Smith,SS,0,0%,0,0%,23,82%,SmitCh04
Amari Burney,LB,0,0%,0,0%,21,75%,BurnAm00
Amari Gainer,LB,0,0%,0,0%,19,68%,GainAm00
Ameer Abdullah,RB,0,0%,0,0%,14,50%,AbduAm00
Tyreik McAllister,RB,0,0%,0,0%,8,29%,McAlTy00
Jacob Bobenmoyer,LS,0,0%,0,0%,8,29%,BobeJa00
AJ Cole III,P,0,0%,0,0%,8,29%,ColeAJ01
Sam Webb,CB,0,0%,0,0%,8,29%,WebbSa00
Darnay Holmes,CB,0,0%,0,0%,7,25%,HolmDa01
Daniel Carlson,K,0,0%,0,0%,6,21%,CarlDa00
Andrus Peat,G,0,0%,0,0%,3,11%,PeatAn00
Jordan Meredith,G,0,0%,0,0%,3,11%,MereJo00
Delmar Glaze,T,0,0%,0,0%,3,11%,GlazDe00
Jonah Laulu,DT,0,0%,0,0%,1,4%,LaulJo00
